subset,purpose,case_kind,parent_case_id,physical_case_id,run_chid,replicate_id,Q_requested_MW,Af_requested_m2,Af_discrete_m2,Df_requested_m,Df_discrete_m,burner_side_requested_m,burner_bounds,xf_requested_m,xf_actual_m,yf_actual_m,dx_m,mesh_profile,sensor_profile,output_profile,rnd_seed,T_end_s,fds_version_planned,run_core_sha256,source_input_path,status
pilot,g1_short_background,background,g1_short,g1_bg_q000_s40_x50,g1_bg_q000_s40_x50_t005,,,,,,,,,,,,,,,,,,,11515b8093921d33491d166d3339a378c1c9922804137887528bd72cbac5f6e9,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g1_short\g1_bg_q000_s40_x50_t005.fds,
pilot,g1_short_low,fire,g1_short,g1_q018_s40_x50,g1_lo_q018_s40_x50_t005,,,,,,,,,,,,,,,,,,,a702ef11c5ee6cd60a9b2110dc5a1de16c982f3e411b2cbe72e054e06b91176f,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g1_short\g1_lo_q018_s40_x50_t005.fds,
pilot,g1_short_high,fire,g1_short,g1_q036_s40_x50,g1_hi_q036_s40_x50_t005,,,,,,,,,,,,,,,,,,,bf23d1df9d2748e27e71ea8604e6bc9868ec53868b9294c11d9a3471e68fcb42,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g1_short\g1_hi_q036_s40_x50_t005.fds,
pilot,g1_short_closure,fire,g1_short,g1_q027_s40_x50,g1_cl_q027_s40_x50_t040,,,,,,,,,,,,,,,,,,,4988c0352cde4759da99fdb788bfec4bb6ff23f1d94670e5f5e28168db2777bc,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g1_short\g1_cl_q027_s40_x50_t040.fds,
pilot,background,background,pilot_background,p_bg,p_bg_g25_r104729,r104729,0,0,0,0,0,0,,50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),61cbcdb6c906b8bbd7cf16c74f6dba2619e517518c5a418f78ea70fdbdba429e,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_bg_g25_r104729.fds,COMPLETED_ACCEPTED_G2_STAGE1
pilot,background,background,pilot_background,p_bg,p_bg_g25_r204729,r204729,0,0,0,0,0,0,,50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_v1,light,204729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),4bb044d2781c6206fe313376e6028f4239a28561ebf30c82aec5800aee3cded2,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_bg_g25_r204729.fds,COMPLETED_ACCEPTED_G2_STAGE1
pilot,background,background,pilot_background,p_bg,p_bg_g25_r304729,r304729,0,0,0,0,0,0,,50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_v1,light,304729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),c2d7b53f9878c2a12f269ae71b81b53984314ae260182e69355e646303f458c6,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_bg_g25_r304729.fds,COMPLETED_ACCEPTED_G2_STAGE1
pilot,grid_low,fire,p_q018_s40,p_q018_s40_x50,p_q018_s40_x50_g50_r104729,r104729,18,16,16,4.51351666838205,4.51351666838205,4.0,"[48.0, 52.0, 3.0, 7.0]",50,50,5,0.5,no_wind_symmetric_v1,no_wind_global_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),c945915c3a5fee2c01f88ed64b5dbac7636ae448541fb2f65f24cf111789c41b,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q018_s40_x50_g50_r104729.fds,SUPERSEDED_G2_STAGE3_POISSON_PARTITION
pilot,grid_low,fire,p_q018_s40,p_q018_s40_x50,p_q018_s40_x50_g25_r104729,r104729,18,16,16,4.51351666838205,4.51351666838205,4.0,"[48.0, 52.0, 3.0, 7.0]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_v1,heavy,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),395015ce42dbe4e291161e7b084628f07552d1e1bec08f702b57c627e611db50,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q018_s40_x50_g25_r104729.fds,COMPLETED_ACCEPTED_G2_STAGE2
pilot,grid_low,fire,p_q018_s40,p_q018_s40_x50,p_q018_s40_x50_g20_r104729,r104729,18,16,16,4.51351666838205,4.51351666838205,4.0,"[48.0, 52.0, 3.0, 7.0]",50,50,5,0.2,no_wind_symmetric_v1,no_wind_global_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),9f92db130f4fde39d203781ef040979616aa42be53a1dc1380bc97b7b13b19fb,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q018_s40_x50_g20_r104729.fds,PREPARED_G2_PILOT
