job_attempt_id,run_chid,attempt_kind,restart_parent_job_attempt_id,attempt_input_sha256,run_core_sha256,attempt_input_path,return_dir,checkpoint_manifest_sha256,T_end_s,fds_version_planned,fds_version_actual,exit_status,allocated_cores,wall_clock_s,prepared_at_utc,status
g1_bg_q000_s40_x50_t005_a01,g1_bg_q000_s40_x50_t005,initial,,182175430359b5a4a6b497a2508f1d0a461b6dacf244a05c3b8bf2143c7887f4,11515b8093921d33491d166d3339a378c1c9922804137887528bd72cbac5f6e9,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\g1_bg_q000_s40_x50_t005\attempts\g1_bg_q000_s40_x50_t005_a01\g1_bg_q000_s40_x50_t005.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\g1_bg_q000_s40_x50_t005\attempts\g1_bg_q000_s40_x50_t005_a01,,,,,,,,2026-08-18T12:14:18.733886+00:00,COMPLETED_ACCEPTED_G1
g1_lo_q018_s40_x50_t005_a01,g1_lo_q018_s40_x50_t005,initial,,563c36cb228d493366062873a616243293ed6b34553fa47e2feca44288061613,a702ef11c5ee6cd60a9b2110dc5a1de16c982f3e411b2cbe72e054e06b91176f,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\g1_lo_q018_s40_x50_t005\attempts\g1_lo_q018_s40_x50_t005_a01\g1_lo_q018_s40_x50_t005.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\g1_lo_q018_s40_x50_t005\attempts\g1_lo_q018_s40_x50_t005_a01,,,,,,,,2026-08-18T12:14:18.797400+00:00,COMPLETED_ACCEPTED_G1_SHORT
g1_hi_q036_s40_x50_t005_a01,g1_hi_q036_s40_x50_t005,initial,,04a111ce01d1711c0647b459246f5d3b527a3dc3e59bddf2cf299f4286ce3355,bf23d1df9d2748e27e71ea8604e6bc9868ec53868b9294c11d9a3471e68fcb42,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\g1_hi_q036_s40_x50_t005\attempts\g1_hi_q036_s40_x50_t005_a01\g1_hi_q036_s40_x50_t005.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\g1_hi_q036_s40_x50_t005\attempts\g1_hi_q036_s40_x50_t005_a01,,,,,,,,2026-08-18T12:14:18.864703+00:00,COMPLETED_ACCEPTED_G1_SHORT
g1_cl_q027_s40_x50_t040_a01,g1_cl_q027_s40_x50_t040,initial,,f0afb2ba251199348288181817460317450d2e4215f9c43847c94cfe1d0d611f,4988c0352cde4759da99fdb788bfec4bb6ff23f1d94670e5f5e28168db2777bc,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\g1_cl_q027_s40_x50_t040\attempts\g1_cl_q027_s40_x50_t040_a01\g1_cl_q027_s40_x50_t040.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\g1_cl_q027_s40_x50_t040\attempts\g1_cl_q027_s40_x50_t040_a01,,,,,,,,2026-08-18T12:14:18.940443+00:00,COMPLETED_ACCEPTED_G1
p_bg_g25_r104729_a01,p_bg_g25_r104729,initial,,73e46d1c8e6dd5345d4b5f572c8b1959507d2f7e03d59172514e820dcf527532,61cbcdb6c906b8bbd7cf16c74f6dba2619e517518c5a418f78ea70fdbdba429e,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_bg_g25_r104729\attempts\p_bg_g25_r104729_a01\p_bg_g25_r104729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_bg_g25_r104729\attempts\p_bg_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),FDS-6.10.1-0-g12efa16-release,FDS_COMPLETED_SUCCESSFULLY,21,198.668,2026-08-18T14:01:11.378012+00:00,COMPLETED_ACCEPTED_G2_STAGE1
p_bg_g25_r204729_a01,p_bg_g25_r204729,initial,,9c7ee73e763719f5b7311ac3ee4c6b6d71418861af2ee7d2f859cc80bac6a281,4bb044d2781c6206fe313376e6028f4239a28561ebf30c82aec5800aee3cded2,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_bg_g25_r204729\attempts\p_bg_g25_r204729_a01\p_bg_g25_r204729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_bg_g25_r204729\attempts\p_bg_g25_r204729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),FDS-6.10.1-0-g12efa16-release,FDS_COMPLETED_SUCCESSFULLY,21,195.006,2026-08-18T14:01:11.442731+00:00,COMPLETED_ACCEPTED_G2_STAGE1
p_bg_g25_r304729_a01,p_bg_g25_r304729,initial,,71a778ce07cf48db6311f9b0ee63f8d4a2103cab058f3a194ad2a60540aafcf3,c2d7b53f9878c2a12f269ae71b81b53984314ae260182e69355e646303f458c6,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_bg_g25_r304729\attempts\p_bg_g25_r304729_a01\p_bg_g25_r304729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_bg_g25_r304729\attempts\p_bg_g25_r304729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),FDS-6.10.1-0-g12efa16-release,FDS_COMPLETED_SUCCESSFULLY,21,194.905,2026-08-18T14:01:11.516301+00:00,COMPLETED_ACCEPTED_G2_STAGE1
p_q018_s40_x50_g50_r104729_a01,p_q018_s40_x50_g50_r104729,initial,,9c7a26c19606a45fbe15342471174be218f7efa3a966b677b9dc52c91f710a9f,c945915c3a5fee2c01f88ed64b5dbac7636ae448541fb2f65f24cf111789c41b,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q018_s40_x50_g50_r104729\attempts\p_q018_s40_x50_g50_r104729_a01\p_q018_s40_x50_g50_r104729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q018_s40_x50_g50_r104729\attempts\p_q018_s40_x50_g50_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-18T14:01:11.612836+00:00,FAILED_FDS_ERROR_426_SUPERSEDED
p_q018_s40_x50_g25_r104729_a01,p_q018_s40_x50_g25_r104729,initial,,65516361483efaa942ce12b6ef96bf25984cb82616bd30db3e475583d438c7e6,395015ce42dbe4e291161e7b084628f07552d1e1bec08f702b57c627e611db50,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q018_s40_x50_g25_r104729\attempts\p_q018_s40_x50_g25_r104729_a01\p_q018_s40_x50_g25_r104729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q018_s40_x50_g25_r104729\attempts\p_q018_s40_x50_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),FDS-6.10.1-0-g12efa16-release,FDS_COMPLETED_SUCCESSFULLY,21,5950.949,2026-08-18T14:01:11.692090+00:00,COMPLETED_ACCEPTED_G2_STAGE2
p_q018_s40_x50_g20_r104729_a01,p_q018_s40_x50_g20_r104729,initial,,e979458086d946eb6b3b3f2899451de8c760d8d0eaca2332918bf3dc3beab947,9f92db130f4fde39d203781ef040979616aa42be53a1dc1380bc97b7b13b19fb,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q018_s40_x50_g20_r104729\attempts\p_q018_s40_x50_g20_r104729_a01\p_q018_s40_x50_g20_r104729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q018_s40_x50_g20_r104729\attempts\p_q018_s40_x50_g20_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-18T14:01:11.767216+00:00,AWAITING_EXTERNAL_RUN
