chid,job_attempt_id,subset,purpose,case_kind,batch,parent_case_id,physical_case_id,replicate_id,Q,U,Df,Af_requested_m2,burner_side_requested_m,dx,L,W,H,x_fire,T_end,rnd_seed,sensor_profile,mesh_profile,output_profile,case_group,note,status,required
l01_q022_s40_x50_g25_r104729,l01_q022_s40_x50_g25_r104729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l01,l01,r104729,22,0,4.51351666838205,16,4,0.25,100,10,5,50,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L01,SEALED_G3_LOCKBOX,yes
l01_q022_s40_x50_g25_r204729,l01_q022_s40_x50_g25_r204729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l01,l01,r204729,22,0,4.51351666838205,16,4,0.25,100,10,5,50,300,204729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L01,SEALED_G3_LOCKBOX,yes
l01_q022_s40_x50_g25_r304729,l01_q022_s40_x50_g25_r304729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l01,l01,r304729,22,0,4.51351666838205,16,4,0.25,100,10,5,50,300,304729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L01,SEALED_G3_LOCKBOX,yes
l02_q032_s40_x50_g25_r104729,l02_q032_s40_x50_g25_r104729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l02,l02,r104729,32,0,4.51351666838205,16,4,0.25,100,10,5,50,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L02,SEALED_G3_LOCKBOX,yes
l02_q032_s40_x50_g25_r204729,l02_q032_s40_x50_g25_r204729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l02,l02,r204729,32,0,4.51351666838205,16,4,0.25,100,10,5,50,300,204729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L02,SEALED_G3_LOCKBOX,yes
l02_q032_s40_x50_g25_r304729,l02_q032_s40_x50_g25_r304729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l02,l02,r304729,32,0,4.51351666838205,16,4,0.25,100,10,5,50,300,304729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L02,SEALED_G3_LOCKBOX,yes
l03_q022_s45_x42p5_g25_r104729,l03_q022_s45_x42p5_g25_r104729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l03,l03,r104729,22,0,5.07770625192981,20.25,4.5,0.25,100,10,5,42.5,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L03,SEALED_G3_LOCKBOX,yes
l04_q022_s45_x57p5_g25_r104729,l04_q022_s45_x57p5_g25_r104729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l04,l04,r104729,22,0,5.07770625192981,20.25,4.5,0.25,100,10,5,57.5,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L04,SEALED_G3_LOCKBOX,yes
l05_q032_s50_x42p5_g25_r104729,l05_q032_s50_x42p5_g25_r104729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l05,l05,r104729,32,0,5.64189583547756,25,5,0.25,100,10,5,42.5,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L05,SEALED_G3_LOCKBOX,yes
l06_q032_s50_x57p5_g25_r104729,l06_q032_s50_x57p5_g25_r104729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l06,l06,r104729,32,0,5.64189583547756,25,5,0.25,100,10,5,57.5,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L06,SEALED_G3_LOCKBOX,yes
l07_q018_s40_x42p5_g25_r104729,l07_q018_s40_x42p5_g25_r104729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l07,l07,r104729,18,0,4.51351666838205,16,4,0.25,100,10,5,42.5,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L07,SEALED_G3_LOCKBOX,yes
l08_q018_s40_x57p5_g25_r104729,l08_q018_s40_x57p5_g25_r104729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l08,l08,r104729,18,0,4.51351666838205,16,4,0.25,100,10,5,57.5,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L08,SEALED_G3_LOCKBOX,yes
l09_q036_s40_x42p5_g25_r104729,l09_q036_s40_x42p5_g25_r104729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l09,l09,r104729,36,0,4.51351666838205,16,4,0.25,100,10,5,42.5,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L09,SEALED_G3_LOCKBOX,yes
l10_q036_s40_x57p5_g25_r104729,l10_q036_s40_x57p5_g25_r104729_a01,lockbox,independent_confirmation,fire,G8_ONLY,l10,l10,r104729,36,0,4.51351666838205,16,4,0.25,100,10,5,57.5,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 sealed lockbox L10,SEALED_G3_LOCKBOX,yes
