chid,job_attempt_id,subset,purpose,case_kind,parent_case_id,physical_case_id,replicate_id,Q,U,Df,Af_requested_m2,burner_side_requested_m,dx,L,W,H,x_fire,T_end,rnd_seed,sensor_profile,mesh_profile,output_profile,case_group,note,status,required
p_bg_g25_r104729,p_bg_g25_r104729_a01,pilot,background,background,pilot_background,p_bg,r104729,0,0,0,0,0,0.25,100,10,5,50,300,104729,no_wind_global_v1,no_wind_symmetric_v1,light,G2_PILOT,G2 background seed 104729,AUTHORIZED_G2_PILOT,yes
p_bg_g25_r204729,p_bg_g25_r204729_a01,pilot,background,background,pilot_background,p_bg,r204729,0,0,0,0,0,0.25,100,10,5,50,300,204729,no_wind_global_v1,no_wind_symmetric_v1,light,G2_PILOT,G2 background seed 204729,AUTHORIZED_G2_PILOT,yes
p_bg_g25_r304729,p_bg_g25_r304729_a01,pilot,background,background,pilot_background,p_bg,r304729,0,0,0,0,0,0.25,100,10,5,50,300,304729,no_wind_global_v1,no_wind_symmetric_v1,light,G2_PILOT,G2 background seed 304729,AUTHORIZED_G2_PILOT,yes
p_q018_s40_x50_g50_r104729,p_q018_s40_x50_g50_r104729_a01,pilot,grid_low,fire,p_q018_s40,p_q018_s40_x50,r104729,18,0,4.51351666838205,16,4.0,0.50,100,10,5,50,300,104729,no_wind_global_v1,no_wind_symmetric_v1,light,G2_PILOT,G2 low power coarse grid,AUTHORIZED_G2_PILOT,yes
p_q018_s40_x50_g25_r104729,p_q018_s40_x50_g25_r104729_a01,pilot,grid_low,fire,p_q018_s40,p_q018_s40_x50,r104729,18,0,4.51351666838205,16,4.0,0.25,100,10,5,50,300,104729,no_wind_global_v1,no_wind_symmetric_v1,heavy,G2_PILOT,G2 low power medium grid field reference,AUTHORIZED_G2_PILOT,yes
p_q018_s40_x50_g20_r104729,p_q018_s40_x50_g20_r104729_a01,pilot,grid_low,fire,p_q018_s40,p_q018_s40_x50,r104729,18,0,4.51351666838205,16,4.0,0.20,100,10,5,50,300,104729,no_wind_global_v1,no_wind_symmetric_v1,light,G2_PILOT,G2 low power fine grid,AUTHORIZED_G2_PILOT,yes
p_q036_s40_x50_g50_r104729,p_q036_s40_x50_g50_r104729_a01,pilot,grid_high,fire,p_q036_s40,p_q036_s40_x50,r104729,36,0,4.51351666838205,16,4.0,0.50,100,10,5,50,300,104729,no_wind_global_v1,no_wind_symmetric_v1,light,G2_PILOT,G2 high power coarse grid,AUTHORIZED_G2_PILOT,yes
p_q036_s40_x50_g25_r104729,p_q036_s40_x50_g25_r104729_a01,pilot,grid_high,fire,p_q036_s40,p_q036_s40_x50,r104729,36,0,4.51351666838205,16,4.0,0.25,100,10,5,50,300,104729,no_wind_global_v1,no_wind_symmetric_v1,heavy,G2_PILOT,G2 high power medium grid field reference,AUTHORIZED_G2_PILOT,yes
p_q036_s40_x50_g20_r104729,p_q036_s40_x50_g20_r104729_a01,pilot,grid_high,fire,p_q036_s40,p_q036_s40_x50,r104729,36,0,4.51351666838205,16,4.0,0.20,100,10,5,50,300,104729,no_wind_global_v1,no_wind_symmetric_v1,light,G2_PILOT,G2 high power fine grid,AUTHORIZED_G2_PILOT,yes
p_q027_s45_x40_g25_r104729,p_q027_s45_x40_g25_r104729_a01,pilot,opening_translation,fire,p_q027_s45,p_q027_s45_x40,r104729,27,0,5.07770625192981,20.25,4.5,0.25,100,10,5,40,300,104729,no_wind_global_v1,no_wind_symmetric_v1,heavy,G2_PILOT,G2 left offset and opening margin,AUTHORIZED_G2_PILOT,yes
p_q027_s45_x50_g25_r104729,p_q027_s45_x50_g25_r104729_a01,pilot,opening_translation,fire,p_q027_s45,p_q027_s45_x50,r104729,27,0,5.07770625192981,20.25,4.5,0.25,100,10,5,50,300,104729,no_wind_global_v1,no_wind_symmetric_v1,heavy,G2_PILOT,G2 centered translation reference,AUTHORIZED_G2_PILOT,yes
p_q027_s45_x60_g25_r104729,p_q027_s45_x60_g25_r104729_a01,pilot,opening_translation,fire,p_q027_s45,p_q027_s45_x60,r104729,27,0,5.07770625192981,20.25,4.5,0.25,100,10,5,60,300,104729,no_wind_global_v1,no_wind_symmetric_v1,heavy,G2_PILOT,G2 right offset and opening margin,AUTHORIZED_G2_PILOT,yes
p_q018_s40_x50_g25_r204729,p_q018_s40_x50_g25_r204729_a01,pilot,seed_repeat_low,fire,p_q018_s40,p_q018_s40_x50,r204729,18,0,4.51351666838205,16,4.0,0.25,100,10,5,50,300,204729,no_wind_global_v1,no_wind_symmetric_v1,light,G2_PILOT,G2 low power seed repeat 204729,AUTHORIZED_G2_PILOT,yes
p_q018_s40_x50_g25_r304729,p_q018_s40_x50_g25_r304729_a01,pilot,seed_repeat_low,fire,p_q018_s40,p_q018_s40_x50,r304729,18,0,4.51351666838205,16,4.0,0.25,100,10,5,50,300,304729,no_wind_global_v1,no_wind_symmetric_v1,light,G2_PILOT,G2 low power seed repeat 304729,AUTHORIZED_G2_PILOT,yes
p_q036_s40_x50_g25_r204729,p_q036_s40_x50_g25_r204729_a01,pilot,seed_repeat_high,fire,p_q036_s40,p_q036_s40_x50,r204729,36,0,4.51351666838205,16,4.0,0.25,100,10,5,50,300,204729,no_wind_global_v1,no_wind_symmetric_v1,light,G2_PILOT,G2 high power seed repeat 204729,AUTHORIZED_G2_PILOT,yes
p_q036_s40_x50_g25_r304729,p_q036_s40_x50_g25_r304729_a01,pilot,seed_repeat_high,fire,p_q036_s40,p_q036_s40_x50,r304729,36,0,4.51351666838205,16,4.0,0.25,100,10,5,50,300,304729,no_wind_global_v1,no_wind_symmetric_v1,light,G2_PILOT,G2 high power seed repeat 304729,AUTHORIZED_G2_PILOT,yes
