physical_case_id,parent_case_id,run_chid,job_attempt_id,window_id,batch,Q_requested_MW,Q_actual_kW,Q_radi_kW,Qc_kW,Q_star,Qc_star,Df_discrete_m,xf_actual_m,window_start_s,window_end_s,quasi_steady_status,deltaT_max_K,deltaT_peak_ci95_low_K,deltaT_peak_ci95_high_K,x_peak_m,x_peak_ci95_low_m,x_peak_ci95_high_m,peak_shift_m,peak_plateau_width_m,peak_plateau_width_bootstrap_median_m,A_global,A_global_ci95_lower,A_global_ci95_upper,left_right_nrmse,symmetry_status,active_fraction,censored_fraction,inverse_eligibility,max_abs_mean_U95_m_s,hrr_closure_rel_error_window,bootstrap_n,bootstrap_success_rate,bootstrap_block_len_samples,quality_status,exclusion_reason
d_q018_s35_x50,d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,QS60_V1,D1,18.0,17995.832737704917,-6062.997508196721,11932.835229508197,0.2907202122977437,0.19277331823428853,3.94932708483429,50.0,116.00822,176.0067,PASS,632.900083364266,614.6451868262077,651.7887373129558,49.884867041888555,49.82173328732785,49.95188611677229,-0.1151329581114453,1.625,1.625,0.05139286110683398,0.024962195851069815,0.08498095939629642,0.037961579484664526,PASS,1.0,0.0,ELIGIBLE_SUBJECT_TO_G5_G6,8.77672996065574,0.00023151457194904248,2000,1.0,7,PASS,
d_q027_s45_x40,d_q027_s45,d_q027_s45_x40_g25_r104729,d_q027_s45_x40_g25_r104729_a01,QS60_V1,D1,27.0,26991.30476271186,-9716.493032203389,17274.811730508474,0.4360408304066868,0.27907221671240484,5.07770625192981,40.0,70.003862,129.00543,PASS,808.0653155377703,785.4599594993851,827.3111256053412,39.85218324906535,39.77655387982771,39.919806091587475,-0.14781675093465196,1.8125,1.8125,0.07797168073504772,0.0396537488053996,0.11630815771006756,0.04405189099591012,PASS,1.0,0.0,ELIGIBLE_SUBJECT_TO_G5_G6,9.775195003333332,0.00032204582548662006,2000,1.0,16,PASS,
d_q027_s45_x50,d_q027_s45,d_q027_s45_x50_g25_r104729,d_q027_s45_x50_g25_r104729_a01,QS60_V1,D1,27.0,27022.330627118645,-9569.319494915255,17453.01113220339,0.43654204899537496,0.281951003631975,5.07770625192981,50.0,174.00344,233.00549,PASS,775.2570443736319,755.4363620981435,798.6918446132537,49.94497849007553,49.89337976817999,50.002687359586275,-0.05502150992447241,1.6875,1.6875,0.030370092810215642,0.016819572767172282,0.06922253669745915,0.021942927725767527,PASS,1.0,0.0,ELIGIBLE_SUBJECT_TO_G5_G6,9.0263917,0.0008270602636535101,2000,1.0,16,PASS,
d_q027_s45_x60,d_q027_s45,d_q027_s45_x60_g25_r104729,d_q027_s45_x60_g25_r104729_a01,QS60_V1,D1,27.0,26993.23068852459,-9723.23039180328,17270.000296721308,0.4360719434743235,0.27899448865877996,5.07770625192981,60.0,72.008657,132.00563,PASS,799.3870554495418,786.6332513621845,812.5051845902636,59.84916262835325,59.72124457098865,59.978337293499244,-0.1508373716467517,1.8125,1.8125,0.03988540411117153,0.01678640125866747,0.08818993916367207,0.03618923595263568,PASS,1.0,0.0,ELIGIBLE_SUBJECT_TO_G5_G6,9.538750309836065,0.00025071523983004025,2000,1.0,13,PASS,
d_q036_s50_x50,d_q036_s50,d_q036_s50_x50_g25_r104729,d_q036_s50_x50_g25_r104729_a01,QS60_V1,D1,36.0,35976.571149999996,-13809.8707,22166.700449999997,0.5811965778365406,0.35810000874604475,5.64189583547756,50.0,133.00626,192.00793,PASS,895.0492533596193,864.9233445391468,923.3298850109716,50.0025069132219,49.920480578675416,50.07639414982054,0.00250691322190022,1.875,1.875,0.027490146856774776,0.013238386982891303,0.05117779537818779,0.014098509094927783,PASS,1.0,0.0,ELIGIBLE_SUBJECT_TO_G5_G6,9.537471085,0.0006508013888889965,2000,1.0,12,PASS,
d_q018_s45_x50,d_q018_s45,d_q018_s45_x50_g25_r104729,d_q018_s45_x50_g25_r104729_a01,QS60_V1,D2,18.0,17996.829333333335,-5966.203154999999,12030.626178333336,0.2907363121635788,0.19435311761437926,5.07770625192981,50.0,95.004577,154.00208,PASS,555.8312013976392,541.6631742523844,570.5688600096059,49.99358127657951,49.939986331524786,50.04961432745874,-0.006418723420487993,1.75,1.75,0.013566541220609397,0.010324842332881338,0.03311292462464875,0.007760309065979137,PASS,1.0,0.0,ELIGIBLE_SUBJECT_TO_G5_G6,8.59191044,0.00017614814814805868,2000,1.0,9,PASS,
d_q018_s50_x50,d_q018_s50,d_q018_s50_x50_g25_r104729,d_q018_s50_x50_g25_r104729_a01,QS60_V1,D2,18.0,17999.15666101695,-5962.737671186441,12036.418989830509,0.2907739098234442,0.19444669969045236,5.64189583547756,50.0,140.00591,199.00918,PASS,456.4279175132658,439.94934011598144,472.68610572839145,50.08062544254731,50.003372061157386,50.15240351572756,0.08062544254730852,1.75,1.75,0.01942473618060691,0.010839325069600206,0.044301935301414505,0.018293890766320625,PASS,1.0,0.0,ELIGIBLE_SUBJECT_TO_G5_G6,7.590924476666667,4.6852165724986764e-05,2000,1.0,13,PASS,
d_q027_s35_x50,d_q027_s35,d_q027_s35_x50_g25_r104729,d_q027_s35_x50_g25_r104729_a01,QS60_V1,D2,27.0,26982.69568852459,-10070.18583442623,16912.50985409836,0.43590175199270675,0.2732192795373924,3.94932708483429,50.0,109.00534,169.00168,PASS,888.3532408125133,865.8826773095715,907.2618130364094,49.88836381492555,49.80249346995891,49.96525652253107,-0.1116361850744525,1.75,1.75,0.04065456064816521,0.02043938706104886,0.07063193905940868,0.02871727137328408,PASS,1.0,0.0,ELIGIBLE_SUBJECT_TO_G5_G6,9.65329801147541,0.0006409004250152201,2000,1.0,9,PASS,
d_q027_s50_x50,d_q027_s50,d_q027_s50_x50_g25_r104729,d_q027_s50_x50_g25_r104729_a01,QS60_V1,D2,27.0,26993.515881355932,-9486.033950847457,17507.481930508475,0.43607655072544,0.28283097191563783,5.64189583547756,50.0,202.00622,261.0065,PASS,681.2355227769144,665.3957456121003,696.2984987024397,49.89119953265836,49.79672206198398,49.98245607259306,-0.10880046734163784,1.8125,1.8125,0.02023517808450443,0.016256197839479784,0.06096770523798753,0.02322637211555803,PASS,1.0,0.0,ELIGIBLE_SUBJECT_TO_G5_G6,8.569688820000001,0.0002401525423728917,2000,1.0,15,PASS,
d_q036_s35_x50,d_q036_s35,d_q036_s35_x50_g25_r104729,d_q036_s35_x50_g25_r104729_a01,QS60_V1,D2,36.0,36005.16393333334,-15158.342783333334,20846.821150000003,0.5816584903338397,0.33677753948906874,3.94932708483429,50.0,67.005331,126.00577,PASS,1046.3378438008372,1023.3252849741324,1065.4417901112615,49.888092774364296,49.808674687393925,49.95528921959166,-0.11190722563570432,1.9375,1.9375,0.024661855613017338,0.01401116149639168,0.059413288732325466,0.02056566922984316,PASS,1.0,0.0,ELIGIBLE_SUBJECT_TO_G5_G6,10.089481761666667,0.00014344259259269166,2000,1.0,7,PASS,
