physical_case_id,parent_case_id,run_chid,job_attempt_id,window_id,batch,x_coord_m,y_coord_m,z_coord_m,xf_actual_m,xi,temp_mean_C,deltaT_mean_K,deltaT_ci95_low_K,deltaT_ci95_high_K,Theta,point_role,detection_limit_K,bootstrap_n,bootstrap_block_len_samples
d_q018_s35_x50,d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,QS60_V1,D1,5.0,5.0,4.5,50.0,9.0,159.8892767213115,139.8892767213115,138.3592854385246,141.53687638114755,0.22102900662883643,QC_ONLY,0.5,2000,7
d_q018_s35_x50,d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,QS60_V1,D1,10.0,5.0,4.5,50.0,8.0,166.88857524590165,146.88857524590165,145.23077666393442,148.5763695204918,0.23208809590464194,QC_ONLY,0.5,2000,7
d_q018_s35_x50,d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,QS60_V1,D1,15.0,5.0,4.5,50.0,7.0,174.12103147540984,154.12103147540984,152.4061707704918,155.8360485942623,0.24351558093681808,QC_ONLY,0.5,2000,7
d_q018_s35_x50,d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,QS60_V1,D1,17.5,5.0,4.5,50.0,6.5,178.37971721311476,158.37971721311476,156.48551007377048,160.27987252049184,0.2502444246352851,QC_ONLY,0.5,2000,7
d_q018_s35_x50,d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,QS60_V1,D1,20.0,5.0,4.5,50.0,6.0,183.09366852459016,163.09366852459016,160.80682406557378,165.3017395,0.25769260079354656,QC_ONLY,0.5,2000,7
d_q018_s35_x50,d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,QS60_V1,D1,22.5,5.0,4.5,50.0,5.5,188.1426373770492,168.1426373770492,165.63572940163937,170.5756748442623,0.2656701141249094,QC_ONLY,0.5,2000,7
d_q018_s35_x50,d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,QS60_V1,D1,25.0,5.0,4.5,50.0,5.0,193.43861770491804,173.43861770491804,170.69495953688525,176.009772454918,0.2740379125611449,ACTIVE,0.5,2000,7
d_q018_s35_x50,d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,QS60_V1,D1,27.5,5.0,4.5,50.0,4.5,198.67062032786885,178.67062032786885,175.87112244262295,181.411133397541,0.28230462441736615,ACTIVE,0.5,2000,7
d_q018_s35_x50,d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,QS60_V1,D1,30.0,5.0,4.5,50.0,4.0,205.40678918032788,185.40678918032788,182.5042708114754,188.0448042418033,0.2929479613824239,ACTIVE,0.5,2000,7
d_q018_s35_x50,d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,QS60_V1,D1,31.25,5.0,4.5,50.0,3.75,209.25446360655735,189.25446360655735,186.3492680081967,191.93542465163932,0.2990273956049265,ACTIVE,0.5,2000,7
