chid,purpose,Q_MW,dx_m,rnd_seed,t0_s,t1_s,deltaT_peak_C,x_peak_m,peak_shift_m,hrr_mean_kW,A_global_xi5,left_right_nrmse_xi5,A_global_xi4,left_right_nrmse_xi4,A_global_xi3,left_right_nrmse_xi3
p_q018_s40_x50_g50m18_r104729,grid_low,18.0,0.5,104729,89.001228,148.02053,494.6650668333334,50.0,0.0,17993.42145762712,0.018493966635604365,0.01705478853760054,0.01971803744390342,0.018082695383395218,0.022957118108758282,0.020817599637057614
p_q018_s40_x50_g25_r104729,grid_low,18.0,0.25,104729,137.0073,197.00306,649.4814918032789,50.0,0.0,17992.503278688524,0.016747034910731137,0.01453871733974429,0.01688544578468527,0.015326444072294934,0.01829568313440113,0.017563205532133436
p_q018_s40_x50_g20_r104729,grid_low,18.0,0.2,104729,116.00384,176.00109,744.7018083606557,50.0,0.0,17979.636716666668,0.017942719268535502,0.014910016980240616,0.01870667520989901,0.015752810958459644,0.02280266805860806,0.01818266410581059
p_q036_s40_x50_g50m18_r104729,grid_high,36.0,0.5,104729,110.01424,170.01392,921.7628008196722,50.0,0.0,36013.28905,0.017559163847826804,0.013077414803245473,0.018011926231645832,0.013800432407190586,0.020165494923604598,0.015808691682919984
p_q036_s40_x50_g25_r104729,grid_high,36.0,0.25,104729,103.00653,163.00434,1005.6663427868853,50.0,0.0,35993.36583333334,0.04610615712595938,0.0371372494772629,0.04738200142894214,0.03926408786997529,0.05326197117964027,0.045177407879425584
p_q036_s40_x50_g20_r104729,grid_high,36.0,0.2,104729,106.0057,165.00322,1097.1420516666665,50.0,0.0,35981.404116666665,0.01669853061721438,0.01246717280687,0.017428470599095237,0.013194742786193054,0.019875830862104905,0.015181855541157254
p_q018_s40_x50_g25_r204729,seed_repeat_low,18.0,0.25,204729,217.00914,276.00977,569.3140818333333,50.0,0.0,17997.186083333334,0.016341621386528955,0.011517385588349338,0.017756310084384504,0.01221377994755884,0.02172572356255754,0.014092745586594353
p_q018_s40_x50_g25_r304729,seed_repeat_low,18.0,0.25,304729,79.005914,138.0042,627.9245868333333,50.0,0.0,17981.357644067797,0.036438263409918514,0.021822454030057722,0.03834941077288263,0.023087908125179475,0.04077683400605687,0.026000577699459643
p_q036_s40_x50_g25_r204729,seed_repeat_high,36.0,0.25,204729,95.005923,155.0055,1019.2622924590164,50.0,0.0,35955.203883333335,0.024446827315560627,0.014285270999592072,0.024403468575615993,0.014923509693420007,0.02538869860544333,0.016825258755258768
p_q036_s40_x50_g25_r304729,seed_repeat_high,36.0,0.25,304729,69.004805,128.00785,1050.42826,50.0,0.0,35966.86127118644,0.018535994863964636,0.014584757329829222,0.019403292020712667,0.015453446032916941,0.022695178881608862,0.017834881553227003
