chid,run_chid,job_attempt_id,case_kind,status,fds_version,version_match,t_end_s,devc_t_final_s,hrr_t_final_s,error_count,warning_count,rejected_count,burner_issue,required_devc_ok,required_hrr_ok,time_series_ok,hrr_nonzero,target_hrr_kW,tail_hrr_kW,hrr_closure_rel_error,end_marker_present,out_completed_successfully,full_field_present,issues
p_q018_s40_x50_g20_r104729,p_q018_s40_x50_g20_r104729,p_q018_s40_x50_g20_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.0,18018.74164516129,0.0010412025089606483,False,True,True,
p_q018_s40_x50_g25_r104729,p_q018_s40_x50_g25_r104729,p_q018_s40_x50_g25_r104729_a01,fire,PASS,6.10.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.0,17996.75593548387,0.00018022580645164353,False,True,True,
p_q018_s40_x50_g25_r204729,p_q018_s40_x50_g25_r204729,p_q018_s40_x50_g25_r204729_a01,fire,PASS,6.10.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.0,18001.792,9.95555555556267e-05,False,True,True,
p_q018_s40_x50_g25_r304729,p_q018_s40_x50_g25_r304729,p_q018_s40_x50_g25_r304729_a01,fire,PASS,6.10.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.0,18019.275193548387,0.0010708440860214775,False,True,True,
p_q018_s40_x50_g50m18_r104729,p_q018_s40_x50_g50m18_r104729,p_q018_s40_x50_g50m18_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.0,18008.982419354837,0.0004990232974909708,False,True,True,
p_q036_s40_x50_g20_r104729,p_q036_s40_x50_g20_r104729,p_q036_s40_x50_g20_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,36000.0,35989.69464516129,0.00028625985663085075,False,True,True,
p_q036_s40_x50_g25_r104729,p_q036_s40_x50_g25_r104729,p_q036_s40_x50_g25_r104729_a01,fire,PASS,6.10.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,36000.0,35962.37629032258,0.0010451030465950073,False,True,True,
p_q036_s40_x50_g25_r204729,p_q036_s40_x50_g25_r204729,p_q036_s40_x50_g25_r204729_a01,fire,PASS,6.10.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,36000.0,35931.83703225807,0.0018934157706092568,False,True,True,
p_q036_s40_x50_g25_r304729,p_q036_s40_x50_g25_r304729,p_q036_s40_x50_g25_r304729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,36000.0,35965.47429032258,0.0009590474910395035,False,True,True,
p_q036_s40_x50_g50m18_r104729,p_q036_s40_x50_g50m18_r104729,p_q036_s40_x50_g50m18_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,36000.0,35984.44483870968,0.0004320878136200513,False,True,True,
