chid,status,reason,t_steady_start,t_steady_end,avg_t0,avg_t1,enthalpy_flux_criterion,window_s,smooth_s,min_steady_s,thr_hrr_rel,thr_tmax_C_per_s,thr_rep_C_per_s,thr_backflow_m_per_s,thr_enthalpy_rel_drift
p_q018_s40_x50_g20_r104729,PASS,检测到准稳态趋势窗,116.00384,176.00109,116.00384,176.00109,UNCHECKED_NO_FIELD_DATA,90.0,15.0,60.0,0.15,0.15,0.15,0.05,0.05
p_q018_s40_x50_g25_r104729,PASS,检测到准稳态趋势窗,137.0073,197.00306,137.0073,197.00306,UNCHECKED_NO_FIELD_DATA,90.0,15.0,60.0,0.15,0.15,0.15,0.05,0.05
p_q018_s40_x50_g25_r204729,PASS,检测到准稳态趋势窗,217.00914,276.00977,217.00914,276.00977,UNCHECKED_NO_FIELD_DATA,90.0,15.0,60.0,0.15,0.15,0.15,0.05,0.05
p_q018_s40_x50_g25_r304729,PASS,检测到准稳态趋势窗,79.005914,138.0042,79.005914,138.0042,UNCHECKED_NO_FIELD_DATA,90.0,15.0,60.0,0.15,0.15,0.15,0.05,0.05
p_q018_s40_x50_g50m18_r104729,PASS,检测到准稳态趋势窗,89.001228,148.02053,89.001228,148.02053,UNCHECKED_NO_FIELD_DATA,90.0,15.0,60.0,0.15,0.15,0.15,0.05,0.05
p_q036_s40_x50_g20_r104729,PASS,检测到准稳态趋势窗,106.0057,165.00322,106.0057,165.00322,UNCHECKED_NO_FIELD_DATA,90.0,15.0,60.0,0.15,0.15,0.15,0.05,0.05
p_q036_s40_x50_g25_r104729,PASS,检测到准稳态趋势窗,103.00653,163.00434,103.00653,163.00434,UNCHECKED_NO_FIELD_DATA,90.0,15.0,60.0,0.15,0.15,0.15,0.05,0.05
p_q036_s40_x50_g25_r204729,PASS,检测到准稳态趋势窗,95.005923,155.0055,95.005923,155.0055,UNCHECKED_NO_FIELD_DATA,90.0,15.0,60.0,0.15,0.15,0.15,0.05,0.05
p_q036_s40_x50_g25_r304729,PASS,检测到准稳态趋势窗,69.004805,128.00785,69.004805,128.00785,UNCHECKED_NO_FIELD_DATA,90.0,15.0,60.0,0.15,0.15,0.15,0.05,0.05
p_q036_s40_x50_g50m18_r104729,PASS,检测到准稳态趋势窗,110.01424,170.01392,110.01424,170.01392,UNCHECKED_NO_FIELD_DATA,90.0,15.0,60.0,0.15,0.15,0.15,0.05,0.05
