batch,run_chid,job_attempt_id,parent_case_id,physical_case_id,Q_MW,burner_side_m,xf_m,rnd_seed,output_profile,source_fds_repo_path,source_fds_path,attempt_fds_path,attempt_input_sha256,run_core_sha256,return_dir,required_return_files,static_audit,status
D1,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,d_q018_s35,d_q018_s35_x50,18,3.5,50,104729,heavy,fds_inputs/development/g3/d_q018_s35_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s35_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s35_x50_g25_r104729\attempts\d_q018_s35_x50_g25_r104729_a01\d_q018_s35_x50_g25_r104729.fds,db160c66ae8da937c5cff0f76c976a3d41ae1e8bb8c8ca36fa0804433d1b3b1d,de5317f4288d68b5f4f0fd735f46bc367fc184f2fb4a369eda746226168bb8f2,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s35_x50_g25_r104729\attempts\d_q018_s35_x50_g25_r104729_a01,d_q018_s35_x50_g25_r104729.fds;d_q018_s35_x50_g25_r104729.out;d_q018_s35_x50_g25_r104729_devc.csv;d_q018_s35_x50_g25_r104729_hrr.csv;d_q018_s35_x50_g25_r104729.smv;d_q018_s35_x50_g25_r104729.end (如有);d_q018_s35_x50_g25_r104729*.sf*;d_q018_s35_x50_g25_r104729*.bf,PASS,AWAITING_EXTERNAL_RUN
D1,d_q027_s45_x40_g25_r104729,d_q027_s45_x40_g25_r104729_a01,d_q027_s45,d_q027_s45_x40,27,4.5,40,104729,heavy,fds_inputs/development/g3/d_q027_s45_x40_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s45_x40_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x40_g25_r104729\attempts\d_q027_s45_x40_g25_r104729_a01\d_q027_s45_x40_g25_r104729.fds,719a92372dc5ecd5affd39fb62135a19ec8b6f549d106b7321590494657992b1,61a83f2243aea5a8af5c0ff1dc690a44cd487409cd8b6737437543ad8628ec38,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x40_g25_r104729\attempts\d_q027_s45_x40_g25_r104729_a01,d_q027_s45_x40_g25_r104729.fds;d_q027_s45_x40_g25_r104729.out;d_q027_s45_x40_g25_r104729_devc.csv;d_q027_s45_x40_g25_r104729_hrr.csv;d_q027_s45_x40_g25_r104729.smv;d_q027_s45_x40_g25_r104729.end (如有);d_q027_s45_x40_g25_r104729*.sf*;d_q027_s45_x40_g25_r104729*.bf,PASS,AWAITING_EXTERNAL_RUN
D1,d_q027_s45_x50_g25_r104729,d_q027_s45_x50_g25_r104729_a01,d_q027_s45,d_q027_s45_x50,27,4.5,50,104729,heavy,fds_inputs/development/g3/d_q027_s45_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s45_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x50_g25_r104729\attempts\d_q027_s45_x50_g25_r104729_a01\d_q027_s45_x50_g25_r104729.fds,f1cd6daa6da157eb972e78cdecf21c76a74d4bfac11007f62ae0b7328696fc7c,9aeb8078232ddca50acbd829149be9d4135a14daa1699c317d5e282be12a1f1f,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x50_g25_r104729\attempts\d_q027_s45_x50_g25_r104729_a01,d_q027_s45_x50_g25_r104729.fds;d_q027_s45_x50_g25_r104729.out;d_q027_s45_x50_g25_r104729_devc.csv;d_q027_s45_x50_g25_r104729_hrr.csv;d_q027_s45_x50_g25_r104729.smv;d_q027_s45_x50_g25_r104729.end (如有);d_q027_s45_x50_g25_r104729*.sf*;d_q027_s45_x50_g25_r104729*.bf,PASS,AWAITING_EXTERNAL_RUN
D1,d_q027_s45_x60_g25_r104729,d_q027_s45_x60_g25_r104729_a01,d_q027_s45,d_q027_s45_x60,27,4.5,60,104729,heavy,fds_inputs/development/g3/d_q027_s45_x60_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s45_x60_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x60_g25_r104729\attempts\d_q027_s45_x60_g25_r104729_a01\d_q027_s45_x60_g25_r104729.fds,74194cdbe4ae1a9cdafade6915796fe19fbcf9c337c6b7ab5f6fc33d68d75656,2366127f9aba3ffaa077c5616f053e79ed90bf4049788cf876065e995e89ec89,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x60_g25_r104729\attempts\d_q027_s45_x60_g25_r104729_a01,d_q027_s45_x60_g25_r104729.fds;d_q027_s45_x60_g25_r104729.out;d_q027_s45_x60_g25_r104729_devc.csv;d_q027_s45_x60_g25_r104729_hrr.csv;d_q027_s45_x60_g25_r104729.smv;d_q027_s45_x60_g25_r104729.end (如有);d_q027_s45_x60_g25_r104729*.sf*;d_q027_s45_x60_g25_r104729*.bf,PASS,AWAITING_EXTERNAL_RUN
D1,d_q036_s50_x50_g25_r104729,d_q036_s50_x50_g25_r104729_a01,d_q036_s50,d_q036_s50_x50,36,5,50,104729,heavy,fds_inputs/development/g3/d_q036_s50_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s50_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s50_x50_g25_r104729\attempts\d_q036_s50_x50_g25_r104729_a01\d_q036_s50_x50_g25_r104729.fds,776e8f154a8112ec254c9162e59fcbe4400c5d1039d54c55ea448a1e381da764,3c371fad54ba7eb3cad6fee9d42a74dc3ab2cce4e949a2c8f7b2e3f412a70046,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s50_x50_g25_r104729\attempts\d_q036_s50_x50_g25_r104729_a01,d_q036_s50_x50_g25_r104729.fds;d_q036_s50_x50_g25_r104729.out;d_q036_s50_x50_g25_r104729_devc.csv;d_q036_s50_x50_g25_r104729_hrr.csv;d_q036_s50_x50_g25_r104729.smv;d_q036_s50_x50_g25_r104729.end (如有);d_q036_s50_x50_g25_r104729*.sf*;d_q036_s50_x50_g25_r104729*.bf,PASS,AWAITING_EXTERNAL_RUN
D2,d_q018_s45_x50_g25_r104729,d_q018_s45_x50_g25_r104729_a01,d_q018_s45,d_q018_s45_x50,18,4.5,50,104729,light,fds_inputs/development/g3/d_q018_s45_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s45_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s45_x50_g25_r104729\attempts\d_q018_s45_x50_g25_r104729_a01\d_q018_s45_x50_g25_r104729.fds,75c314ae33366414020ce5e98b41fda8dbdb2621a76562a5ac23edf34f9ceabc,98097a3684a14060cc38415ceca04ce37eba61ccde4f213360abe72a7878dc7f,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s45_x50_g25_r104729\attempts\d_q018_s45_x50_g25_r104729_a01,d_q018_s45_x50_g25_r104729.fds;d_q018_s45_x50_g25_r104729.out;d_q018_s45_x50_g25_r104729_devc.csv;d_q018_s45_x50_g25_r104729_hrr.csv;d_q018_s45_x50_g25_r104729.smv;d_q018_s45_x50_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D2,d_q018_s50_x50_g25_r104729,d_q018_s50_x50_g25_r104729_a01,d_q018_s50,d_q018_s50_x50,18,5,50,104729,light,fds_inputs/development/g3/d_q018_s50_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s50_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s50_x50_g25_r104729\attempts\d_q018_s50_x50_g25_r104729_a01\d_q018_s50_x50_g25_r104729.fds,406e63d8e8587d950689e5c96b27cc2e24f14582d097c7d1ca83da8ed31a1f10,0b2e2f68eb56f082276f748ad51bfc9fdf5f4b3e88380cc3923b36214a8aa1a5,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s50_x50_g25_r104729\attempts\d_q018_s50_x50_g25_r104729_a01,d_q018_s50_x50_g25_r104729.fds;d_q018_s50_x50_g25_r104729.out;d_q018_s50_x50_g25_r104729_devc.csv;d_q018_s50_x50_g25_r104729_hrr.csv;d_q018_s50_x50_g25_r104729.smv;d_q018_s50_x50_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D2,d_q027_s35_x50_g25_r104729,d_q027_s35_x50_g25_r104729_a01,d_q027_s35,d_q027_s35_x50,27,3.5,50,104729,light,fds_inputs/development/g3/d_q027_s35_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s35_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s35_x50_g25_r104729\attempts\d_q027_s35_x50_g25_r104729_a01\d_q027_s35_x50_g25_r104729.fds,257708dfa59939fc6fdbf8d94bf2f1c0eb55438337687e4f8b1688a75a41632b,f439321bfb672d01579ca621aaf8f27647dbaa9a9ada0627c876539ecd3c4edc,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s35_x50_g25_r104729\attempts\d_q027_s35_x50_g25_r104729_a01,d_q027_s35_x50_g25_r104729.fds;d_q027_s35_x50_g25_r104729.out;d_q027_s35_x50_g25_r104729_devc.csv;d_q027_s35_x50_g25_r104729_hrr.csv;d_q027_s35_x50_g25_r104729.smv;d_q027_s35_x50_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D2,d_q027_s50_x50_g25_r104729,d_q027_s50_x50_g25_r104729_a01,d_q027_s50,d_q027_s50_x50,27,5,50,104729,light,fds_inputs/development/g3/d_q027_s50_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s50_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s50_x50_g25_r104729\attempts\d_q027_s50_x50_g25_r104729_a01\d_q027_s50_x50_g25_r104729.fds,8f9266b09b326ab17802501e22ba5f40fe1f06743ea3305bfba56864ecbeaffa,86afea6fb20cf62f3dbe0662993d093969e0d95f5d3a3adc9265964c282e8151,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s50_x50_g25_r104729\attempts\d_q027_s50_x50_g25_r104729_a01,d_q027_s50_x50_g25_r104729.fds;d_q027_s50_x50_g25_r104729.out;d_q027_s50_x50_g25_r104729_devc.csv;d_q027_s50_x50_g25_r104729_hrr.csv;d_q027_s50_x50_g25_r104729.smv;d_q027_s50_x50_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D2,d_q036_s35_x50_g25_r104729,d_q036_s35_x50_g25_r104729_a01,d_q036_s35,d_q036_s35_x50,36,3.5,50,104729,light,fds_inputs/development/g3/d_q036_s35_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s35_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s35_x50_g25_r104729\attempts\d_q036_s35_x50_g25_r104729_a01\d_q036_s35_x50_g25_r104729.fds,b5888c334dac02816dae6ccd0708a4e72259b08e196b97baca0607f2bd05b9fa,cc40e40584ce6f474f81884650ed6cc9fd01ad36bf1028fea2a007ad58fb55ae,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s35_x50_g25_r104729\attempts\d_q036_s35_x50_g25_r104729_a01,d_q036_s35_x50_g25_r104729.fds;d_q036_s35_x50_g25_r104729.out;d_q036_s35_x50_g25_r104729_devc.csv;d_q036_s35_x50_g25_r104729_hrr.csv;d_q036_s35_x50_g25_r104729.smv;d_q036_s35_x50_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D2,d_q036_s45_x50_g25_r104729,d_q036_s45_x50_g25_r104729_a01,d_q036_s45,d_q036_s45_x50,36,4.5,50,104729,light,fds_inputs/development/g3/d_q036_s45_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s45_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s45_x50_g25_r104729\attempts\d_q036_s45_x50_g25_r104729_a01\d_q036_s45_x50_g25_r104729.fds,31baf865d032c33a12136841a3c88f8b28a53e8ac46fec11aefb77be38d497c5,46652bf285869acea860b58ecd742e09f55216762c8ee1d2520823574ec972e7,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s45_x50_g25_r104729\attempts\d_q036_s45_x50_g25_r104729_a01,d_q036_s45_x50_g25_r104729.fds;d_q036_s45_x50_g25_r104729.out;d_q036_s45_x50_g25_r104729_devc.csv;d_q036_s45_x50_g25_r104729_hrr.csv;d_q036_s45_x50_g25_r104729.smv;d_q036_s45_x50_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,d_q018_s35,d_q018_s35_x40,18,3.5,40,104729,light,fds_inputs/development/g3/d_q018_s35_x40_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s35_x40_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s35_x40_g25_r104729\attempts\d_q018_s35_x40_g25_r104729_a01\d_q018_s35_x40_g25_r104729.fds,6ac699b867222253729e841866696749cfa1b078e790ac883ae4268fa7f89ca5,dc0fc900e953310ad4979653bab5299e9f248aedc86ee40be1d704135637d204,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s35_x40_g25_r104729\attempts\d_q018_s35_x40_g25_r104729_a01,d_q018_s35_x40_g25_r104729.fds;d_q018_s35_x40_g25_r104729.out;d_q018_s35_x40_g25_r104729_devc.csv;d_q018_s35_x40_g25_r104729_hrr.csv;d_q018_s35_x40_g25_r104729.smv;d_q018_s35_x40_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q018_s35_x50_g25_r204729,d_q018_s35_x50_g25_r204729_a01,d_q018_s35,d_q018_s35_x50,18,3.5,50,204729,light,fds_inputs/development/g3/d_q018_s35_x50_g25_r204729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s35_x50_g25_r204729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s35_x50_g25_r204729\attempts\d_q018_s35_x50_g25_r204729_a01\d_q018_s35_x50_g25_r204729.fds,ad01e8495f3a239770997430320182c15c3478898cb948ee8420e41dfc4ffb00,7c7a7e1445e6655bfd7b3f897365634649eb77e2f2588562159031e0d3b34d95,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s35_x50_g25_r204729\attempts\d_q018_s35_x50_g25_r204729_a01,d_q018_s35_x50_g25_r204729.fds;d_q018_s35_x50_g25_r204729.out;d_q018_s35_x50_g25_r204729_devc.csv;d_q018_s35_x50_g25_r204729_hrr.csv;d_q018_s35_x50_g25_r204729.smv;d_q018_s35_x50_g25_r204729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q018_s35_x50_g25_r304729,d_q018_s35_x50_g25_r304729_a01,d_q018_s35,d_q018_s35_x50,18,3.5,50,304729,light,fds_inputs/development/g3/d_q018_s35_x50_g25_r304729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s35_x50_g25_r304729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s35_x50_g25_r304729\attempts\d_q018_s35_x50_g25_r304729_a01\d_q018_s35_x50_g25_r304729.fds,c55346536677a9b9084ef0cb218899fcdc2337502c09cced7333ffee2c718537,8300452c9451d1569a381177550a722037076f4ca22a5122c0c44b55cf2ddeaa,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s35_x50_g25_r304729\attempts\d_q018_s35_x50_g25_r304729_a01,d_q018_s35_x50_g25_r304729.fds;d_q018_s35_x50_g25_r304729.out;d_q018_s35_x50_g25_r304729_devc.csv;d_q018_s35_x50_g25_r304729_hrr.csv;d_q018_s35_x50_g25_r304729.smv;d_q018_s35_x50_g25_r304729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q018_s35_x60_g25_r104729,d_q018_s35_x60_g25_r104729_a01,d_q018_s35,d_q018_s35_x60,18,3.5,60,104729,light,fds_inputs/development/g3/d_q018_s35_x60_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s35_x60_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s35_x60_g25_r104729\attempts\d_q018_s35_x60_g25_r104729_a01\d_q018_s35_x60_g25_r104729.fds,a1fcbddfd7e0b57eca06516b909983b384a007ffc5cd20ec214c090170e7f2d4,883caee807407e0a5bbabb97d4d5bf6f788ff879b6da14e5274ab6b8435a2a25,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s35_x60_g25_r104729\attempts\d_q018_s35_x60_g25_r104729_a01,d_q018_s35_x60_g25_r104729.fds;d_q018_s35_x60_g25_r104729.out;d_q018_s35_x60_g25_r104729_devc.csv;d_q018_s35_x60_g25_r104729_hrr.csv;d_q018_s35_x60_g25_r104729.smv;d_q018_s35_x60_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
