batch,run_chid,job_attempt_id,parent_case_id,physical_case_id,Q_MW,burner_side_m,xf_m,rnd_seed,output_profile,source_fds_repo_path,source_fds_path,attempt_fds_path,attempt_input_sha256,run_core_sha256,return_dir,required_return_files,static_audit,status
G8_ONLY,l01_q022_s40_x50_g25_r104729,l01_q022_s40_x50_g25_r104729_a01,l01,l01,22,4,50,104729,light,fds_inputs/lockbox/g3/l01_q022_s40_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\lockbox\g3\l01_q022_s40_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l01_q022_s40_x50_g25_r104729\attempts\l01_q022_s40_x50_g25_r104729_a01\l01_q022_s40_x50_g25_r104729.fds,8a94267f3b0202887fcd573b5a78424c3f4e2c1b6f3d1ffd9a29ab0ea75dec61,e08a69729c1681ac9b8436980e055b34db6abfade378cb08d61053f15f149193,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l01_q022_s40_x50_g25_r104729\attempts\l01_q022_s40_x50_g25_r104729_a01,LOCKBOX_NOT_RUNNABLE,PASS,LOCKBOX_SEALED_NOT_RUNNABLE
G8_ONLY,l01_q022_s40_x50_g25_r204729,l01_q022_s40_x50_g25_r204729_a01,l01,l01,22,4,50,204729,light,fds_inputs/lockbox/g3/l01_q022_s40_x50_g25_r204729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\lockbox\g3\l01_q022_s40_x50_g25_r204729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l01_q022_s40_x50_g25_r204729\attempts\l01_q022_s40_x50_g25_r204729_a01\l01_q022_s40_x50_g25_r204729.fds,38bb5bffef2d646d1f0723bb8821e354a8a215056aa327c39f8ce9f932b7ee0c,a2d552c6d86c2a9569ecdeee9c634790274b7ec36765526333414cc3648b0706,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l01_q022_s40_x50_g25_r204729\attempts\l01_q022_s40_x50_g25_r204729_a01,LOCKBOX_NOT_RUNNABLE,PASS,LOCKBOX_SEALED_NOT_RUNNABLE
G8_ONLY,l01_q022_s40_x50_g25_r304729,l01_q022_s40_x50_g25_r304729_a01,l01,l01,22,4,50,304729,light,fds_inputs/lockbox/g3/l01_q022_s40_x50_g25_r304729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\lockbox\g3\l01_q022_s40_x50_g25_r304729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l01_q022_s40_x50_g25_r304729\attempts\l01_q022_s40_x50_g25_r304729_a01\l01_q022_s40_x50_g25_r304729.fds,7052c0c93e32269a244f2f2663cf708a29a2f0bf9018aca3354a968aa5bb220d,e9d7d096e3dc636958c24fa327b877335393fc83daa4c0055b196104abe091f6,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l01_q022_s40_x50_g25_r304729\attempts\l01_q022_s40_x50_g25_r304729_a01,LOCKBOX_NOT_RUNNABLE,PASS,LOCKBOX_SEALED_NOT_RUNNABLE
G8_ONLY,l02_q032_s40_x50_g25_r104729,l02_q032_s40_x50_g25_r104729_a01,l02,l02,32,4,50,104729,light,fds_inputs/lockbox/g3/l02_q032_s40_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\lockbox\g3\l02_q032_s40_x50_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l02_q032_s40_x50_g25_r104729\attempts\l02_q032_s40_x50_g25_r104729_a01\l02_q032_s40_x50_g25_r104729.fds,ba9a85d2ec55520e92c9d9015186aa0d64fc2d4c1068332e255af585e45d39e2,c4c42d5ceb887d6b977955e84c8d0dd34472b8c3a543d3f0b7b411c41a8a39c2,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l02_q032_s40_x50_g25_r104729\attempts\l02_q032_s40_x50_g25_r104729_a01,LOCKBOX_NOT_RUNNABLE,PASS,LOCKBOX_SEALED_NOT_RUNNABLE
G8_ONLY,l02_q032_s40_x50_g25_r204729,l02_q032_s40_x50_g25_r204729_a01,l02,l02,32,4,50,204729,light,fds_inputs/lockbox/g3/l02_q032_s40_x50_g25_r204729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\lockbox\g3\l02_q032_s40_x50_g25_r204729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l02_q032_s40_x50_g25_r204729\attempts\l02_q032_s40_x50_g25_r204729_a01\l02_q032_s40_x50_g25_r204729.fds,cf8682d688143e8fb73cf4cfb847be6f2e2d1e8da4bde60127008615e3f18044,65339006027e3a762096788e435671285739169299c9447e6aad7029be935327,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l02_q032_s40_x50_g25_r204729\attempts\l02_q032_s40_x50_g25_r204729_a01,LOCKBOX_NOT_RUNNABLE,PASS,LOCKBOX_SEALED_NOT_RUNNABLE
G8_ONLY,l02_q032_s40_x50_g25_r304729,l02_q032_s40_x50_g25_r304729_a01,l02,l02,32,4,50,304729,light,fds_inputs/lockbox/g3/l02_q032_s40_x50_g25_r304729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\lockbox\g3\l02_q032_s40_x50_g25_r304729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l02_q032_s40_x50_g25_r304729\attempts\l02_q032_s40_x50_g25_r304729_a01\l02_q032_s40_x50_g25_r304729.fds,d0bd64b0ed056081b2a0cfa0abf50fb76eedd9e8135b25b75863198d10855f1c,bc1468085bb2661c863cce2ee4f1bb415d0ad427b69a5cb1ab2573806f1b22d4,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l02_q032_s40_x50_g25_r304729\attempts\l02_q032_s40_x50_g25_r304729_a01,LOCKBOX_NOT_RUNNABLE,PASS,LOCKBOX_SEALED_NOT_RUNNABLE
G8_ONLY,l03_q022_s45_x42p5_g25_r104729,l03_q022_s45_x42p5_g25_r104729_a01,l03,l03,22,4.5,42.5,104729,light,fds_inputs/lockbox/g3/l03_q022_s45_x42p5_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\lockbox\g3\l03_q022_s45_x42p5_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l03_q022_s45_x42p5_g25_r104729\attempts\l03_q022_s45_x42p5_g25_r104729_a01\l03_q022_s45_x42p5_g25_r104729.fds,738578533f77634bd9b6ceab126b07f73e13a14416d4d1df5dfce11af71e2464,591cc63d16e5774592e8cb274c8b68d3e01ec19687473ea9945989ae245cf3fe,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l03_q022_s45_x42p5_g25_r104729\attempts\l03_q022_s45_x42p5_g25_r104729_a01,LOCKBOX_NOT_RUNNABLE,PASS,LOCKBOX_SEALED_NOT_RUNNABLE
G8_ONLY,l04_q022_s45_x57p5_g25_r104729,l04_q022_s45_x57p5_g25_r104729_a01,l04,l04,22,4.5,57.5,104729,light,fds_inputs/lockbox/g3/l04_q022_s45_x57p5_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\lockbox\g3\l04_q022_s45_x57p5_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l04_q022_s45_x57p5_g25_r104729\attempts\l04_q022_s45_x57p5_g25_r104729_a01\l04_q022_s45_x57p5_g25_r104729.fds,2fa00c05ceb7c8cc945675c08303c9312589097529ab640fdbdfa329c2176593,197415fb7c491f0a459231b6ffa73942a30f890e497707a41950d7a9957398b6,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l04_q022_s45_x57p5_g25_r104729\attempts\l04_q022_s45_x57p5_g25_r104729_a01,LOCKBOX_NOT_RUNNABLE,PASS,LOCKBOX_SEALED_NOT_RUNNABLE
G8_ONLY,l05_q032_s50_x42p5_g25_r104729,l05_q032_s50_x42p5_g25_r104729_a01,l05,l05,32,5,42.5,104729,light,fds_inputs/lockbox/g3/l05_q032_s50_x42p5_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\lockbox\g3\l05_q032_s50_x42p5_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l05_q032_s50_x42p5_g25_r104729\attempts\l05_q032_s50_x42p5_g25_r104729_a01\l05_q032_s50_x42p5_g25_r104729.fds,13fd8666dffacbd3212beba396b7feb4b7d887f88aa9b158d728a4937aa9ed96,47ed703b9ceac41f9cdc954b672fcc473d412fde382b92309a58fa74c0a0dde7,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l05_q032_s50_x42p5_g25_r104729\attempts\l05_q032_s50_x42p5_g25_r104729_a01,LOCKBOX_NOT_RUNNABLE,PASS,LOCKBOX_SEALED_NOT_RUNNABLE
G8_ONLY,l06_q032_s50_x57p5_g25_r104729,l06_q032_s50_x57p5_g25_r104729_a01,l06,l06,32,5,57.5,104729,light,fds_inputs/lockbox/g3/l06_q032_s50_x57p5_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\lockbox\g3\l06_q032_s50_x57p5_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l06_q032_s50_x57p5_g25_r104729\attempts\l06_q032_s50_x57p5_g25_r104729_a01\l06_q032_s50_x57p5_g25_r104729.fds,72c28eadf7af8df373a22fcaecbe6eac7ef3183061141c64338619f7e7d67a92,aaeca8ad5d62a49230dea9cc9ecf002d71b609a30375924e66ae30eeda6123d7,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\lockbox\l06_q032_s50_x57p5_g25_r104729\attempts\l06_q032_s50_x57p5_g25_r104729_a01,LOCKBOX_NOT_RUNNABLE,PASS,LOCKBOX_SEALED_NOT_RUNNABLE
