run_chid,accepted_chain_sha256,run_manifest_sha256
d_q018_s35_x50_g25_r104729,6d411a55ccb4a3cfad9aef65426bc8609caeeccbd5d5835acb8a5c06925bdff0,63a68fa130a824c9e6e75ef69958fe7c10aca0da6cb3951e2d2efed5d221474a
d_q027_s45_x40_g25_r104729,de187165f61b1f48525c15af18d907025bfb2f5008ce4c9c28881e8f8c133d9a,979824951acfc170a82609ba60b2aaacf341fa68af055ebefa8e1717d391c18c
d_q027_s45_x50_g25_r104729,f23158777151a9952012f2f3bb4e5d20bde9a8186f43612bc2409391f7f2c76e,9ce01bf53d218bd3d8be9b262683f27baef73a76a63c4019e0486caece7e4e73
d_q027_s45_x60_g25_r104729,faa2d09220c1eeab0325009723faecc22e96a0e890263991262ee5595cf980ea,f6b15152fe2a93170567d82bdf3bb97f7859c5fbe424c2fec2c7ab9e4f19aea7
d_q036_s50_x50_g25_r104729,fdbb4a8a6e9f5f30ddf6a9a3bf91816166c022107a124af71dca6b7b5724d6bb,d2fec320bb3a55688eec502dee313cb89dfc9081a54207cd8a302ff8d742a729
d_q018_s45_x50_g25_r104729,9037b74f67a92efc7c280531d51f4779b8a95fe6c0afb599ededbaf3cb537828,6a7b5088fb79877dc99bdce458ab27a6ce18b7e584517fc6a3c3598630537c82
d_q018_s50_x50_g25_r104729,09bee6dc7b15c52aca8b280b0ac21ad13329384399fd0c4feb8f2cf0428e6290,92e9b051fab3bf56e8775ca0c147dd9feb75358b36618361252a8e5b6905fdfd
d_q027_s35_x50_g25_r104729,8667dc2e8c1d7078b3227c66c678304b06eed17098d683ab2e6600397dee5a5d,4bd28dd7ff632a5d4482e5bf8873583c67b7f8d4e5da9330edfc97a9f00a2f0e
d_q027_s50_x50_g25_r104729,ea662f7bb28d4bc274939abfc7caab732b980535161b61817b4dcecdc3777cf0,4e0e1449abf5665eec6f2de3dca6083c3cb21829d27aecefeef379d38bf7030f
d_q036_s35_x50_g25_r104729,297c280c38a64ee7d9365a52ed5af5b6221aefd18df9a95dec16cd38c01617ec,c365757e5e2d12180283c9662bd6b09193d2089111e6ba64a3f5dff0b577e221
d_q036_s45_x50_g25_r104729,e27e4a865eb64519684454760e50118de002c56b72865b3336aeb1b981bc0ed4,03693e9d898251c0c12c0dcb552340bbfcbb7e168c5e43dfb89947ad55a98162
d_q018_s35_x40_g25_r104729,2fc7f9454249853931d96459da97ad6cc21586a3d84192a8a39035293672c391,04528a881a95e77ffa10869769ba6a864c4cd8842296aefef4a4035a7acf8938
d_q018_s35_x50_g25_r204729,96381e130fc3f4b349c607c45f23d4b3ef874d59bcfe28928d3d279df0e3bfbd,24ab4089c6c20df33ae911889f3d319eee5be682e48d5e0a38aefb49255abdc9
d_q018_s35_x50_g25_r304729,12072fecb31097edc25006ef8bcfe3cdb6a4da783dd4f492c2e485b7ee8bffae,53821c7d18fcf96083b1346ffa244842d6a6f26107370a19f37a281ffb0cefc1
d_q018_s35_x60_g25_r104729,f69b4f69f702c608eb75c11d91fe2ee365a18544c472406f88f8eb6b9fa85e0e,8b1e2cd15efebb7b0c62fdf08a3ccac03756bc46cb841dc27f7a755399478c83
d_q018_s50_x40_g25_r104729,721da3c5e602aed5ee2fad74326f270271b335ff2cbee8804f7275af457a190a,b249ae3f920de63d325fa6773aae8eeab620a457a88eccfbc5029dd0eb60de9a
d_q018_s50_x60_g25_r104729,c023281fa8308629b49c4de1af90cf2ef072aa97738a6009ec34d7a767c63dd7,dceee8452543453d204939f605262450637572d81a46a6215044868645bf8607
d_q027_s45_x40_g25_r204729,1abcc83f4087d314353462eb74584f81c81492afaf8a0a8ce7de666f7ab58374,41cdec2782ae178ede9875b903fdf75b2743ca7d5ff0208a546ee00d391ca208
d_q027_s45_x40_g25_r304729,ceff59f2022a9483aceda653b126eb2f6bcd754ea2addb597855e3cb6e289aaf,cc0075fb45ddaa1e13bf61548888c78791afb77a727d793c9439775a08227f6e
d_q027_s45_x60_g25_r204729,357839bdd2180816ce07e5c5d683a50d5bd82b8ba95a8efe1168820d67472ced,8b7a3b5b444fc5ade008b0e96264e50f4cace8e73a67e40adb2ab4483845e37e
d_q027_s45_x60_g25_r304729,a491f140395691e4d9f3ef943cb0cc161d7a60c5f659fe1def1097dba8da1472,4da019708583bae48b7c22796f76564e8a8aab0ad8fbff3249d95c0507482d40
d_q036_s35_x40_g25_r104729,18e256f16d0398d4329e7a49b01e9964d1ef82e7031dfe7a4ec3ddb68e6a0bb7,59c1ed945091902708f88452601d9d5a1ffd03c8f640085d93ed2bacb083afac
d_q036_s35_x60_g25_r104729,83f409eab25a0d7591bd05e27d567628b722b9b3e758dbb965b8634c9f3a7337,8844d4ddce9c2422becc0939fd8e924f23c4c3ff64ed239262cab116425adef7
d_q036_s50_x40_g25_r104729,95e651379bf0dd136fa1fc98097783239a9c99db81fd62ffb198df01e5f08667,a42aaf09d647efdc091710c135a461f21a00731d4117f27d24c3f1b1dcc650c7
d_q036_s50_x50_g25_r204729,efb392dd0632b382e4ad560b7a963ff783d5967db9c6f4c824e316ba11967bce,f1642e3c1fdcaa5351d5ade96fae82e306b6b57776cbe00f6ee3c417968c65fb
d_q036_s50_x50_g25_r304729,0265a1a447a7a4301f0f6108501c8b6bcde995a77bb4f51b8d276f378bf46659,0571bd124f9a84453ca92ca16521495734791534d5984619a7a7db4a3e60b31f
d_q036_s50_x60_g25_r104729,751922cb1d7a766226abfa12fa21b973171665bc2a3fea140fb196308dfba27f,4f592244fb498d078e785ccb0f0bc2837897cb28c366c53af06e9d93643da443
