chid,run_chid,job_attempt_id,case_kind,status,fds_version,version_match,t_end_s,devc_t_final_s,hrr_t_final_s,error_count,warning_count,rejected_count,burner_issue,required_devc_ok,required_hrr_ok,time_series_ok,hrr_nonzero,target_hrr_kW,tail_hrr_kW,hrr_closure_rel_error,end_marker_present,out_completed_successfully,full_field_present,issues
d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.15,18009.368612903225,0.0005121408934494102,False,True,True,
d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729,d_q018_s35_x50_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.15,17983.118483870967,0.0009461874556064572,False,True,True,
d_q018_s35_x50_g25_r204729,d_q018_s35_x50_g25_r204729,d_q018_s35_x50_g25_r204729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.15,17990.870967741936,0.0005154974963023004,False,True,True,
d_q018_s35_x50_g25_r304729,d_q018_s35_x50_g25_r304729,d_q018_s35_x50_g25_r304729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.15,17985.73229032258,0.0008009771961579183,False,True,True,
d_q018_s35_x60_g25_r104729,d_q018_s35_x60_g25_r104729,d_q018_s35_x60_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.15,18002.603548387095,0.0001363071078348335,False,True,True,
d_q018_s45_x50_g25_r104729,d_q018_s45_x50_g25_r104729,d_q018_s45_x50_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.225,17991.438967741935,0.0004881068018907343,False,True,True,
d_q018_s50_x40_g25_r104729,d_q018_s50_x40_g25_r104729,d_q018_s50_x40_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.0,18006.322419354838,0.00035124551971320116,False,True,True,
d_q018_s50_x50_g25_r104729,d_q018_s50_x50_g25_r104729,d_q018_s50_x50_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.0,17993.616612903224,0.0003546326164875306,False,True,True,
d_q018_s50_x60_g25_r104729,d_q018_s50_x60_g25_r104729,d_q018_s50_x60_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,18000.0,18015.08248387097,0.0008379157706094702,False,True,True,
d_q027_s35_x50_g25_r104729,d_q027_s35_x50_g25_r104729,d_q027_s35_x50_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,27000.225,26912.459677419356,0.003250540415149968,False,True,True,
d_q027_s45_x40_g25_r104729,d_q027_s45_x40_g25_r104729,d_q027_s45_x40_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,26999.325,26967.777225806454,0.0011684652928747848,False,True,True,
d_q027_s45_x40_g25_r204729,d_q027_s45_x40_g25_r204729,d_q027_s45_x40_g25_r204729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,26999.325,27008.158935483872,0.0003271909754733407,False,True,True,
d_q027_s45_x40_g25_r304729,d_q027_s45_x40_g25_r304729,d_q027_s45_x40_g25_r304729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,26999.325,27000.012387096773,2.545941784737209e-05,False,True,True,
d_q027_s45_x50_g25_r104729,d_q027_s45_x50_g25_r104729,d_q027_s45_x50_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,26999.325,26985.82164516129,0.0005001367567045083,False,True,True,
d_q027_s45_x60_g25_r104729,d_q027_s45_x60_g25_r104729,d_q027_s45_x60_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,26999.325,27011.25029032258,0.0004416884615663096,False,True,True,
d_q027_s45_x60_g25_r204729,d_q027_s45_x60_g25_r204729,d_q027_s45_x60_g25_r204729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,26999.325,26996.283290322583,0.00011265873044670976,False,True,True,
d_q027_s45_x60_g25_r304729,d_q027_s45_x60_g25_r304729,d_q027_s45_x60_g25_r304729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,26999.325,26997.404096774193,7.114634257736836e-05,False,True,True,
d_q027_s50_x50_g25_r104729,d_q027_s50_x50_g25_r104729,d_q027_s50_x50_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,27000.0,26985.045129032256,0.000553884109916436,False,True,True,
d_q036_s35_x40_g25_r104729,d_q036_s35_x40_g25_r104729,d_q036_s35_x40_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,36000.3,35979.422,0.0005799396116144657,False,True,True,
d_q036_s35_x50_g25_r104729,d_q036_s35_x50_g25_r104729,d_q036_s35_x50_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,36000.3,35946.54712903225,0.0014931228619692032,False,True,True,
d_q036_s35_x60_g25_r104729,d_q036_s35_x60_g25_r104729,d_q036_s35_x60_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,36000.3,36037.558774193545,0.0010349573251762399,False,True,True,
d_q036_s45_x50_g25_r104729,d_q036_s45_x50_g25_r104729,d_q036_s45_x50_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,36000.45,35918.43751612904,0.0022780960757701595,False,True,True,
