parent_case_id,reference_chid,comparison_chid,x_fire_reference_m,x_fire_comparison_m,relative_curve_symmetric_nrmse,relative_peak_shift_difference_m,status
d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x40_g25_r104729,50.0,40.0,0.01503853887321892,0.04838496643378676,PASS
d_q018_s35,d_q018_s35_x50_g25_r104729,d_q018_s35_x60_g25_r104729,50.0,60.0,0.014451332014090584,0.08219080947237956,PASS
d_q018_s50,d_q018_s50_x50_g25_r104729,d_q018_s50_x40_g25_r104729,50.0,40.0,0.030471074720541554,0.14899019929731594,PASS
d_q018_s50,d_q018_s50_x50_g25_r104729,d_q018_s50_x60_g25_r104729,50.0,60.0,0.04645362543758956,0.15573119576539085,PASS
d_q027_s45,d_q027_s45_x50_g25_r104729,d_q027_s45_x40_g25_r104729,50.0,40.0,0.0289360695080767,0.09279524101017955,PASS
d_q027_s45,d_q027_s45_x50_g25_r104729,d_q027_s45_x60_g25_r104729,50.0,60.0,0.026656827146640256,0.0958158617222793,PASS
d_q036_s35,d_q036_s35_x50_g25_r104729,d_q036_s35_x40_g25_r104729,50.0,40.0,0.010340996314703694,0.08360039412114872,PASS
d_q036_s35,d_q036_s35_x50_g25_r104729,d_q036_s35_x60_g25_r104729,50.0,60.0,0.01701309272621019,0.02557859040891941,PASS
d_q036_s50,d_q036_s50_x50_g25_r104729,d_q036_s50_x40_g25_r104729,50.0,40.0,0.0362597916723901,0.04812945439490335,PASS
d_q036_s50,d_q036_s50_x50_g25_r104729,d_q036_s50_x60_g25_r104729,50.0,60.0,0.03124220054904645,0.023822174354144465,PASS
