candidate_instance_id,trial_id,campaign_id,search_phase,variables_json,task,constraint,certification_layer,status,margin,worst_witness_json,certification_method,boxes_evaluated,rejection_code,machine_protocol_sha256,execution_supplement_sha256,shape_expansion_decision_sha256
CAND_377da84898214ef3ee54,peak_q_d__outer00__inner00__seed2026082301,peak_q_d,INITIAL,"[""q"",""d""]",peak,STRUCTURAL_EXPRESSION_AUDIT,SYMBOLIC,FAIL,,{},SYMBOLIC_STRUCTURE_AUDIT,0,NO_ALLOWED_VARIABLE_SUPPORT,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_dabe91a6e78936a97337,peak_q_d__outer00__inner00__seed2026082301,peak_q_d,INITIAL,"[""q"",""d""]",peak,REAL_FINITE_ON_AUDIT_POINTS,BOUNDARY_PLUS_SOBOL_NUMERIC,PASS,0.0,"{""d"":0.7777777777777778,""q"":0.6663915370370371}",FIXED_BOUNDARY_PLUS_SOBOL_NUMERIC_AUDIT,0,,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_dabe91a6e78936a97337,peak_q_d__outer00__inner00__seed2026082301,peak_q_d,INITIAL,"[""q"",""d""]",peak,F_T_STRICTLY_POSITIVE,BOUNDARY_PLUS_SOBOL_NUMERIC,PASS,1.6993890486934817,"{""d"":0.7777777777777778,""q"":0.6663915370370371}",FIXED_BOUNDARY_PLUS_SOBOL_NUMERIC_AUDIT,0,,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_dabe91a6e78936a97337,peak_q_d__outer00__inner00__seed2026082301,peak_q_d,INITIAL,"[""q"",""d""]",peak,PEAK_NONDECREASING_WITH_Q,BOUNDARY_PLUS_SOBOL_NUMERIC,PASS,2.550136,"{""d"":0.7777777777777778,""q"":0.6663915370370371}",FIXED_BOUNDARY_PLUS_SOBOL_NUMERIC_AUDIT,0,,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_dabe91a6e78936a97337,peak_q_d__outer00__inner00__seed2026082301,peak_q_d,INITIAL,"[""q"",""d""]",peak,REAL_FINITE_NO_SINGULARITY_ON_SUPPORT,CONTINUOUS_DOMAIN_INTERVAL,PASS,,"{""box_limit"":4096,""boxes_evaluated"":1,""covered_support"":{""d"":[0.7777777777777778,1.1111111111111112],""q"":[0.6663915370370371,1.333524590123457],""xi"":[0.0,5.0]},""depth_limit"":24,""interval_dps"":60,""method"":""MPMATH_IV_BRANCH_AND_BOUND_V1"",""mpmath_version"":""1.3.0"",""worst_guard_box"":{""d"":[0.7777777777777778,1.1111111111111112],""q"":[0.6663915370370371,1.333524590123457],""xi"":[0.0,5.0]},""worst_operator_guard"":""not_applicable""}",MPMATH_IV_BRANCH_AND_BOUND_V1,1,,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_dabe91a6e78936a97337,peak_q_d__outer00__inner00__seed2026082301,peak_q_d,INITIAL,"[""q"",""d""]",peak,F_T_STRICTLY_POSITIVE,CONTINUOUS_DOMAIN_INTERVAL,PASS,1.699389048693481762276635,"{""bound_relation"":""GT_ZERO"",""box_limit"":4096,""boxes_evaluated"":1,""covered_support"":{""d"":[0.7777777777777778,1.1111111111111112],""q"":[0.6663915370370371,1.333524590123457],""xi"":[0.0,5.0]},""depth_limit"":24,""interval_dps"":60,""method"":""MPMATH_IV_BRANCH_AND_BOUND_V1"",""mpmath_version"":""1.3.0"",""worst_box"":{""d"":[0.7777777777777778,1.1111111111111112],""q"":[0.6663915370370371,1.333524590123457],""xi"":[0.0,5.0]},""worst_interval"":[""1.699389048693481762276635"",""3.400669064159072380747855""]}",MPMATH_IV_BRANCH_AND_BOUND_V1,1,,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_dabe91a6e78936a97337,peak_q_d__outer00__inner00__seed2026082301,peak_q_d,INITIAL,"[""q"",""d""]",peak,PEAK_NONDECREASING_WITH_Q,CONTINUOUS_DOMAIN_INTERVAL,PASS,2.550136000000000180421011,"{""bound_relation"":""GE_ZERO"",""box_limit"":4096,""boxes_evaluated"":1,""certified_expression"":""2.55013600000000"",""covered_support"":{""d"":[0.7777777777777778,1.1111111111111112],""q"":[0.6663915370370371,1.333524590123457],""xi"":[0.0,5.0]},""depth_limit"":24,""interval_dps"":60,""method"":""MPMATH_IV_BRANCH_AND_BOUND_V1"",""mpmath_version"":""1.3.0"",""worst_box"":{""d"":[0.7777777777777778,1.1111111111111112],""q"":[0.6663915370370371,1.333524590123457],""xi"":[0.0,5.0]},""worst_interval"":[""2.550136000000000180421011"",""2.550136000000000180421011""]}",MPMATH_IV_BRANCH_AND_BOUND_V1,1,,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_240d0bae82aaeb87fcdf,peak_q_d__outer00__inner00__seed2026082301,peak_q_d,INITIAL,"[""q"",""d""]",peak,REAL_FINITE_ON_AUDIT_POINTS,BOUNDARY_PLUS_SOBOL_NUMERIC,PASS,0.0,"{""d"":0.7777777777777778,""q"":0.6663915370370371}",FIXED_BOUNDARY_PLUS_SOBOL_NUMERIC_AUDIT,0,,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_240d0bae82aaeb87fcdf,peak_q_d__outer00__inner00__seed2026082301,peak_q_d,INITIAL,"[""q"",""d""]",peak,F_T_STRICTLY_POSITIVE,BOUNDARY_PLUS_SOBOL_NUMERIC,PASS,1.6818225605379127,"{""d"":1.1111111111111112,""q"":0.6663915370370371}",FIXED_BOUNDARY_PLUS_SOBOL_NUMERIC_AUDIT,0,,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
CAND_240d0bae82aaeb87fcdf,peak_q_d__outer00__inner00__seed2026082301,peak_q_d,INITIAL,"[""q"",""d""]",peak,PEAK_NONDECREASING_WITH_Q,BOUNDARY_PLUS_SOBOL_NUMERIC,PASS,2.5237753888888887,"{""d"":1.1111111111111112,""q"":0.6663915370370371}",FIXED_BOUNDARY_PLUS_SOBOL_NUMERIC_AUDIT,0,,453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
