trial_id,campaign_id,search_phase,variables_json,stage,task,outer_fold_index,outer_holdout_parent_case_id,inner_fold_index,train_parent_case_ids_json,validation_parent_case_ids_json,test_parent_case_ids_json,seed,status,error_type,error_message,started_at_utc,elapsed_s,n_train_rows,n_train_parent_groups,candidate_count,runner_metadata_json,machine_protocol_sha256,execution_supplement_sha256,shape_expansion_decision_sha256
peak_q_d__outer00__inner00__seed2026082301,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,"[""d_q027_s35"",""d_q027_s45"",""d_q027_s50"",""d_q036_s35"",""d_q036_s45"",""d_q036_s50""]","[""d_q018_s45"",""d_q018_s50""]","[""d_q018_s35""]",2026082301,SUCCESS,,,2026-08-23T10:59:09.594321+00:00,27.335986400023103,6,6,6,"{""engine"": ""PySR"", ""engine_output_directory"": ""C:\\Users\\xiao.cheng\\Desktop\\科研\\derived\\development\\g5_sr_engine"", ""engine_run_id"": ""peak_q_d__outer00__inner00__seed2026082301""}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082302,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,"[""d_q027_s35"",""d_q027_s45"",""d_q027_s50"",""d_q036_s35"",""d_q036_s45"",""d_q036_s50""]","[""d_q018_s45"",""d_q018_s50""]","[""d_q018_s35""]",2026082302,SUCCESS,,,2026-08-23T10:59:36.963822+00:00,3.0484886998310685,6,6,8,"{""engine"": ""PySR"", ""engine_output_directory"": ""C:\\Users\\xiao.cheng\\Desktop\\科研\\derived\\development\\g5_sr_engine"", ""engine_run_id"": ""peak_q_d__outer00__inner00__seed2026082302""}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082303,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,"[""d_q027_s35"",""d_q027_s45"",""d_q027_s50"",""d_q036_s35"",""d_q036_s45"",""d_q036_s50""]","[""d_q018_s45"",""d_q018_s50""]","[""d_q018_s35""]",2026082303,SUCCESS,,,2026-08-23T10:59:40.033175+00:00,2.766322399955243,6,6,6,"{""engine"": ""PySR"", ""engine_output_directory"": ""C:\\Users\\xiao.cheng\\Desktop\\科研\\derived\\development\\g5_sr_engine"", ""engine_run_id"": ""peak_q_d__outer00__inner00__seed2026082303""}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082304,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,"[""d_q027_s35"",""d_q027_s45"",""d_q027_s50"",""d_q036_s35"",""d_q036_s45"",""d_q036_s50""]","[""d_q018_s45"",""d_q018_s50""]","[""d_q018_s35""]",2026082304,SUCCESS,,,2026-08-23T10:59:42.821729+00:00,3.084488299675286,6,6,7,"{""engine"": ""PySR"", ""engine_output_directory"": ""C:\\Users\\xiao.cheng\\Desktop\\科研\\derived\\development\\g5_sr_engine"", ""engine_run_id"": ""peak_q_d__outer00__inner00__seed2026082304""}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner00__seed2026082305,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,0,"[""d_q027_s35"",""d_q027_s45"",""d_q027_s50"",""d_q036_s35"",""d_q036_s45"",""d_q036_s50""]","[""d_q018_s45"",""d_q018_s50""]","[""d_q018_s35""]",2026082305,SUCCESS,,,2026-08-23T10:59:45.938422+00:00,3.0443715997971594,6,6,6,"{""engine"": ""PySR"", ""engine_output_directory"": ""C:\\Users\\xiao.cheng\\Desktop\\科研\\derived\\development\\g5_sr_engine"", ""engine_run_id"": ""peak_q_d__outer00__inner00__seed2026082305""}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner01__seed2026082301,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,1,"[""d_q018_s45"",""d_q018_s50"",""d_q027_s50"",""d_q036_s35"",""d_q036_s45"",""d_q036_s50""]","[""d_q027_s35"",""d_q027_s45""]","[""d_q018_s35""]",2026082301,SUCCESS,,,2026-08-23T10:59:49.011281+00:00,2.897943500429392,6,6,8,"{""engine"": ""PySR"", ""engine_output_directory"": ""C:\\Users\\xiao.cheng\\Desktop\\科研\\derived\\development\\g5_sr_engine"", ""engine_run_id"": ""peak_q_d__outer00__inner01__seed2026082301""}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner01__seed2026082302,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,1,"[""d_q018_s45"",""d_q018_s50"",""d_q027_s50"",""d_q036_s35"",""d_q036_s45"",""d_q036_s50""]","[""d_q027_s35"",""d_q027_s45""]","[""d_q018_s35""]",2026082302,SUCCESS,,,2026-08-23T10:59:51.948430+00:00,2.9531513997353613,6,6,9,"{""engine"": ""PySR"", ""engine_output_directory"": ""C:\\Users\\xiao.cheng\\Desktop\\科研\\derived\\development\\g5_sr_engine"", ""engine_run_id"": ""peak_q_d__outer00__inner01__seed2026082302""}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner01__seed2026082303,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,1,"[""d_q018_s45"",""d_q018_s50"",""d_q027_s50"",""d_q036_s35"",""d_q036_s45"",""d_q036_s50""]","[""d_q027_s35"",""d_q027_s45""]","[""d_q018_s35""]",2026082303,SUCCESS,,,2026-08-23T10:59:54.926999+00:00,2.740110999904573,6,6,5,"{""engine"": ""PySR"", ""engine_output_directory"": ""C:\\Users\\xiao.cheng\\Desktop\\科研\\derived\\development\\g5_sr_engine"", ""engine_run_id"": ""peak_q_d__outer00__inner01__seed2026082303""}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner01__seed2026082304,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,1,"[""d_q018_s45"",""d_q018_s50"",""d_q027_s50"",""d_q036_s35"",""d_q036_s45"",""d_q036_s50""]","[""d_q027_s35"",""d_q027_s45""]","[""d_q018_s35""]",2026082304,SUCCESS,,,2026-08-23T10:59:57.694050+00:00,4.031373000238091,6,6,6,"{""engine"": ""PySR"", ""engine_output_directory"": ""C:\\Users\\xiao.cheng\\Desktop\\科研\\derived\\development\\g5_sr_engine"", ""engine_run_id"": ""peak_q_d__outer00__inner01__seed2026082304""}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
peak_q_d__outer00__inner01__seed2026082305,peak_q_d,INITIAL,"[""q"",""d""]",INNER_SEARCH,peak,0,d_q018_s35,1,"[""d_q018_s45"",""d_q018_s50"",""d_q027_s50"",""d_q036_s35"",""d_q036_s45"",""d_q036_s50""]","[""d_q027_s35"",""d_q027_s45""]","[""d_q018_s35""]",2026082305,SUCCESS,,,2026-08-23T11:00:01.752560+00:00,2.923342499881983,6,6,7,"{""engine"": ""PySR"", ""engine_output_directory"": ""C:\\Users\\xiao.cheng\\Desktop\\科研\\derived\\development\\g5_sr_engine"", ""engine_run_id"": ""peak_q_d__outer00__inner01__seed2026082305""}",453c6a9dbc6ba19d096c9ae6dfb6836b82df3f4ef8501b17a41e60f12dc21a8b,c3fe3963d6eaedd1cc3fbb65c73a0bcf57cb260fd2f6fa9c40d3371f40640a55,
