chid,group,dx,t0,t1,x_m,C_T_bar_J_per_m,J_T_bar_W
gsA_c,grid_low_weak,0.5,176.02147,206.01043,15.0,2560840.8575825817,-107966.7266591506
gsA_c,grid_low_weak,0.5,176.02147,206.01043,22.0,2584044.2733422583,-280273.1911731522
gsA_c,grid_low_weak,0.5,176.02147,206.01043,29.0,2695581.5245354255,-360519.97185667855
gsA_c,grid_low_weak,0.5,176.02147,206.01043,39.5,2816077.806439224,-601423.7968216958
gsA_c,grid_low_weak,0.5,176.02147,206.01043,46.5,2950868.1830750983,-704656.3116850111
gsA_c,grid_low_weak,0.5,176.02147,206.01043,50.0,3621932.284036718,1802713.5446356284
gsA_c,grid_low_weak,0.5,176.02147,206.01043,53.5,4839926.840354237,5854604.494088221
gsA_c,grid_low_weak,0.5,176.02147,206.01043,60.5,4413862.677274677,6038936.2149212025
gsA_c,grid_low_weak,0.5,176.02147,206.01043,71.0,3031934.513288642,5680887.544536911
gsA_c,grid_low_weak,0.5,176.02147,206.01043,78.0,2422975.835762776,5463915.854800035
gsA_c,grid_low_weak,0.5,176.02147,206.01043,85.0,2385013.4922856973,5427816.887181489
gsA_m,grid_low_weak,0.25,231.00583,260.01017,15.0,2717908.2382195764,-224149.40711896634
gsA_m,grid_low_weak,0.25,231.00583,260.01017,22.0,2815544.3569925353,-389048.6725162573
gsA_m,grid_low_weak,0.25,231.00583,260.01017,29.0,2892496.8759334846,-610093.2892390564
gsA_m,grid_low_weak,0.25,231.00583,260.01017,39.5,3118165.377738133,-780853.1122075435
gsA_m,grid_low_weak,0.25,231.00583,260.01017,46.5,3313610.9516088367,-908022.3527068145
gsA_m,grid_low_weak,0.25,231.00583,260.01017,50.0,3874108.765923655,1468672.197976228
gsA_m,grid_low_weak,0.25,231.00583,260.01017,53.5,4654529.376889014,5217995.03463632
gsA_m,grid_low_weak,0.25,231.00583,260.01017,60.5,3799209.8218715177,6030245.492936988
gsA_m,grid_low_weak,0.25,231.00583,260.01017,71.0,2789200.677356122,5452627.274939305
gsA_m,grid_low_weak,0.25,231.00583,260.01017,78.0,2281875.219359945,5582548.4654061245
gsA_m,grid_low_weak,0.25,231.00583,260.01017,85.0,2216526.0773766413,5319265.394588898
gsA_f,grid_low_weak,0.125,241.00578,270.00345,15.0,2963927.191187113,-266612.8514206012
gsA_f,grid_low_weak,0.125,241.00578,270.00345,22.0,3076221.34775895,-334052.6352256224
gsA_f,grid_low_weak,0.125,241.00578,270.00345,29.0,3162125.5741296746,-523479.4956298515
gsA_f,grid_low_weak,0.125,241.00578,270.00345,39.5,3391527.2042980925,-744352.7220592165
gsA_f,grid_low_weak,0.125,241.00578,270.00345,46.5,3538230.4170193872,-977323.2229708298
