time,Tmax_C,T_representative_C,L_back_m,hrr_osc_rel,Tmax_slope_C_per_s,Trep_slope_C_per_s,Lback_slope_m_per_s,enthalpy_rel_drift,enthalpy_flux_criterion,steady_flag
0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
1.0710652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
2.048522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
3.0235664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
4.0179213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
5.0045632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
6.0023594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
7.0064917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
8.0073458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
9.0005751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
10.000277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
11.005996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
12.012091,127.27112,44.01663,11.403037,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
13.004327,131.249355,44.612349,11.821511,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
14.007151,136.896988,45.55916,11.836434,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
15.002864,145.526162,47.767189,11.824927,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
16.007495,144.217203,48.494964,12.006885,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
17.002405,152.973015,50.779455,12.366897,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
18.00312,163.413395,54.27614,12.685208,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
19.009273,174.348969,57.21755,13.075066,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
20.005906,191.683229,60.833847,13.502658,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
21.002008,192.346208,61.929769,13.782032,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
22.003751,197.115042,63.423352,14.111972,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
23.00965,201.073087,66.184438,17.147607,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
24.001235,207.888479,66.55369,17.582533,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
25.006208,212.802609,67.624423,18.456294,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
26.003483,215.820191,69.808259,18.876484,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
27.007496,215.910053,72.470791,19.913282,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
28.001986,212.447679,75.157658,21.027175,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
29.008513,214.416275,78.931631,22.219098,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
30.007208,215.454002,81.903849,23.033661,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
31.000826,214.632871,82.327627,23.506527,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
32.004397,219.378047,85.892287,24.403666,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
33.001109,219.363145,86.152407,24.831432,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
34.004876,218.427935,87.24477,25.880719,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
35.009599,221.766646,89.733994,27.250869,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
36.001528,224.923882,90.115165,27.72216,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
37.012829,217.137363,91.811484,28.945065,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
38.004784,215.027359,92.068405,29.54768,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
39.001141,215.072604,92.993529,30.355365,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
40.010478,210.450948,94.218977,31.32473,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
41.005808,206.603851,94.49321,31.972969,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
42.009764,204.308143,94.803216,32.609276,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
43.005636,211.556549,95.005834,33.174329,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
44.011709,211.382987,94.967717,33.790276,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
45.010167,207.922037,94.689016,34.366755,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
46.007537,205.687477,95.344558,34.909701,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
