time,Tmax_C,T_representative_C,L_back_m,hrr_osc_rel,Tmax_slope_C_per_s,Trep_slope_C_per_s,Lback_slope_m_per_s,enthalpy_rel_drift,enthalpy_flux_criterion,steady_flag
0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
1.0710652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
2.1454334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
3.0047954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
4.0093736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
5.0095999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
6.0156419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
7.0142903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
8.0225149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
9.0159808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
10.011015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
11.0091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
12.00748,156.686317,53.224446,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
13.008446,168.470636,55.610275,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
14.008671,173.726835,58.460564,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
15.006304,187.965338,64.624886,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
16.003167,197.308069,67.812288,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
17.007043,218.304144,73.530186,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
18.007469,244.876368,82.830548,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
19.000039,250.617289,85.015171,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
20.012597,296.571915,93.920171,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
21.001183,297.379697,95.333729,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
22.011642,321.922432,95.355478,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
23.020937,338.46323,98.447172,10.381027,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
24.011304,340.957786,105.152807,10.364412,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
25.002346,342.982841,111.195321,10.291297,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
26.000347,354.097981,117.15057,10.288193,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
27.000329,351.788429,123.911612,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
28.006583,353.945536,131.287298,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
29.006291,351.380756,137.413446,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
30.012459,371.59682,144.106217,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
31.011159,382.27647,147.876499,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
32.006638,381.121526,149.559031,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
33.004017,380.902051,153.422308,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
34.006971,390.692782,159.894356,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
35.009299,382.616616,159.695663,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
36.013495,390.101527,164.861061,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
37.021003,389.802266,165.404836,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
38.015478,384.332148,164.19813,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
39.015472,387.502847,162.770436,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
40.013944,389.249267,161.87352,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
41.014702,376.397032,161.305717,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
42.012934,385.796238,160.084179,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
43.008681,375.678373,158.025483,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
44.010619,378.697603,156.841332,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
45.013366,390.571094,156.343443,16.204385,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
46.009106,386.422782,157.843596,16.292335,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
