time,Tmax_C,T_representative_C,L_back_m,hrr_osc_rel,Tmax_slope_C_per_s,Trep_slope_C_per_s,Lback_slope_m_per_s,enthalpy_rel_drift,enthalpy_flux_criterion,steady_flag
0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
1.0710652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
2.1390958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
3.0615312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
4.0151894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
5.0081826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
6.0092002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
7.0149124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
8.0106375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
9.007214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
10.000526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
11.010888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
12.014975,139.674313,47.39821,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
13.014839,145.014567,51.808813,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
14.01093,162.532277,53.358318,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
15.005417,176.664358,56.803505,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
16.006058,189.587839,59.207787,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
17.001865,211.556657,62.640673,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
18.015489,225.711461,68.367801,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
19.014381,249.316094,73.471661,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
20.014389,292.261407,80.596915,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
21.0089,286.93205,81.75146,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
22.003064,321.196464,81.711414,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
23.016401,354.365794,83.580564,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
24.010586,354.355323,87.954012,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
25.004264,354.732835,89.456126,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
26.001517,356.357298,88.591511,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
27.01445,339.569645,89.171511,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
28.002498,350.998188,88.310921,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
29.003149,362.142321,85.934881,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
30.006432,364.31971,88.180885,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
31.013035,383.615677,87.051102,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
32.015389,375.946721,87.803434,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
33.010189,366.128384,88.402486,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
34.017976,365.955086,85.421897,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
35.004384,357.898479,85.758705,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
36.008848,353.505434,87.415745,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
37.015388,353.200967,86.337704,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
38.017574,343.866819,86.530653,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
39.012203,348.680615,86.521608,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
40.009123,373.647965,86.194262,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
41.014209,369.685369,86.720611,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
42.009892,365.954139,87.262268,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
43.007448,377.495419,87.746524,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
44.014629,378.284969,89.242343,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
45.008442,371.098421,88.261813,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
46.001871,368.130088,87.742027,0.0,NaN,NaN,NaN,NaN,NaN,CHECKED_FIELD_PROFILE,0
