chid,sensor,x,t0,t1,T_bar,T_mean_C,sd,ci_lo,ci_hi,block_len_samples,n_samples,n_boot,seed
gsA_c,T_1500,15.0,176.02147,206.01043,93.971453,113.971453,1.098185,91.433776,95.634559,6,31,2000,0
gsA_c,T_2000,20.0,176.02147,206.01043,99.231363,119.231363,0.871474,97.564693,101.025249,6,31,2000,0
gsA_c,T_2500,25.0,176.02147,206.01043,104.452337,124.452337,1.233802,101.742251,106.609479,6,31,2000,0
gsA_c,T_3000,30.0,176.02147,206.01043,111.161642,131.161642,1.216576,108.686955,113.448986,6,31,2000,0
gsA_c,T_3250,32.5,176.02147,206.01043,114.997081,134.997081,1.141914,112.90912,117.332155,6,31,2000,0
gsA_c,T_3500,35.0,176.02147,206.01043,119.130473,139.130473,1.460145,116.579852,122.231372,6,31,2000,0
gsA_c,T_3750,37.5,176.02147,206.01043,123.655556,143.655556,1.693868,120.398808,126.980969,6,31,2000,0
gsA_c,T_4000,40.0,176.02147,206.01043,128.468955,148.468955,2.206385,124.175412,132.507704,6,31,2000,0
gsA_c,T_4250,42.5,176.02147,206.01043,134.064579,154.064579,2.445203,129.08597,138.597186,6,31,2000,0
gsA_c,T_4500,45.0,176.02147,206.01043,140.590096,160.590096,2.268126,136.425913,145.233303,6,31,2000,0
gsA_c,T_4750,47.5,176.02147,206.01043,148.980365,168.980365,2.620991,144.539858,154.662352,6,31,2000,0
gsA_c,T_5000,50.0,176.02147,206.01043,158.219387,178.219387,2.872633,153.157469,164.40931,6,31,2000,0
gsA_c,T_5250,52.5,176.02147,206.01043,165.086402,185.086402,1.946427,161.211928,168.695506,6,31,2000,0
gsA_c,T_5500,55.0,176.02147,206.01043,189.719577,209.719577,5.118577,180.649368,200.385812,6,31,2000,0
gsA_c,T_5750,57.5,176.02147,206.01043,234.437912,254.437912,6.341998,221.507379,246.015295,6,31,2000,0
gsA_c,T_6000,60.0,176.02147,206.01043,206.02166,226.02166,3.401314,199.330403,212.5548,6,31,2000,0
gsA_c,T_6250,62.5,176.02147,206.01043,180.2607,200.2607,2.674386,175.882035,186.145972,6,31,2000,0
gsA_c,T_6500,65.0,176.02147,206.01043,161.066806,181.066806,2.260832,156.683905,165.461811,6,31,2000,0
gsA_c,T_6750,67.5,176.02147,206.01043,148.63975,168.63975,2.051964,144.603357,152.595815,6,31,2000,0
gsA_c,T_7000,70.0,176.02147,206.01043,138.997279,158.997279,1.716502,135.659585,142.307033,6,31,2000,0
gsA_c,T_7500,75.0,176.02147,206.01043,125.019456,145.019456,1.555027,122.076848,128.122687,6,31,2000,0
gsA_c,T_8000,80.0,176.02147,206.01043,116.727815,136.727815,0.952796,114.882606,118.561743,6,31,2000,0
gsA_c,T_8500,85.0,176.02147,206.01043,111.064323,131.064323,0.645409,109.739574,112.310873,6,31,2000,0
