chid,sensor,x,t0,t1,T_bar,T_mean_C,sd,ci_lo,ci_hi,block_len_samples,n_samples,n_boot,seed
gsA_f,T_1500,15.0,241.00578,270.00345,114.439351,134.439351,0.675783,113.186292,115.630247,5,30,2000,20000
gsA_f,T_2000,20.0,241.00578,270.00345,121.21313,141.21313,0.343032,120.45037,121.802371,5,30,2000,20000
gsA_f,T_2500,25.0,241.00578,270.00345,128.001655,148.001655,0.804412,126.451412,129.594044,5,30,2000,20000
gsA_f,T_3000,30.0,241.00578,270.00345,134.00523,154.00523,0.799372,132.283294,135.368873,5,30,2000,20000
gsA_f,T_3250,32.5,241.00578,270.00345,137.035931,157.035931,1.208635,134.365489,139.116026,5,30,2000,20000
gsA_f,T_3500,35.0,241.00578,270.00345,139.669557,159.669557,1.558727,136.597217,142.456895,5,30,2000,20000
gsA_f,T_3750,37.5,241.00578,270.00345,142.569726,162.569726,1.20596,140.201171,144.906687,5,30,2000,20000
gsA_f,T_4000,40.0,241.00578,270.00345,146.405058,166.405058,1.340634,143.733899,148.869629,5,30,2000,20000
gsA_f,T_4250,42.5,241.00578,270.00345,149.420444,169.420444,1.335715,147.038856,152.193146,5,30,2000,20000
gsA_f,T_4500,45.0,241.00578,270.00345,154.451324,174.451324,2.066979,150.441148,158.760525,5,30,2000,20000
gsA_f,T_4750,47.5,241.00578,270.00345,158.813483,178.813483,2.113626,154.925676,163.1525,5,30,2000,20000
gsA_f,T_5000,50.0,241.00578,270.00345,165.898468,185.898468,2.397195,161.371545,170.968841,5,30,2000,20000
gsA_f,T_5250,52.5,241.00578,270.00345,171.301378,191.301378,2.18709,167.029871,175.572885,5,30,2000,20000
gsA_f,T_5500,55.0,241.00578,270.00345,193.311018,213.311018,2.880538,187.080824,198.486864,5,30,2000,20000
gsA_f,T_5750,57.5,241.00578,270.00345,222.725121,242.725121,4.398936,214.674745,231.810938,5,30,2000,20000
gsA_f,T_6000,60.0,241.00578,270.00345,187.613049,207.613049,3.718937,180.307998,194.918099,5,30,2000,20000
gsA_f,T_6250,62.5,241.00578,270.00345,165.17358,185.17358,2.258114,160.175858,168.883476,5,30,2000,20000
gsA_f,T_6500,65.0,241.00578,270.00345,150.126325,170.126325,2.348293,145.411074,154.53125,5,30,2000,20000
gsA_f,T_6750,67.5,241.00578,270.00345,140.249091,160.249091,1.853185,136.736367,143.616666,5,30,2000,20000
gsA_f,T_7000,70.0,241.00578,270.00345,134.808313,154.808313,1.7736,131.441969,138.255397,5,30,2000,20000
gsA_f,T_7500,75.0,241.00578,270.00345,127.638393,147.638393,0.546688,126.635046,128.78594,5,30,2000,20000
gsA_f,T_8000,80.0,241.00578,270.00345,121.794978,141.794978,0.635431,120.596084,123.011654,5,30,2000,20000
gsA_f,T_8500,85.0,241.00578,270.00345,118.400656,138.400656,0.642854,117.194696,119.7065,5,30,2000,20000
