chid,sensor,x,t0,t1,T_bar,T_mean_C,sd,ci_lo,ci_hi,block_len_samples,n_samples,n_boot,seed
gsB_c,T_1500,15.0,185.00638,215.00307,-0.000144,19.999856,0.000156,-0.000471,0.000118,6,31,2000,30000
gsB_c,T_2000,20.0,185.00638,215.00307,0.001433,20.001433,0.000249,0.000915,0.00185,6,31,2000,30000
gsB_c,T_2500,25.0,185.00638,215.00307,0.008926,20.008926,0.000454,0.007905,0.0096,6,31,2000,30000
gsB_c,T_3000,30.0,185.00638,215.00307,0.037388,20.037388,0.000691,0.036113,0.038761,6,31,2000,30000
gsB_c,T_3250,32.5,185.00638,215.00307,0.069008,20.069008,0.000784,0.067536,0.070575,6,31,2000,30000
gsB_c,T_3500,35.0,185.00638,215.00307,0.122006,20.122006,0.001752,0.11876,0.125652,6,31,2000,30000
gsB_c,T_3750,37.5,185.00638,215.00307,0.213472,20.213472,0.003132,0.207614,0.219611,6,31,2000,30000
gsB_c,T_4000,40.0,185.00638,215.00307,55.979706,75.979706,18.226093,26.246105,94.46162,6,31,2000,30000
gsB_c,T_4250,42.5,185.00638,215.00307,155.134854,175.134854,5.404559,143.772604,165.411801,6,31,2000,30000
gsB_c,T_4500,45.0,185.00638,215.00307,164.904983,184.904983,4.401724,157.713429,174.517082,6,31,2000,30000
gsB_c,T_4750,47.5,185.00638,215.00307,189.735902,209.735902,3.824183,182.554877,197.637928,6,31,2000,30000
gsB_c,T_5000,50.0,185.00638,215.00307,211.904863,231.904863,5.247023,202.403345,221.399653,6,31,2000,30000
gsB_c,T_5250,52.5,185.00638,215.00307,226.957016,246.957016,10.664711,206.073986,247.141144,6,31,2000,30000
gsB_c,T_5500,55.0,185.00638,215.00307,257.654115,277.654115,13.354455,231.09623,282.82419,6,31,2000,30000
gsB_c,T_5750,57.5,185.00638,215.00307,328.420072,348.420072,14.310232,298.769211,354.569752,6,31,2000,30000
gsB_c,T_6000,60.0,185.00638,215.00307,366.438653,386.438653,11.490073,346.117383,389.437604,6,31,2000,30000
gsB_c,T_6250,62.5,185.00638,215.00307,331.358441,351.358441,9.548526,314.495704,350.372806,6,31,2000,30000
gsB_c,T_6500,65.0,185.00638,215.00307,293.833127,313.833127,6.892628,282.619774,308.458466,6,31,2000,30000
gsB_c,T_6750,67.5,185.00638,215.00307,277.154561,297.154561,3.797381,269.150453,283.514545,6,31,2000,30000
gsB_c,T_7000,70.0,185.00638,215.00307,272.459502,292.459502,3.691272,264.367979,278.252769,6,31,2000,30000
gsB_c,T_7500,75.0,185.00638,215.00307,250.293143,270.293143,2.292113,247.108159,255.720918,6,31,2000,30000
gsB_c,T_8000,80.0,185.00638,215.00307,243.490038,263.490038,2.447054,238.316573,247.629773,6,31,2000,30000
gsB_c,T_8500,85.0,185.00638,215.00307,246.31983,266.31983,2.793438,240.563824,251.356252,6,31,2000,30000
