chid,sensor,x,t0,t1,T_bar,T_mean_C,sd,ci_lo,ci_hi,block_len_samples,n_samples,n_boot,seed
gsB_f,T_1500,15.0,212.00238,241.00298,0.000349,20.000349,2.5e-05,0.000301,0.000397,5,30,2000,50000
gsB_f,T_2000,20.0,212.00238,241.00298,0.000587,20.000587,3.8e-05,0.000526,0.000674,5,30,2000,50000
gsB_f,T_2500,25.0,212.00238,241.00298,0.001587,20.001587,4e-05,0.001516,0.001672,5,30,2000,50000
gsB_f,T_3000,30.0,212.00238,241.00298,0.011818,20.011818,0.00029,0.011281,0.012382,5,30,2000,50000
gsB_f,T_3250,32.5,212.00238,241.00298,34.678853,54.678853,4.233562,26.451698,42.91548,5,30,2000,50000
gsB_f,T_3500,35.0,212.00238,241.00298,113.341822,133.341822,3.55967,107.198643,120.765206,5,30,2000,50000
gsB_f,T_3750,37.5,212.00238,241.00298,113.38773,133.38773,3.842267,105.929436,120.221229,5,30,2000,50000
gsB_f,T_4000,40.0,212.00238,241.00298,107.461249,127.461249,5.12285,97.943542,117.421481,5,30,2000,50000
gsB_f,T_4250,42.5,212.00238,241.00298,104.867861,124.867861,2.522117,100.293758,110.252453,5,30,2000,50000
gsB_f,T_4500,45.0,212.00238,241.00298,139.097537,159.097537,5.157118,128.824696,148.883596,5,30,2000,50000
gsB_f,T_4750,47.5,212.00238,241.00298,155.121712,175.121712,8.660883,140.653339,173.653029,5,30,2000,50000
gsB_f,T_5000,50.0,212.00238,241.00298,202.312914,222.312914,8.048176,187.050749,218.19966,5,30,2000,50000
gsB_f,T_5250,52.5,212.00238,241.00298,252.809665,272.809665,7.794698,236.558937,267.526489,5,30,2000,50000
gsB_f,T_5500,55.0,212.00238,241.00298,262.432096,282.432096,8.938523,247.012217,280.396908,5,30,2000,50000
gsB_f,T_5750,57.5,212.00238,241.00298,274.954405,294.954405,6.162576,262.834613,286.556112,5,30,2000,50000
gsB_f,T_6000,60.0,212.00238,241.00298,332.634902,352.634902,14.594524,303.776091,360.250766,5,30,2000,50000
gsB_f,T_6250,62.5,212.00238,241.00298,382.823436,402.823436,13.083029,357.666217,407.805665,5,30,2000,50000
gsB_f,T_6500,65.0,212.00238,241.00298,346.699741,366.699741,9.904227,327.651318,367.269633,5,30,2000,50000
gsB_f,T_6750,67.5,212.00238,241.00298,305.398888,325.398888,10.206737,285.872705,324.836472,5,30,2000,50000
gsB_f,T_7000,70.0,212.00238,241.00298,303.325975,323.325975,9.019231,286.198713,321.135603,5,30,2000,50000
gsB_f,T_7500,75.0,212.00238,241.00298,293.021989,313.021989,8.124385,277.868541,309.287997,5,30,2000,50000
gsB_f,T_8000,80.0,212.00238,241.00298,279.917481,299.917481,3.699002,272.603621,286.596929,5,30,2000,50000
gsB_f,T_8500,85.0,212.00238,241.00298,269.689192,289.689192,3.809384,262.350171,277.028212,5,30,2000,50000
