chid,sensor,x,t0,t1,T_bar,T_mean_C,sd,ci_lo,ci_hi,block_len_samples,n_samples,n_boot,seed
gsB_m,T_1500,15.0,91.00097,120.00293,0.000101,20.000101,0.00019,-0.000326,0.000402,5,30,2000,40000
gsB_m,T_2000,20.0,91.00097,120.00293,2.8e-05,20.000028,0.000172,-0.000331,0.000345,5,30,2000,40000
gsB_m,T_2500,25.0,91.00097,120.00293,0.00176,20.00176,0.000238,0.001311,0.002202,5,30,2000,40000
gsB_m,T_3000,30.0,91.00097,120.00293,0.01371,20.01371,0.000466,0.012782,0.01457,5,30,2000,40000
gsB_m,T_3250,32.5,91.00097,120.00293,0.031007,20.031007,0.000724,0.029613,0.032412,5,30,2000,40000
gsB_m,T_3500,35.0,91.00097,120.00293,0.063055,20.063055,0.001418,0.060313,0.065702,5,30,2000,40000
gsB_m,T_3750,37.5,91.00097,120.00293,0.117394,20.117394,0.002196,0.112931,0.121479,5,30,2000,40000
gsB_m,T_4000,40.0,91.00097,120.00293,0.220162,20.220162,0.004135,0.211788,0.228084,5,30,2000,40000
gsB_m,T_4250,42.5,91.00097,120.00293,0.511441,20.511441,0.007931,0.497089,0.527845,5,30,2000,40000
gsB_m,T_4500,45.0,91.00097,120.00293,168.866366,188.866366,6.905621,156.59241,183.744942,5,30,2000,40000
gsB_m,T_4750,47.5,91.00097,120.00293,211.230952,231.230952,3.136856,204.788245,217.201922,5,30,2000,40000
gsB_m,T_5000,50.0,91.00097,120.00293,225.924483,245.924483,3.103011,220.592607,232.337633,5,30,2000,40000
gsB_m,T_5250,52.5,91.00097,120.00293,233.660942,253.660942,4.344565,224.88862,242.111124,5,30,2000,40000
gsB_m,T_5500,55.0,91.00097,120.00293,247.915023,267.915023,4.299395,240.470435,256.781684,5,30,2000,40000
gsB_m,T_5750,57.5,91.00097,120.00293,237.563113,257.563113,7.862976,222.594799,253.89265,5,30,2000,40000
gsB_m,T_6000,60.0,91.00097,120.00293,315.661456,335.661456,6.693025,303.803829,329.250924,5,30,2000,40000
gsB_m,T_6250,62.5,91.00097,120.00293,358.432636,378.432636,9.671359,339.790767,375.947971,5,30,2000,40000
gsB_m,T_6500,65.0,91.00097,120.00293,285.37558,305.37558,7.236928,271.278947,298.488501,5,30,2000,40000
gsB_m,T_6750,67.5,91.00097,120.00293,250.960162,270.960162,4.263271,242.954078,259.459313,5,30,2000,40000
gsB_m,T_7000,70.0,91.00097,120.00293,242.043503,262.043503,3.276292,235.568857,248.166324,5,30,2000,40000
gsB_m,T_7500,75.0,91.00097,120.00293,240.455772,260.455772,1.202493,238.154003,242.797312,5,30,2000,40000
gsB_m,T_8000,80.0,91.00097,120.00293,243.42474,263.42474,2.742656,238.794363,249.240704,5,30,2000,40000
gsB_m,T_8500,85.0,91.00097,120.00293,239.838162,259.838162,3.233899,233.805785,246.034596,5,30,2000,40000
