chid,sensor,x,t0,t1,T_bar,T_mean_C,sd,ci_lo,ci_hi,block_len_samples,n_samples,n_boot,seed
gsC_c,T_1500,15.0,83.00973,112.00554,0.000244,20.000244,0.000312,-0.000342,0.000852,5,30,2000,60000
gsC_c,T_2000,20.0,83.00973,112.00554,0.002754,20.002754,0.000434,0.001964,0.003575,5,30,2000,60000
gsC_c,T_2500,25.0,83.00973,112.00554,0.013736,20.013736,0.000692,0.012236,0.014879,5,30,2000,60000
gsC_c,T_3000,30.0,83.00973,112.00554,0.048582,20.048582,0.001167,0.046175,0.05072,5,30,2000,60000
gsC_c,T_3250,32.5,83.00973,112.00554,0.082818,20.082818,0.001385,0.079983,0.08555,5,30,2000,60000
gsC_c,T_3500,35.0,83.00973,112.00554,0.134386,20.134386,0.001562,0.131331,0.137441,5,30,2000,60000
gsC_c,T_3750,37.5,83.00973,112.00554,0.216649,20.216649,0.001953,0.212974,0.220487,5,30,2000,60000
gsC_c,T_4000,40.0,83.00973,112.00554,0.367247,20.367247,0.002606,0.362421,0.37276,5,30,2000,60000
gsC_c,T_4250,42.5,83.00973,112.00554,0.682711,20.682711,0.004288,0.674429,0.690881,5,30,2000,60000
gsC_c,T_4500,45.0,83.00973,112.00554,1.370655,21.370655,0.013127,1.345375,1.394281,5,30,2000,60000
gsC_c,T_4750,47.5,83.00973,112.00554,2.900334,22.900334,0.031955,2.833544,2.960125,5,30,2000,60000
gsC_c,T_5000,50.0,83.00973,112.00554,6.173666,26.173666,0.089237,6.00538,6.346981,5,30,2000,60000
gsC_c,T_5250,52.5,83.00973,112.00554,10.863285,30.863285,0.157307,10.536909,11.151637,5,30,2000,60000
gsC_c,T_5500,55.0,83.00973,112.00554,18.312797,38.312797,2.254707,15.365442,23.257172,5,30,2000,60000
gsC_c,T_5750,57.5,83.00973,112.00554,46.759562,66.759562,13.634887,27.927299,76.743543,5,30,2000,60000
gsC_c,T_6000,60.0,83.00973,112.00554,89.081106,109.081106,15.555614,61.348342,123.062906,5,30,2000,60000
gsC_c,T_6250,62.5,83.00973,112.00554,154.340266,174.340266,18.959071,122.024482,195.995207,5,30,2000,60000
gsC_c,T_6500,65.0,83.00973,112.00554,236.886967,256.886967,21.445237,199.538593,281.17891,5,30,2000,60000
gsC_c,T_6750,67.5,83.00973,112.00554,316.718297,336.718297,20.464647,278.075081,357.59351,5,30,2000,60000
gsC_c,T_7000,70.0,83.00973,112.00554,344.875815,364.875815,9.295841,327.21675,363.39907,5,30,2000,60000
gsC_c,T_7500,75.0,83.00973,112.00554,282.059971,302.059971,6.502061,269.17531,294.601625,5,30,2000,60000
gsC_c,T_8000,80.0,83.00973,112.00554,233.060889,253.060889,3.438549,226.234359,239.681059,5,30,2000,60000
gsC_c,T_8500,85.0,83.00973,112.00554,209.337075,229.337075,6.123855,198.709038,222.119015,5,30,2000,60000
