chid,sensor,x,t0,t1,T_bar,T_mean_C,sd,ci_lo,ci_hi,block_len_samples,n_samples,n_boot,seed
gsC_f,T_1500,15.0,180.00251,210.0014,0.000259,20.000259,2e-06,0.000256,0.000262,6,31,2000,80000
gsC_f,T_2000,20.0,180.00251,210.0014,0.000499,20.000499,2e-06,0.000494,0.000502,6,31,2000,80000
gsC_f,T_2500,25.0,180.00251,210.0014,0.003461,20.003461,2.7e-05,0.00341,0.003512,6,31,2000,80000
gsC_f,T_3000,30.0,180.00251,210.0014,0.026984,20.026984,0.000219,0.026579,0.027404,6,31,2000,80000
gsC_f,T_3250,32.5,180.00251,210.0014,0.0584,20.0584,0.000457,0.057523,0.059344,6,31,2000,80000
gsC_f,T_3500,35.0,180.00251,210.0014,0.108231,20.108231,0.000823,0.106759,0.109978,6,31,2000,80000
gsC_f,T_3750,37.5,180.00251,210.0014,0.177698,20.177698,0.001241,0.175557,0.180308,6,31,2000,80000
gsC_f,T_4000,40.0,180.00251,210.0014,0.274019,20.274019,0.001789,0.270927,0.277803,6,31,2000,80000
gsC_f,T_4250,42.5,180.00251,210.0014,0.429425,20.429425,0.002438,0.424775,0.434225,6,31,2000,80000
gsC_f,T_4500,45.0,180.00251,210.0014,0.712867,20.712867,0.004591,0.704146,0.722049,6,31,2000,80000
gsC_f,T_4750,47.5,180.00251,210.0014,1.303897,21.303897,0.01143,1.28146,1.326873,6,31,2000,80000
gsC_f,T_5000,50.0,180.00251,210.0014,2.427574,22.427574,0.022412,2.384162,2.470985,6,31,2000,80000
gsC_f,T_5250,52.5,180.00251,210.0014,4.319828,24.319828,0.03785,4.24467,4.388876,6,31,2000,80000
gsC_f,T_5500,55.0,180.00251,210.0014,7.105615,27.105615,0.052533,6.993241,7.193757,6,31,2000,80000
gsC_f,T_5750,57.5,180.00251,210.0014,10.656955,30.656955,0.069268,10.500904,10.767119,6,31,2000,80000
gsC_f,T_6000,60.0,180.00251,210.0014,14.926915,34.926915,0.115436,14.682868,15.125538,6,31,2000,80000
gsC_f,T_6250,62.5,180.00251,210.0014,41.013178,61.013178,9.975926,23.314389,61.985506,6,31,2000,80000
gsC_f,T_6500,65.0,180.00251,210.0014,131.193545,151.193545,11.413616,109.695328,152.993777,6,31,2000,80000
gsC_f,T_6750,67.5,180.00251,210.0014,221.494437,241.494437,14.310405,193.382572,248.703353,6,31,2000,80000
gsC_f,T_7000,70.0,180.00251,210.0014,275.032747,295.032747,13.996437,250.574761,302.902512,6,31,2000,80000
gsC_f,T_7500,75.0,180.00251,210.0014,288.991051,308.991051,5.698369,278.78449,300.73886,6,31,2000,80000
gsC_f,T_8000,80.0,180.00251,210.0014,279.013083,299.013083,3.778661,271.168503,285.805046,6,31,2000,80000
gsC_f,T_8500,85.0,180.00251,210.0014,264.268932,284.268932,3.953746,256.38394,272.060665,6,31,2000,80000
