chid,sensor,x,t0,t1,T_bar,T_mean_C,sd,ci_lo,ci_hi,block_len_samples,n_samples,n_boot,seed
gsC_m,T_1500,15.0,143.00479,172.00359,0.000158,20.000158,2.5e-05,0.000108,0.000204,5,30,2000,70000
gsC_m,T_2000,20.0,143.00479,172.00359,0.000971,20.000971,3.5e-05,0.000904,0.00104,5,30,2000,70000
gsC_m,T_2500,25.0,143.00479,172.00359,0.006794,20.006794,5.2e-05,0.006697,0.006901,5,30,2000,70000
gsC_m,T_3000,30.0,143.00479,172.00359,0.033191,20.033191,0.00025,0.032712,0.033695,5,30,2000,70000
gsC_m,T_3250,32.5,143.00479,172.00359,0.062734,20.062734,0.000467,0.061872,0.06363,5,30,2000,70000
gsC_m,T_3500,35.0,143.00479,172.00359,0.108552,20.108552,0.000913,0.107074,0.110549,5,30,2000,70000
gsC_m,T_3750,37.5,143.00479,172.00359,0.177097,20.177097,0.001703,0.17453,0.180827,5,30,2000,70000
gsC_m,T_4000,40.0,143.00479,172.00359,0.289321,20.289321,0.003269,0.284365,0.296303,5,30,2000,70000
gsC_m,T_4250,42.5,143.00479,172.00359,0.496905,20.496905,0.005739,0.487031,0.508895,5,30,2000,70000
gsC_m,T_4500,45.0,143.00479,172.00359,0.893335,20.893335,0.00878,0.877441,0.911064,5,30,2000,70000
gsC_m,T_4750,47.5,143.00479,172.00359,1.73237,21.73237,0.012799,1.707537,1.75701,5,30,2000,70000
gsC_m,T_5000,50.0,143.00479,172.00359,3.416662,23.416662,0.01712,3.382451,3.449809,5,30,2000,70000
gsC_m,T_5250,52.5,143.00479,172.00359,6.139585,26.139585,0.042156,6.057101,6.213883,5,30,2000,70000
gsC_m,T_5500,55.0,143.00479,172.00359,11.140545,31.140545,1.118013,9.816051,13.633111,5,30,2000,70000
gsC_m,T_5750,57.5,143.00479,172.00359,46.605641,66.605641,8.669422,33.239937,65.990979,5,30,2000,70000
gsC_m,T_6000,60.0,143.00479,172.00359,136.679043,156.679043,19.165822,100.462051,175.055285,5,30,2000,70000
gsC_m,T_6250,62.5,143.00479,172.00359,239.584275,259.584275,24.223361,196.319504,289.06694,5,30,2000,70000
gsC_m,T_6500,65.0,143.00479,172.00359,329.496747,349.496747,22.565937,287.116759,372.904533,5,30,2000,70000
gsC_m,T_6750,67.5,143.00479,172.00359,387.82826,407.82826,21.227603,343.995615,424.099344,5,30,2000,70000
gsC_m,T_7000,70.0,143.00479,172.00359,395.760637,415.760637,15.462807,365.586868,424.565631,5,30,2000,70000
gsC_m,T_7500,75.0,143.00479,172.00359,311.193499,331.193499,6.280857,300.19157,324.322283,5,30,2000,70000
gsC_m,T_8000,80.0,143.00479,172.00359,253.785513,273.785513,5.362401,244.049976,264.232122,5,30,2000,70000
gsC_m,T_8500,85.0,143.00479,172.00359,238.27338,258.27338,5.220619,227.604663,248.354527,5,30,2000,70000
