s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.6335413E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6335413E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0710652E+000, 4.3019584E+002,-1.7084027E+002,-1.7693177E+001,-8.4170148E-001,-3.1495218E-002, 0.0000000E+000, 0.0000000E+000, 2.3064753E+002, 2.4078919E+002, 2.9334972E+000, 1.3275775E-002, 0.0000000E+000
 2.0063035E+000, 1.3625671E+003,-5.5830702E+002,-4.7524061E+001,-4.1189324E+000,-8.9341115E-002, 0.0000000E+000, 0.0000000E+000, 7.7378358E+002, 7.5252779E+002, 9.0721677E+000, 3.5436183E-002, 0.0000000E+000
 3.0011299E+000, 2.2388089E+003,-6.3919658E+002,-7.6545611E+001,-8.6236671E+000,-1.5424231E-001, 0.0000000E+000, 0.0000000E+000, 1.6064566E+003, 1.5142888E+003, 1.4906913E+001, 5.6382231E-002, 0.0000000E+000
 4.0024891E+000, 3.1817725E+003,-8.4288459E+002,-4.4981467E+001,-1.3735913E+001,-2.0442487E-001, 0.0000000E+000, 0.0000000E+000, 2.3458554E+003, 2.2799661E+003, 2.0897780E+001, 7.7193420E-002, 0.0000000E+000
 5.0046248E+000, 3.7118633E+003,-9.8997925E+002, 8.5671548E+001,-9.0202871E+001,-2.4391463E-001, 0.0000000E+000, 0.0000000E+000, 2.6803431E+003, 2.7171088E+003, 2.6892401E+001, 9.6787517E-002, 0.0000000E+000
 6.0043850E+000, 4.8960369E+003,-1.2698360E+003, 1.0081448E+001,-1.9585831E+002,-2.8977814E-001, 0.0000000E+000, 0.0000000E+000, 3.4718848E+003, 3.4401343E+003, 3.2870593E+001, 1.1482304E-001, 0.0000000E+000
 7.0007963E+000, 5.5185985E+003,-1.4209297E+003, 8.3040318E+001,-2.9282634E+002,-3.2470639E-001, 0.0000000E+000, 0.0000000E+000, 3.8701243E+003, 3.8875581E+003, 3.8834827E+001, 1.3109148E-001, 0.0000000E+000
 8.0001516E+000, 6.2608971E+003,-1.6128949E+003, 4.6460359E+001,-3.4349946E+002,-3.6024175E-001, 0.0000000E+000, 0.0000000E+000, 4.3593898E+003, 4.3506028E+003, 4.4796361E+001, 1.4561135E-001, 0.0000000E+000
 9.0001726E+000, 6.1217325E+003,-1.5986533E+003, 5.4658180E+001,-3.8665208E+002,-3.7671758E-001, 0.0000000E+000, 0.0000000E+000, 4.1895886E+003, 4.1907086E+003, 5.0770739E+001, 1.5842511E-001, 0.0000000E+000
 1.0003153E+001, 7.7983119E+003,-1.9681408E+003, 1.3482830E+002,-4.0855153E+002,-4.0453184E-001, 0.0000000E+000, 0.0000000E+000, 5.5491741E+003, 5.5560434E+003, 5.6753839E+001, 1.6961183E-001, 0.0000000E+000
 1.1002030E+001, 7.0874296E+003,-1.8937779E+003,-2.8462152E+001,-4.2039802E+002,-4.1699791E-001, 0.0000000E+000, 0.0000000E+000, 4.7547292E+003, 4.7443745E+003, 5.9745360E+001, 1.7925743E-001, 0.0000000E+000
 1.2003322E+001, 8.2957248E+003,-2.0959613E+003, 1.5813850E+002,-4.4260110E+002,-4.3330299E-001, 0.0000000E+000, 0.0000000E+000, 5.9128652E+003, 5.9148676E+003, 5.9745360E+001, 1.8749991E-001, 0.0000000E+000
 1.3002531E+001, 8.0875675E+003,-2.2204164E+003, 3.5110001E+001,-4.9839138E+002,-4.4824696E-001, 0.0000000E+000, 0.0000000E+000, 5.3770060E+003, 5.4034215E+003, 5.9745360E+001, 1.9450454E-001, 0.0000000E+000
 1.4002862E+001, 8.4889922E+003,-2.2091831E+003, 5.2007650E+001,-4.6440566E+002,-4.5049117E-001, 0.0000000E+000, 0.0000000E+000, 5.8603606E+003, 5.8669606E+003, 5.9745360E+001, 2.0041099E-001, 0.0000000E+000
 1.5001076E+001, 9.5782478E+003,-2.5468945E+003, 2.1055637E+002,-5.4704561E+002,-4.7120548E-001, 0.0000000E+000, 0.0000000E+000, 6.7368040E+003, 6.6943929E+003, 5.9745360E+001, 2.0537240E-001, 0.0000000E+000
 1.6000793E+001, 7.8786959E+003,-2.1368156E+003,-3.1216767E+001,-5.7284565E+002,-4.6488193E-001, 0.0000000E+000, 0.0000000E+000, 5.0579476E+003, 5.1373530E+003, 5.9745360E+001, 2.0951833E-001, 0.0000000E+000
 1.7000525E+001, 9.3919970E+003,-2.4179940E+003, 1.3194630E+002,-6.5832207E+002,-4.6487675E-001, 0.0000000E+000, 0.0000000E+000, 6.4265133E+003, 6.4471624E+003, 5.9745360E+001, 2.1297536E-001, 0.0000000E+000
 1.8000299E+001, 9.7672615E+003,-2.7296195E+003, 1.6838880E+002,-7.4308737E+002,-4.8015524E-001, 0.0000000E+000, 0.0000000E+000, 6.4847577E+003, 6.4624633E+003, 5.9745360E+001, 2.1584759E-001, 0.0000000E+000
 1.9001694E+001, 8.6282538E+003,-2.2869782E+003,-1.9763200E+001,-7.0712451E+002,-4.6898993E-001, 0.0000000E+000, 0.0000000E+000, 5.5101624E+003, 5.6139189E+003, 5.9745360E+001, 2.1822895E-001, 0.0000000E+000
 2.0003590E+001, 1.0257505E+004,-2.6821783E+003, 2.0279624E+002,-7.8589013E+002,-4.7942434E-001, 0.0000000E+000, 0.0000000E+000, 7.0833722E+003, 6.9917536E+003, 5.9745360E+001, 2.2019874E-001, 0.0000000E+000
