s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.6335413E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6335413E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0315646E+000, 1.6596110E+003,-7.3947062E+002,-4.2734453E+001,-3.0598352E+000,-1.1701202E-001, 0.0000000E+000, 0.0000000E+000, 8.1097003E+002, 8.7422905E+002, 7.0578705E+000, 5.1183836E-002, 0.0000000E+000
 2.0149157E+000, 4.6948895E+003,-1.8209668E+003,-1.1763780E+002,-1.4384803E+001,-3.3568941E-001, 0.0000000E+000, 0.0000000E+000, 2.8021589E+003, 2.7415644E+003, 2.2505636E+001, 1.4000479E-001, 0.0000000E+000
 3.0014255E+000, 8.1222890E+003,-2.3404106E+003,-1.8405909E+002,-3.0484637E+001,-5.8096155E-001, 0.0000000E+000, 0.0000000E+000, 5.8011473E+003, 5.5667537E+003, 3.7352769E+001, 2.2581239E-001, 0.0000000E+000
 4.0039845E+000, 1.1247711E+004,-2.8793001E+003, 1.1801929E+002,-6.6933958E+001,-7.6689144E-001, 0.0000000E+000, 0.0000000E+000, 8.4427881E+003, 8.4187299E+003, 5.2270714E+001, 3.0878420E-001, 0.0000000E+000
 5.0010238E+000, 1.4491768E+004,-3.5331876E+003, 1.5321547E+002,-2.0689490E+002,-8.9041215E-001, 0.0000000E+000, 0.0000000E+000, 1.0884819E+004, 1.0904011E+004, 6.7223058E+001, 3.8704297E-001, 0.0000000E+000
 6.0018401E+000, 1.8830279E+004,-4.8443365E+003, 1.7587150E+002,-6.3424484E+002,-1.0313447E+000, 0.0000000E+000, 0.0000000E+000, 1.3498171E+004, 1.3526538E+004, 8.2139328E+001, 4.5904108E-001, 0.0000000E+000
 7.0013618E+000, 2.1240174E+004,-5.4850818E+003, 2.3547303E+002,-9.9778546E+002,-1.1594454E+000, 0.0000000E+000, 0.0000000E+000, 1.4887259E+004, 1.4991620E+004, 9.7078305E+001, 5.2428344E-001, 0.0000000E+000
 8.0009174E+000, 2.3035145E+004,-6.1248736E+003, 2.1753553E+002,-1.1681300E+003,-1.2503710E+000, 0.0000000E+000, 0.0000000E+000, 1.5824613E+004, 1.5958426E+004, 1.1200923E+002, 5.8245363E-001, 0.0000000E+000
 9.0022087E+000, 2.6281681E+004,-6.7592735E+003, 2.7261022E+002,-1.1614458E+003,-1.3004960E+000, 0.0000000E+000, 0.0000000E+000, 1.8581623E+004, 1.8632271E+004, 1.2695313E+002, 6.3375219E-001, 0.0000000E+000
 1.0000625E+001, 2.6476067E+004,-6.8935358E+003, 3.1480888E+002,-1.2606986E+003,-1.3176857E+000, 0.0000000E+000, 0.0000000E+000, 1.8660199E+004, 1.8635323E+004, 1.4188607E+002, 6.7842957E-001, 0.0000000E+000
 1.1002807E+001, 2.7056290E+004,-6.9237078E+003, 2.8139362E+002,-1.2985782E+003,-1.3170615E+000, 0.0000000E+000, 0.0000000E+000, 1.8950783E+004, 1.9114081E+004, 1.4936340E+002, 7.1699425E-001, 0.0000000E+000
 1.2000577E+001, 3.0434366E+004,-7.8546308E+003, 3.4162680E+002,-1.4503915E+003,-1.3250753E+000, 0.0000000E+000, 0.0000000E+000, 2.1356423E+004, 2.1469645E+004, 1.4936340E+002, 7.4997703E-001, 0.0000000E+000
 1.3000994E+001, 3.0939792E+004,-7.7271080E+003, 3.5019884E+002,-1.4978089E+003,-1.2835082E+000, 0.0000000E+000, 0.0000000E+000, 2.2081427E+004, 2.2063791E+004, 1.4936340E+002, 7.7795543E-001, 0.0000000E+000
 1.4003672E+001, 3.2812995E+004,-8.5185875E+003,-4.3785492E+003,-1.7164447E+003,-1.2895939E+000, 0.0000000E+000, 0.0000000E+000, 1.8194988E+004, 1.8198124E+004, 1.4936340E+002, 8.0163371E-001, 0.0000000E+000
 1.5003982E+001, 3.4548544E+004,-9.1593370E+003,-1.1155981E+004,-1.9339533E+003,-1.2793455E+000, 0.0000000E+000, 0.0000000E+000, 1.2376460E+004, 1.2297994E+004, 1.4936340E+002, 8.2151751E-001, 0.0000000E+000
 1.6002573E+001, 3.6304401E+004,-9.6565253E+003,-1.1433131E+004,-1.9833877E+003,-1.2644602E+000, 0.0000000E+000, 0.0000000E+000, 1.3211805E+004, 1.3230093E+004, 1.4936340E+002, 8.3810797E-001, 0.0000000E+000
 1.7003325E+001, 3.6937573E+004,-9.7449632E+003,-1.2201856E+004,-1.9081089E+003,-1.2627969E+000, 0.0000000E+000, 0.0000000E+000, 1.2752463E+004, 1.3081382E+004, 1.4936340E+002, 8.5193159E-001, 0.0000000E+000
 1.8000742E+001, 3.6506820E+004,-9.9720251E+003,-1.1912728E+004,-1.9227441E+003,-1.3168597E+000, 0.0000000E+000, 0.0000000E+000, 1.2401113E+004, 1.2698007E+004, 1.4936340E+002, 8.6340892E-001, 0.0000000E+000
 1.9000704E+001, 3.6661834E+004,-9.9756412E+003,-1.5014685E+004,-1.9927341E+003,-1.3425409E+000, 0.0000000E+000, 0.0000000E+000, 9.6164833E+003, 9.6774311E+003, 1.4936340E+002, 8.7291357E-001, 0.0000000E+000
 2.0000647E+001, 3.8856710E+004,-1.0795671E+004,-1.5055220E+004,-2.0174583E+003,-1.4086904E+000, 0.0000000E+000, 0.0000000E+000, 1.0927961E+004, 1.0986952E+004, 1.4936340E+002, 8.8078493E-001, 0.0000000E+000
