s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.6277277E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6277277E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0710652E+000, 1.6183013E+003,-4.8823621E+002,-4.7763842E+001,-1.4847458E+000,-1.3442544E-001, 0.0000000E+000, 0.0000000E+000, 8.8731452E+002, 1.0806821E+003, 6.6665868E+000, 5.7179237E-002, 0.0000000E+000
 2.0452635E+000, 5.3647686E+003,-2.9389303E+003,-1.2279771E+002,-8.7852684E+000,-3.4356697E-001, 0.0000000E+000, 0.0000000E+000, 2.3043120E+003, 2.2939118E+003, 2.2553929E+001, 1.4601042E-001, 0.0000000E+000
 3.0224118E+000, 8.6594966E+003,-2.8389108E+003,-1.9481006E+002,-2.0542512E+001,-5.8909257E-001, 0.0000000E+000, 0.0000000E+000, 5.7352081E+003, 5.6046442E+003, 3.7603101E+001, 2.2879758E-001, 0.0000000E+000
 4.0034819E+000, 1.2460023E+004,-3.4174700E+003,-2.1513453E+002,-3.7572283E+001,-8.3155605E-001, 0.0000000E+000, 0.0000000E+000, 8.9097545E+003, 8.7890144E+003, 5.2316704E+001, 3.1019607E-001, 0.0000000E+000
 5.0010686E+000, 1.6389786E+004,-4.1231643E+003, 2.9414205E+002,-1.3823510E+002,-1.0001388E+000, 0.0000000E+000, 0.0000000E+000, 1.2402457E+004, 1.2421529E+004, 6.7173943E+001, 3.8725311E-001, 0.0000000E+000
 6.0042329E+000, 1.6398120E+004,-4.2092239E+003, 1.1838615E+002,-5.5852044E+002,-1.1192563E+000, 0.0000000E+000, 0.0000000E+000, 1.1744958E+004, 1.1747643E+004, 8.2125736E+001, 4.5926614E-001, 0.0000000E+000
 7.0015531E+000, 2.3790029E+004,-6.2983695E+003, 1.3620744E+002,-8.9276783E+002,-1.2832293E+000, 0.0000000E+000, 0.0000000E+000, 1.6589399E+004, 1.6733816E+004, 9.7059079E+001, 5.2452310E-001, 0.0000000E+000
 8.0025616E+000, 2.2754291E+004,-5.7396662E+003, 3.0372252E+002,-1.2294538E+003,-1.3808447E+000, 0.0000000E+000, 0.0000000E+000, 1.6190183E+004, 1.6087513E+004, 1.1199300E+002, 5.8261197E-001, 0.0000000E+000
