s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5935523E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5935523E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0710652E+000, 2.8762941E+003,-1.5001833E+002,-9.8439454E+001,-6.2641186E-001,-2.4978496E-001, 0.0000000E+000, 0.0000000E+000, 9.7928015E+002, 2.6269602E+003, 9.6070545E+000, 1.3065826E-001, 0.0000000E+000
 2.1390958E+000, 1.1988982E+004,-7.2540743E+003,-2.4145234E+002,-1.0709453E+001,-7.9121568E-001, 0.0000000E+000, 0.0000000E+000, 5.4742449E+003, 4.4819550E+003, 3.9167493E+001, 3.1826205E-001, 0.0000000E+000
 3.0615313E+000, 1.8609383E+004,-9.6332482E+003,-3.6539782E+002,-2.4666404E+001,-1.1515169E+000, 0.0000000E+000, 0.0000000E+000, 8.1103653E+003, 8.5849192E+003, 6.8454052E+001, 4.7558410E-001, 0.0000000E+000
 4.0151892E+000, 2.3720322E+004,-8.1195304E+003,-4.9028360E+002,-5.2085738E+001,-1.6590227E+000, 0.0000000E+000, 0.0000000E+000, 1.4897438E+004, 1.5056763E+004, 9.4397262E+001, 6.2729030E-001, 0.0000000E+000
 5.0081825E+000, 3.4716662E+004,-1.0537619E+004,-5.3375059E+002,-9.2595440E+001,-2.1641543E+000, 0.0000000E+000, 0.0000000E+000, 2.1599615E+004, 2.3550534E+004, 1.2077927E+002, 7.7815153E-001,-4.8858704E-287
 6.0092001E+000, 3.8912731E+004,-1.0649440E+004, 3.0114128E+002,-3.8046019E+002,-2.5003750E+000, 0.0000000E+000, 0.0000000E+000, 2.7548620E+004, 2.8181472E+004, 1.4780596E+002, 9.2034623E-001,-8.3164583E-282
 7.0149121E+000, 4.4681483E+004,-1.1802045E+004, 1.0315739E+003,-1.2765968E+003,-2.7906486E+000, 0.0000000E+000, 0.0000000E+000, 3.4430378E+004, 3.2631625E+004, 1.7485686E+002, 1.0506384E+000,-5.3299619E-276
 8.0106373E+000, 4.4313553E+004,-1.1975536E+004, 2.4756792E+001,-1.4147676E+003,-3.0035129E+000, 0.0000000E+000, 0.0000000E+000, 2.8986728E+004, 3.0945002E+004, 2.0170835E+002, 1.1671145E+000,-5.9956372E-266
 9.0072136E+000, 5.4174831E+004,-1.6108467E+004,-7.5896027E+001,-1.7025088E+003,-3.2822178E+000, 0.0000000E+000, 0.0000000E+000, 3.2203012E+004, 3.6284677E+004, 2.2847009E+002, 1.2691301E+000,-1.0834808E-255
