s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.6277277E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6277277E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0710652E+000, 3.2367786E+003,-9.4607976E+002,-8.6039004E+001,-2.9542054E+000,-2.7035512E-001, 0.0000000E+000, 0.0000000E+000, 1.7843263E+003, 2.2014353E+003, 1.1999856E+001, 1.1435951E-001, 0.0000000E+000
 2.0102646E+000, 1.0710255E+004,-6.2128037E+003,-2.1898861E+002,-1.7806573E+001,-6.5949205E-001, 0.0000000E+000, 0.0000000E+000, 4.3397681E+003, 4.2599970E+003, 4.0076050E+001, 2.8920033E-001, 0.0000000E+000
 3.0092418E+000, 1.6576710E+004,-5.4064589E+003,-3.4628775E+002,-4.0833452E+001,-1.1443402E+000, 0.0000000E+000, 0.0000000E+000, 1.0918379E+004, 1.0781986E+004, 6.7018769E+001, 4.5358904E-001, 0.0000000E+000
 4.0123100E+000, 2.3393386E+004,-6.3727393E+003,-2.4928384E+002,-9.3613474E+001,-1.6309308E+000, 0.0000000E+000, 0.0000000E+000, 1.6682841E+004, 1.6676118E+004, 9.4133811E+001, 6.1993018E-001, 0.0000000E+000
 5.0039935E+000, 3.2597959E+004,-8.5650445E+003, 6.0000041E+002,-2.5721991E+002,-1.9909306E+000, 0.0000000E+000, 0.0000000E+000, 2.4696717E+004, 2.4373705E+004, 1.2107532E+002, 7.7538708E-001, 0.0000000E+000
 6.0054202E+000, 3.4890206E+004,-8.6042095E+003, 2.5978748E+002,-7.2386022E+002,-2.2438862E+000, 0.0000000E+000, 0.0000000E+000, 2.5375463E+004, 2.5819680E+004, 1.4787977E+002, 9.1884024E-001, 0.0000000E+000
 7.0065503E+000, 4.5362614E+004,-1.2308630E+004, 6.1951608E+002,-1.7274221E+003,-2.5437714E+000, 0.0000000E+000, 0.0000000E+000, 3.2283923E+004, 3.1943535E+004, 1.7481476E+002, 1.0493161E+000, 0.0000000E+000
 8.0026722E+000, 4.2116749E+004,-1.1324555E+004, 3.0737623E+002,-2.0396380E+003,-2.6858401E+000, 0.0000000E+000, 0.0000000E+000, 2.8358562E+004, 2.9057246E+004, 2.0165316E+002, 1.1655335E+000, 0.0000000E+000
