chid,raw_channel,x_source_m,x_rel_fire_m,y_m,z_m,temperature_type,baseline_t0_s,baseline_t1_s,window_t0_s,window_t1_s
Arup_Tunnel,Tl01,42,-8,4.3,6.5,thermocouple,0,10,190,250
Arup_Tunnel,Tl02,44,-6,4.3,6.5,thermocouple,0,10,190,250
Arup_Tunnel,Tl03,46,-4,4.3,6.5,thermocouple,0,10,190,250
Arup_Tunnel,Tl04,48,-2,4.3,6.5,thermocouple,0,10,190,250
Arup_Tunnel,Tl05,50,0,4.3,6.5,thermocouple,0,10,190,250
Arup_Tunnel,Tl06,52,2,4.3,6.5,thermocouple,0,10,190,250
Arup_Tunnel,Tl07,54,4,4.3,6.5,thermocouple,0,10,190,250
Arup_Tunnel,Tl08,56,6,4.3,6.5,thermocouple,0,10,190,250
Arup_Tunnel,Tl09,58,8,4.3,6.5,thermocouple,0,10,190,250
CSTB_Tunnel_Test_2,Tm0915,-9,-9,0,1.5,thermocouple,0,0,440,500
CSTB_Tunnel_Test_2,Tm0313,-3,-3,0,1.7,thermocouple,0,0,440,500
CSTB_Tunnel_Test_2,Tp0410,4,4,0,1.8,thermocouple,0,0,440,500
CSTB_Tunnel_Test_2,Tp0810,8,8,0,1.8,thermocouple,0,0,440,500
CSTB_Tunnel_Test_2,Tp1210,12,12,0,1.8,thermocouple,0,0,440,500
CSTB_Tunnel_Test_2,Tp2410,24,24,0,1.8,thermocouple,0,0,440,500
IFAB-07,T010,1,-4.4,0.01,1.2,thermocouple,0,300,650,700
IFAB-07,T015,1.5,-3.9,0.01,1.2,thermocouple,0,300,650,700
IFAB-07,T020,2,-3.4,0.01,1.2,thermocouple,0,300,650,700
IFAB-07,T025,2.5,-2.9,0.01,1.2,thermocouple,0,300,650,700
IFAB-07,T030,3,-2.4,0.01,1.2,thermocouple,0,300,650,700
IFAB-07,T035,3.5,-1.9,0.01,1.2,thermocouple,0,300,650,700
IFAB-07,T040,4,-1.4,0.01,1.2,thermocouple,0,300,650,700
IFAB-07,T045,4.5,-0.9,0.01,1.2,thermocouple,0,300,650,700
IFAB-07,T050,5,-0.4,0.01,1.2,thermocouple,0,300,650,700
IFAB-07,T055,5.5,0.1,0.01,1.2,thermocouple,0,300,650,700
IFAB-07,T060,6,0.6,0.01,1.2,thermocouple,0,300,650,700
