chid,sensor_id,x_source_m,x_rel_fire_m,y_m,z_m,temperature_type,window_t0_s,window_t1_s,baseline_t0_s,baseline_t1_s,T_mean_C,dT_mean_C,temperature_sd_C,uncertainty_basis,n_raw_files,n_window_samples,raw_files
IFAB-07,T010,1,-4.4,0.01,1.2,thermocouple,650,700,0,300,35.716667,19.942473,1.000833,window_time_sd,1,6,raw/IFAB-07/IFAB-07_avg.csv
IFAB-07,T015,1.5,-3.9,0.01,1.2,thermocouple,650,700,0,300,39.233333,23.962366,0.968848,window_time_sd,1,6,raw/IFAB-07/IFAB-07_avg.csv
IFAB-07,T020,2,-3.4,0.01,1.2,thermocouple,650,700,0,300,41.666667,25.663441,1.276976,window_time_sd,1,6,raw/IFAB-07/IFAB-07_avg.csv
IFAB-07,T025,2.5,-2.9,0.01,1.2,thermocouple,650,700,0,300,36.116667,21.013441,0.941099,window_time_sd,1,6,raw/IFAB-07/IFAB-07_avg.csv
IFAB-07,T030,3,-2.4,0.01,1.2,thermocouple,650,700,0,300,48.266667,32.818280,0.677249,window_time_sd,1,6,raw/IFAB-07/IFAB-07_avg.csv
IFAB-07,T035,3.5,-1.9,0.01,1.2,thermocouple,650,700,0,300,56.716667,41.677957,0.713909,window_time_sd,1,6,raw/IFAB-07/IFAB-07_avg.csv
IFAB-07,T040,4,-1.4,0.01,1.2,thermocouple,650,700,0,300,68.650000,53.608065,2.068574,window_time_sd,1,6,raw/IFAB-07/IFAB-07_avg.csv
IFAB-07,T045,4.5,-0.9,0.01,1.2,thermocouple,650,700,0,300,98.700000,84.635484,2.456827,window_time_sd,1,6,raw/IFAB-07/IFAB-07_avg.csv
IFAB-07,T050,5,-0.4,0.01,1.2,thermocouple,650,700,0,300,124.933333,109.004301,4.527545,window_time_sd,1,6,raw/IFAB-07/IFAB-07_avg.csv
IFAB-07,T055,5.5,0.1,0.01,1.2,thermocouple,650,700,0,300,177.400000,161.535484,5.060040,window_time_sd,1,6,raw/IFAB-07/IFAB-07_avg.csv
IFAB-07,T060,6,0.6,0.01,1.2,thermocouple,650,700,0,300,405.300000,390.277419,16.293557,window_time_sd,1,6,raw/IFAB-07/IFAB-07_avg.csv
