chid,sensor_id,x_source_m,x_rel_fire_m,y_m,z_m,temperature_type,window_t0_s,window_t1_s,baseline_t0_s,baseline_t1_s,T_mean_C,dT_mean_C,temperature_sd_C,uncertainty_basis,n_raw_files,n_window_samples,raw_files
Arup_Tunnel,Tl01,42,-8,4.3,6.5,thermocouple,190,250,0,10,191.477143,174.397143,3.996065,between_repeat_sd,5,35,raw/Arup_Tunnel/FSB2009_Test_1.csv;raw/Arup_Tunnel/FSB2009_Test_2.csv;raw/Arup_Tunnel/FSB2009_Test_3.csv;raw/Arup_Tunnel/FSB2009_Test_4.csv;raw/Arup_Tunnel/FSB2009_Test_5.csv
Arup_Tunnel,Tl02,44,-6,4.3,6.5,thermocouple,190,250,0,10,201.428571,182.028571,4.419389,between_repeat_sd,5,35,raw/Arup_Tunnel/FSB2009_Test_1.csv;raw/Arup_Tunnel/FSB2009_Test_2.csv;raw/Arup_Tunnel/FSB2009_Test_3.csv;raw/Arup_Tunnel/FSB2009_Test_4.csv;raw/Arup_Tunnel/FSB2009_Test_5.csv
Arup_Tunnel,Tl03,46,-4,4.3,6.5,thermocouple,190,250,0,10,211.460000,189.510000,4.170403,between_repeat_sd,5,35,raw/Arup_Tunnel/FSB2009_Test_1.csv;raw/Arup_Tunnel/FSB2009_Test_2.csv;raw/Arup_Tunnel/FSB2009_Test_3.csv;raw/Arup_Tunnel/FSB2009_Test_4.csv;raw/Arup_Tunnel/FSB2009_Test_5.csv
Arup_Tunnel,Tl04,48,-2,4.3,6.5,thermocouple,190,250,0,10,243.360000,217.830000,10.140957,between_repeat_sd,5,35,raw/Arup_Tunnel/FSB2009_Test_1.csv;raw/Arup_Tunnel/FSB2009_Test_2.csv;raw/Arup_Tunnel/FSB2009_Test_3.csv;raw/Arup_Tunnel/FSB2009_Test_4.csv;raw/Arup_Tunnel/FSB2009_Test_5.csv
Arup_Tunnel,Tl05,50,0,4.3,6.5,thermocouple,190,250,0,10,277.862857,247.562857,44.629167,between_repeat_sd,5,35,raw/Arup_Tunnel/FSB2009_Test_1.csv;raw/Arup_Tunnel/FSB2009_Test_2.csv;raw/Arup_Tunnel/FSB2009_Test_3.csv;raw/Arup_Tunnel/FSB2009_Test_4.csv;raw/Arup_Tunnel/FSB2009_Test_5.csv
Arup_Tunnel,Tl06,52,2,4.3,6.5,thermocouple,190,250,0,10,258.651429,232.881429,11.813414,between_repeat_sd,5,35,raw/Arup_Tunnel/FSB2009_Test_1.csv;raw/Arup_Tunnel/FSB2009_Test_2.csv;raw/Arup_Tunnel/FSB2009_Test_3.csv;raw/Arup_Tunnel/FSB2009_Test_4.csv;raw/Arup_Tunnel/FSB2009_Test_5.csv
Arup_Tunnel,Tl07,54,4,4.3,6.5,thermocouple,190,250,0,10,213.768571,189.938571,7.772527,between_repeat_sd,5,35,raw/Arup_Tunnel/FSB2009_Test_1.csv;raw/Arup_Tunnel/FSB2009_Test_2.csv;raw/Arup_Tunnel/FSB2009_Test_3.csv;raw/Arup_Tunnel/FSB2009_Test_4.csv;raw/Arup_Tunnel/FSB2009_Test_5.csv
Arup_Tunnel,Tl08,56,6,4.3,6.5,thermocouple,190,250,0,10,189.442857,168.912857,4.410491,between_repeat_sd,5,35,raw/Arup_Tunnel/FSB2009_Test_1.csv;raw/Arup_Tunnel/FSB2009_Test_2.csv;raw/Arup_Tunnel/FSB2009_Test_3.csv;raw/Arup_Tunnel/FSB2009_Test_4.csv;raw/Arup_Tunnel/FSB2009_Test_5.csv
Arup_Tunnel,Tl09,58,8,4.3,6.5,thermocouple,190,250,0,10,185.191429,164.171429,3.998861,between_repeat_sd,5,35,raw/Arup_Tunnel/FSB2009_Test_1.csv;raw/Arup_Tunnel/FSB2009_Test_2.csv;raw/Arup_Tunnel/FSB2009_Test_3.csv;raw/Arup_Tunnel/FSB2009_Test_4.csv;raw/Arup_Tunnel/FSB2009_Test_5.csv
CSTB_Tunnel_Test_2,Tm0915,-9,-9,0,1.5,thermocouple,440,500,0,0,18.323036,0.581939,0.523030,window_time_sd,1,4,raw/CSTB_Tunnel_Test_2/CSTB_Tunnel_Test_2_EXP.csv
