Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.014E+00, 3.006E+01, 1.095E+01, 3.648E+01, 6.027E+00, 1.895E+01, 6.421E+00, 2.412E-02, 1.188E+01, 7.906E-01, 1.172E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.343E+02
    1, 1.836E+00, 3.074E+01, 1.174E+01, 3.643E+01, 5.941E+00, 1.870E+01, 6.237E+00, 2.485E-02, 1.209E+01, 7.860E-01, 9.802E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.343E+02
    2, 1.746E+00, 2.908E+01, 1.095E+01, 3.551E+01, 6.142E+00, 1.902E+01, 6.503E+00, 2.361E-02, 1.182E+01, 8.050E-01, 1.273E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.343E+02
    3, 1.754E+00, 2.938E+01, 1.092E+01, 3.503E+01, 6.093E+00, 1.903E+01, 6.542E+00, 2.411E-02, 1.184E+01, 7.858E-01, 1.293E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.343E+02
    4, 1.865E+00, 2.767E+01, 1.056E+01, 3.369E+01, 6.026E+00, 1.818E+01, 6.750E+00, 2.364E-02, 1.132E+01, 7.447E-01, 1.750E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.343E+02
    5, 1.893E+00, 2.792E+01, 1.053E+01, 3.413E+01, 6.035E+00, 1.836E+01, 6.732E+00, 2.385E-02, 1.155E+01, 7.693E-01, 1.639E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.343E+02
    6, 1.965E+00, 2.782E+01, 1.049E+01, 3.423E+01, 6.013E+00, 1.836E+01, 6.802E+00, 2.394E-02, 1.128E+01, 7.506E-01, 1.658E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.343E+02
    7, 1.858E+00, 2.749E+01, 1.035E+01, 3.422E+01, 6.099E+00, 1.813E+01, 6.710E+00, 2.404E-02, 1.157E+01, 7.576E-01, 1.711E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.343E+02
    8, 1.887E+00, 2.769E+01, 1.052E+01, 3.425E+01, 5.948E+00, 1.809E+01, 6.798E+00, 2.382E-02, 1.137E+01, 7.279E-01, 1.704E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.343E+02
    9, 1.864E+00, 2.739E+01, 1.032E+01, 3.363E+01, 6.143E+00, 1.822E+01, 6.705E+00, 2.453E-02, 1.161E+01, 9.721E-01, 1.745E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.343E+02
