s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5935523E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5935523E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0710652E+000, 3.5935075E+002,-2.3563615E+001,-2.1796256E+001,-7.1923691E-002,-3.2754164E-002, 0.0000000E+000, 0.0000000E+000, 1.2201962E+002, 3.1388620E+002, 2.1349010E+000, 1.6331650E-002, 0.0000000E+000
 2.0463595E+000, 1.4149395E+003,-6.5444109E+002,-5.2573923E+001,-1.2127607E+000,-1.0225743E-001, 0.0000000E+000, 0.0000000E+000, 6.9477868E+002, 7.0660951E+002, 8.3259800E+000, 3.9130359E-002, 0.0000000E+000
 3.0548275E+000, 2.4658122E+003,-1.1865472E+003,-8.0068471E+001,-2.8767730E+000,-1.6557705E-001, 0.0000000E+000, 0.0000000E+000, 1.1946066E+003, 1.1961542E+003, 1.4782311E+001, 5.8849295E-002, 0.0000000E+000
 4.0163550E+000, 3.2565313E+003,-1.0847471E+003,-1.0882280E+002,-5.1835147E+000,-2.2865753E-001, 0.0000000E+000, 0.0000000E+000, 2.1040926E+003, 2.0575493E+003, 2.0908820E+001, 7.8526520E-002, 0.0000000E+000
 5.0122910E+000, 4.0287402E+003,-1.0895899E+003,-1.3720910E+002,-8.2036642E+000,-2.7479028E-001, 0.0000000E+000, 0.0000000E+000, 2.9295175E+003, 2.7934627E+003, 2.6849866E+001, 9.7329035E-002, 0.0000000E+000
 6.0162454E+000, 4.7958815E+003,-1.3339115E+003,-1.4474536E+002,-6.5000104E+001,-3.2050975E-001, 0.0000000E+000, 0.0000000E+000, 3.3751615E+003, 3.2519040E+003, 3.2852279E+001, 1.1521267E-001, 0.0000000E+000
 7.0047064E+000, 5.5549022E+003,-1.4874369E+003,-1.0793515E+002,-1.1795714E+002,-3.6838257E-001, 0.0000000E+000, 0.0000000E+000, 3.9252281E+003, 3.8412046E+003, 3.8794931E+001, 1.3143798E-001, 0.0000000E+000
 8.0329809E+000, 6.1802437E+003,-1.5883027E+003, 4.0427410E+001,-1.6960584E+002,-4.0296384E-001, 0.0000000E+000, 0.0000000E+000, 4.4287580E+003, 4.4623597E+003, 4.4823172E+001, 1.4604935E-001, 0.0000000E+000
 9.0105410E+000, 6.8016701E+003,-1.7835131E+003, 1.3184664E+002,-2.0973669E+002,-4.3463675E-001, 0.0000000E+000, 0.0000000E+000, 4.9311392E+003, 4.9398323E+003, 5.0818248E+001, 1.5884771E-001, 0.0000000E+000
