,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-07-30T04:43:33.635+08:00, 0.357E+00,   0.35702, 0.27199E+01
       2,2026-07-30T04:43:33.652+08:00, 0.357E+00,   0.71404, 0.27366E+01
       3,2026-07-30T04:43:33.675+08:00, 0.357E+00,   1.07107, 0.27592E+01
       4,2026-07-30T04:43:33.691+08:00, 0.357E+00,   1.42809, 0.27742E+01
       5,2026-07-30T04:43:33.703+08:00, 0.357E+00,   1.78511, 0.27865E+01
       6,2026-07-30T04:43:33.723+08:00, 0.261E+00,   2.04636, 0.28065E+01
       7,2026-07-30T04:43:33.743+08:00, 0.200E+00,   2.24630, 0.28262E+01
       8,2026-07-30T04:43:33.762+08:00, 0.175E+00,   2.42109, 0.28444E+01
       9,2026-07-30T04:43:33.780+08:00, 0.156E+00,   2.57749, 0.28626E+01
      10,2026-07-30T04:43:33.793+08:00, 0.156E+00,   2.73389, 0.28761E+01
      20,2026-07-30T04:43:33.939+08:00, 0.718E-01,   3.61831, 0.30201E+01
      30,2026-07-30T04:43:34.087+08:00, 0.438E-01,   4.15519, 0.31670E+01
      40,2026-07-30T04:43:34.218+08:00, 0.438E-01,   4.59317, 0.32967E+01
      50,2026-07-30T04:43:34.358+08:00, 0.310E-01,   4.95032, 0.34360E+01
      60,2026-07-30T04:43:34.497+08:00, 0.310E-01,   5.26018, 0.35730E+01
      70,2026-07-30T04:43:34.626+08:00, 0.310E-01,   5.57004, 0.37007E+01
      80,2026-07-30T04:43:34.756+08:00, 0.310E-01,   5.87991, 0.38298E+01
      90,2026-07-30T04:43:34.891+08:00, 0.341E-01,   6.22075, 0.39635E+01
     100,2026-07-30T04:43:35.023+08:00, 0.341E-01,   6.56160, 0.40942E+01
     200,2026-07-30T04:43:36.383+08:00, 0.295E-01,   9.81664, 0.54430E+01
     300,2026-07-30T04:43:37.733+08:00, 0.336E-01,  13.28493, 0.67807E+01
     400,2026-07-30T04:43:39.096+08:00, 0.297E-01,  16.28087, 0.81329E+01
     500,2026-07-30T04:43:40.616+08:00, 0.257E-01,  19.14348, 0.96299E+01
     600,2026-07-30T04:43:42.000+08:00, 0.330E-01,  22.21621, 0.10998E+02
     700,2026-07-30T04:43:43.375+08:00, 0.291E-01,  25.34953, 0.12362E+02
     800,2026-07-30T04:43:44.758+08:00, 0.282E-01,  28.17721, 0.13734E+02
     900,2026-07-30T04:43:46.122+08:00, 0.328E-01,  31.15673, 0.15085E+02
    1000,2026-07-30T04:43:47.476+08:00, 0.277E-01,  34.22714, 0.16429E+02
    1100,2026-07-30T04:43:48.888+08:00, 0.290E-01,  37.04671, 0.17823E+02
    1200,2026-07-30T04:43:50.260+08:00, 0.306E-01,  39.97038, 0.19184E+02
    1300,2026-07-30T04:43:51.648+08:00, 0.244E-01,  42.83150, 0.20548E+02
    1400,2026-07-30T04:43:53.004+08:00, 0.295E-01,  45.76107, 0.21889E+02
    1500,2026-07-30T04:43:54.364+08:00, 0.268E-01,  48.61620, 0.23235E+02
    1600,2026-07-30T04:43:55.754+08:00, 0.274E-01,  51.46191, 0.24610E+02
    1700,2026-07-30T04:43:57.134+08:00, 0.302E-01,  54.26335, 0.25977E+02
    1800,2026-07-30T04:43:58.494+08:00, 0.326E-01,  57.26630, 0.27319E+02
    1900,2026-07-30T04:43:59.860+08:00, 0.293E-01,  60.24657, 0.28667E+02
