Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 2.525E+01, 9.872E+03, 4.165E+03, 7.628E+03, 4.309E+03, 1.957E+03, 1.276E+03, 6.360E-01, 4.818E+03, 1.891E+02, 1.140E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
    1, 2.223E+01, 9.880E+03, 4.159E+03, 7.588E+03, 4.183E+03, 1.899E+03, 1.267E+03, 6.130E-01, 4.803E+03, 1.845E+02, 1.393E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
    2, 3.921E+01, 9.660E+03, 4.058E+03, 7.473E+03, 4.232E+03, 1.939E+03, 1.286E+03, 6.086E-01, 4.822E+03, 1.930E+02, 1.677E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
    3, 3.836E+01, 9.665E+03, 4.050E+03, 7.515E+03, 4.302E+03, 1.944E+03, 1.283E+03, 6.085E-01, 5.028E+03, 1.983E+02, 1.356E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
    4, 3.147E+01, 9.681E+03, 4.055E+03, 7.509E+03, 4.368E+03, 1.926E+03, 1.279E+03, 6.061E-01, 4.860E+03, 1.940E+02, 1.476E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
    5, 2.842E+01, 9.674E+03, 4.043E+03, 7.564E+03, 4.326E+03, 1.922E+03, 1.276E+03, 6.158E-01, 4.898E+03, 2.022E+02, 1.444E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
    6, 3.582E+01, 9.537E+03, 4.015E+03, 7.478E+03, 4.318E+03, 1.860E+03, 1.285E+03, 5.985E-01, 4.882E+03, 1.943E+02, 1.773E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
    7, 3.097E+01, 9.530E+03, 3.985E+03, 7.489E+03, 4.304E+03, 1.869E+03, 1.277E+03, 6.005E-01, 4.951E+03, 1.942E+02, 1.748E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
    8, 3.178E+01, 9.650E+03, 4.057E+03, 7.534E+03, 4.398E+03, 1.931E+03, 1.280E+03, 6.034E-01, 4.861E+03, 1.935E+02, 1.442E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
    9, 2.515E+01, 9.553E+03, 4.015E+03, 7.529E+03, 4.371E+03, 1.884E+03, 1.273E+03, 6.036E-01, 4.983E+03, 2.011E+02, 1.544E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
   10, 2.162E+01, 9.433E+03, 4.084E+03, 7.541E+03, 4.298E+03, 1.865E+03, 1.271E+03, 6.629E-01, 5.111E+03, 6.465E+02, 1.107E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
   11, 2.321E+01, 9.411E+03, 3.985E+03, 7.406E+03, 4.137E+03, 1.881E+03, 1.271E+03, 6.105E-01, 4.911E+03, 3.426E+02, 2.011E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
   12, 3.095E+01, 9.174E+03, 4.000E+03, 7.392E+03, 4.178E+03, 1.829E+03, 1.276E+03, 6.610E-01, 5.019E+03, 6.487E+02, 1.831E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
   13, 2.550E+01, 8.997E+03, 3.969E+03, 7.551E+03, 4.215E+03, 1.858E+03, 1.272E+03, 5.903E-01, 5.044E+03, 1.156E+03, 1.291E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
   14, 3.936E+01, 9.415E+03, 3.999E+03, 7.425E+03, 4.238E+03, 1.918E+03, 1.283E+03, 6.083E-01, 4.846E+03, 1.898E+02, 2.026E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
   15, 3.918E+01, 9.405E+03, 4.004E+03, 7.400E+03, 4.202E+03, 1.864E+03, 1.284E+03, 5.821E-01, 4.860E+03, 1.931E+02, 2.128E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
   16, 5.678E+01, 9.142E+03, 3.921E+03, 7.273E+03, 4.124E+03, 1.830E+03, 1.298E+03, 5.646E-01, 4.919E+03, 1.897E+02, 2.625E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
   17, 4.192E+01, 9.192E+03, 3.928E+03, 7.393E+03, 4.174E+03, 1.929E+03, 1.287E+03, 5.865E-01, 4.916E+03, 1.919E+02, 2.326E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
   18, 5.381E+01, 9.131E+03, 3.909E+03, 7.323E+03, 4.066E+03, 1.846E+03, 1.292E+03, 5.914E-01, 4.784E+03, 1.899E+02, 2.784E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
   19, 4.547E+01, 9.231E+03, 3.914E+03, 7.380E+03, 4.120E+03, 1.858E+03, 1.286E+03, 5.911E-01, 4.910E+03, 1.932E+02, 2.441E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
   20, 9.935E+01, 9.124E+03, 3.921E+03, 7.159E+03, 4.042E+03, 1.673E+03, 1.332E+03, 5.777E-01, 4.725E+03, 1.777E+02, 3.126E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
   21, 8.469E+01, 9.195E+03, 3.874E+03, 7.281E+03, 4.110E+03, 1.734E+03, 1.320E+03, 5.889E-01, 4.844E+03, 1.838E+02, 2.752E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.538E+04
