Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 3.478E+00, 6.369E+02, 2.486E+02, 5.240E+02, 1.558E+02, 2.185E+02, 8.957E+01, 2.081E-01, 3.107E+02, 1.496E+01, 1.054E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
    1, 5.306E+00, 6.231E+02, 2.464E+02, 5.121E+02, 1.567E+02, 2.188E+02, 8.947E+01, 1.853E-01, 3.157E+02, 1.429E+01, 1.259E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
    2, 6.866E+00, 6.029E+02, 2.304E+02, 4.995E+02, 1.600E+02, 2.128E+02, 9.148E+01, 1.747E-01, 2.885E+02, 1.477E+01, 2.005E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
    3, 7.180E+00, 6.058E+02, 2.340E+02, 5.163E+02, 1.592E+02, 2.174E+02, 9.172E+01, 1.875E-01, 3.203E+02, 1.597E+01, 1.399E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
    4, 7.235E+00, 6.131E+02, 2.320E+02, 5.023E+02, 1.623E+02, 2.056E+02, 9.151E+01, 1.670E-01, 2.995E+02, 1.374E+01, 1.805E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
    5, 5.918E+00, 6.056E+02, 2.359E+02, 5.203E+02, 1.611E+02, 2.175E+02, 9.034E+01, 1.937E-01, 3.245E+02, 1.590E+01, 1.307E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
    6, 7.221E+00, 6.151E+02, 2.289E+02, 5.028E+02, 1.608E+02, 2.115E+02, 9.143E+01, 1.807E-01, 2.950E+02, 1.390E+01, 1.813E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
    7, 6.764E+00, 6.108E+02, 2.348E+02, 5.219E+02, 1.601E+02, 2.161E+02, 9.098E+01, 1.950E-01, 3.226E+02, 1.597E+01, 1.279E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
    8, 8.866E+00, 5.970E+02, 2.286E+02, 4.941E+02, 1.585E+02, 1.951E+02, 9.316E+01, 1.760E-01, 2.989E+02, 1.352E+01, 2.201E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
    9, 7.114E+00, 5.989E+02, 2.281E+02, 5.082E+02, 1.604E+02, 2.106E+02, 9.201E+01, 1.839E-01, 3.289E+02, 1.513E+01, 1.584E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
   10, 7.101E+00, 5.852E+02, 2.259E+02, 4.911E+02, 1.597E+02, 1.981E+02, 9.253E+01, 2.245E-01, 2.931E+02, 6.053E+01, 1.946E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
   11, 6.708E+00, 5.754E+02, 2.266E+02, 4.900E+02, 1.557E+02, 2.071E+02, 9.213E+01, 2.255E-01, 3.235E+02, 5.177E+01, 1.790E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
   12, 7.298E+00, 5.966E+02, 2.305E+02, 4.889E+02, 1.573E+02, 2.040E+02, 9.225E+01, 2.281E-01, 2.961E+02, 5.134E+01, 1.835E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
   13, 7.152E+00, 5.458E+02, 2.253E+02, 4.993E+02, 1.569E+02, 2.118E+02, 9.261E+01, 2.346E-01, 3.431E+02, 1.066E+02, 1.192E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
   14, 8.797E+00, 5.963E+02, 2.233E+02, 4.788E+02, 1.577E+02, 1.966E+02, 9.346E+01, 1.775E-01, 2.766E+02, 1.329E+01, 2.629E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
   15, 7.240E+00, 5.757E+02, 2.195E+02, 4.864E+02, 1.584E+02, 2.044E+02, 9.225E+01, 2.050E-01, 3.092E+02, 2.672E+01, 2.280E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
   16, 8.625E+00, 6.044E+02, 2.264E+02, 4.899E+02, 1.588E+02, 2.051E+02, 9.280E+01, 1.771E-01, 2.899E+02, 1.383E+01, 2.180E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
   17, 8.286E+00, 5.810E+02, 2.232E+02, 4.946E+02, 1.582E+02, 2.068E+02, 9.318E+01, 1.739E-01, 3.126E+02, 1.465E+01, 2.153E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
   18, 1.018E+01, 5.861E+02, 2.230E+02, 5.017E+02, 1.557E+02, 2.051E+02, 9.410E+01, 1.916E-01, 2.892E+02, 1.499E+01, 2.278E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
   19, 7.956E+00, 5.846E+02, 2.245E+02, 4.876E+02, 1.605E+02, 2.061E+02, 9.283E+01, 1.797E-01, 3.180E+02, 1.418E+01, 2.115E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
   20, 1.208E+01, 6.092E+02, 2.301E+02, 4.970E+02, 1.535E+02, 2.009E+02, 9.585E+01, 1.702E-01, 2.973E+02, 1.437E+01, 1.975E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
   21, 1.167E+01, 5.868E+02, 2.199E+02, 4.775E+02, 1.552E+02, 1.890E+02, 9.583E+01, 1.826E-01, 3.110E+02, 1.325E+01, 2.478E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.308E+03
