s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.6277277E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6277277E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0710652E+000, 4.0446792E+002,-8.2606408E+001,-1.9055562E+001,-3.3496298E-001,-3.4170878E-002, 0.0000000E+000, 0.0000000E+000, 2.3582787E+002, 3.0243681E+002, 2.6666347E+000, 1.4294729E-002, 0.0000000E+000
 2.0485220E+000, 1.4504715E+003,-7.9053093E+002,-4.9595434E+001,-2.3186397E+000,-9.4199307E-002, 0.0000000E+000, 0.0000000E+000, 6.2654786E+002, 6.0793225E+002, 8.9190677E+000, 3.6955505E-002, 0.0000000E+000
 3.0235665E+000, 2.3357865E+003,-8.1625285E+002,-7.8013064E+001,-5.6153392E+000,-1.5848586E-001, 0.0000000E+000, 0.0000000E+000, 1.4853690E+003, 1.4357468E+003, 1.5012149E+001, 5.7398898E-002, 0.0000000E+000
 4.0179214E+000, 3.2533739E+003,-9.0643723E+002,-1.0692764E+002,-8.2571935E+000,-2.1996788E-001, 0.0000000E+000, 0.0000000E+000, 2.3467135E+003, 2.2315319E+003, 2.0957500E+001, 7.7760254E-002, 0.0000000E+000
 5.0045633E+000, 4.0365982E+003,-1.0735925E+003,-6.9063854E+001,-2.6548196E+001,-2.6733970E-001, 0.0000000E+000, 0.0000000E+000, 2.9380175E+003, 2.8671262E+003, 2.6909287E+001, 9.7026889E-002, 0.0000000E+000
 6.0023594E+000, 4.8030486E+003,-1.2580479E+003, 1.2649239E+002,-1.3955126E+002,-3.1052606E-001, 0.0000000E+000, 0.0000000E+000, 3.4670237E+003, 3.5316313E+003, 3.2846062E+001, 1.1485878E-001, 0.0000000E+000
 7.0064917E+000, 5.5055504E+003,-1.4530624E+003, 1.7293922E+002,-2.3673452E+002,-3.4901197E-001, 0.0000000E+000, 0.0000000E+000, 3.9050463E+003, 3.9883437E+003, 3.8825767E+001, 1.3117110E-001, 0.0000000E+000
 8.0073462E+000, 6.3874441E+003,-1.6799119E+003, 1.9834115E+001,-2.6434587E+002,-3.8967920E-001, 0.0000000E+000, 0.0000000E+000, 4.4754923E+003, 4.4626307E+003, 4.4811304E+001, 1.4575405E-001, 0.0000000E+000
