,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-07-29T22:45:11.139+08:00, 0.179E+00,   0.17851, 0.32002E+01
       2,2026-07-29T22:45:11.230+08:00, 0.179E+00,   0.35702, 0.32901E+01
       3,2026-07-29T22:45:11.355+08:00, 0.179E+00,   0.53553, 0.34138E+01
       4,2026-07-29T22:45:11.437+08:00, 0.179E+00,   0.71404, 0.34957E+01
       5,2026-07-29T22:45:11.515+08:00, 0.179E+00,   0.89255, 0.35728E+01
       6,2026-07-29T22:45:11.628+08:00, 0.179E+00,   1.07107, 0.36845E+01
       7,2026-07-29T22:45:11.710+08:00, 0.179E+00,   1.24958, 0.37660E+01
       8,2026-07-29T22:45:11.792+08:00, 0.179E+00,   1.42809, 0.38471E+01
       9,2026-07-29T22:45:11.932+08:00, 0.131E+00,   1.55938, 0.39858E+01
      10,2026-07-29T22:45:12.014+08:00, 0.131E+00,   1.69068, 0.40680E+01
      20,2026-07-29T22:45:13.101+08:00, 0.509E-01,   2.40256, 0.51454E+01
      30,2026-07-29T22:45:14.087+08:00, 0.352E-01,   2.82067, 0.61234E+01
      40,2026-07-29T22:45:14.979+08:00, 0.310E-01,   3.14758, 0.70081E+01
      50,2026-07-29T22:45:15.853+08:00, 0.310E-01,   3.45762, 0.78747E+01
      60,2026-07-29T22:45:16.857+08:00, 0.209E-01,   3.70243, 0.88701E+01
      70,2026-07-29T22:45:17.844+08:00, 0.188E-01,   3.90533, 0.98489E+01
      80,2026-07-29T22:45:18.788+08:00, 0.188E-01,   4.09298, 0.10775E+02
      90,2026-07-29T22:45:19.772+08:00, 0.164E-01,   4.26381, 0.11749E+02
     100,2026-07-29T22:45:20.704+08:00, 0.145E-01,   4.42178, 0.12674E+02
     200,2026-07-29T22:45:30.178+08:00, 0.110E-01,   5.62701, 0.22058E+02
     300,2026-07-29T22:45:39.477+08:00, 0.118E-01,   6.79437, 0.31278E+02
     400,2026-07-29T22:45:48.848+08:00, 0.123E-01,   8.09368, 0.40569E+02
     500,2026-07-29T22:45:58.402+08:00, 0.105E-01,   9.32107, 0.50041E+02
     600,2026-07-29T22:46:08.032+08:00, 0.118E-01,  10.41433, 0.59542E+02
     700,2026-07-29T22:46:17.516+08:00, 0.143E-01,  11.64677, 0.68944E+02
     800,2026-07-29T22:46:26.995+08:00, 0.112E-01,  12.90309, 0.78339E+02
     900,2026-07-29T22:46:36.599+08:00, 0.983E-02,  14.08060, 0.87861E+02
    1000,2026-07-29T22:46:46.234+08:00, 0.119E-01,  15.16510, 0.97414E+02
    1100,2026-07-29T22:46:55.822+08:00, 0.124E-01,  16.43237, 0.10692E+03
    1200,2026-07-29T22:47:05.466+08:00, 0.109E-01,  17.53539, 0.11648E+03
    1300,2026-07-29T22:47:15.152+08:00, 0.109E-01,  18.62313, 0.12608E+03
    1400,2026-07-29T22:47:24.819+08:00, 0.128E-01,  19.84695, 0.13567E+03
    1500,2026-07-29T22:47:34.609+08:00, 0.111E-01,  21.01307, 0.14534E+03
    1600,2026-07-29T22:47:44.349+08:00, 0.119E-01,  22.12312, 0.15499E+03
    1700,2026-07-29T22:47:53.898+08:00, 0.127E-01,  23.33972, 0.16445E+03
    1800,2026-07-29T22:48:03.581+08:00, 0.107E-01,  24.50139, 0.17405E+03
    1900,2026-07-29T22:48:13.248+08:00, 0.106E-01,  25.59673, 0.18363E+03
    2000,2026-07-29T22:48:22.832+08:00, 0.122E-01,  26.73946, 0.19313E+03
    2100,2026-07-29T22:48:32.450+08:00, 0.121E-01,  28.00199, 0.20267E+03
    2200,2026-07-29T22:48:42.184+08:00, 0.116E-01,  29.07798, 0.21232E+03
    2300,2026-07-29T22:48:51.797+08:00, 0.137E-01,  30.29454, 0.22185E+03
    2400,2026-07-29T22:49:01.545+08:00, 0.108E-01,  31.46790, 0.23152E+03
    2500,2026-07-29T22:49:11.270+08:00, 0.117E-01,  32.54570, 0.24116E+03
    2600,2026-07-29T22:49:20.996+08:00, 0.124E-01,  33.79366, 0.25080E+03
    2700,2026-07-29T22:49:30.745+08:00, 0.110E-01,  35.04251, 0.26046E+03
    2800,2026-07-29T22:49:40.457+08:00, 0.119E-01,  36.12032, 0.27009E+03
    2900,2026-07-29T22:49:50.158+08:00, 0.129E-01,  37.36066, 0.27971E+03
    3000,2026-07-29T22:49:59.878+08:00, 0.114E-01,  38.60652, 0.28935E+03
    3100,2026-07-29T22:50:09.564+08:00, 0.111E-01,  39.71257, 0.29895E+03
    3200,2026-07-29T22:50:19.262+08:00, 0.135E-01,  40.93856, 0.30856E+03
    3300,2026-07-29T22:50:28.985+08:00, 0.112E-01,  42.24733, 0.31820E+03
    3400,2026-07-29T22:50:38.610+08:00, 0.107E-01,  43.29357, 0.32774E+03
    3500,2026-07-29T22:50:48.296+08:00, 0.116E-01,  44.47738, 0.33735E+03
    3600,2026-07-29T22:50:58.019+08:00, 0.122E-01,  45.76384, 0.34697E+03
    3700,2026-07-29T22:51:07.708+08:00, 0.103E-01,  46.84110, 0.35657E+03
    3800,2026-07-29T22:51:17.330+08:00, 0.114E-01,  47.91524, 0.36611E+03
    3900,2026-07-29T22:51:26.943+08:00, 0.136E-01,  49.21775, 0.37564E+03
    4000,2026-07-29T22:51:36.562+08:00, 0.105E-01,  50.36695, 0.38518E+03
    4100,2026-07-29T22:51:46.297+08:00, 0.112E-01,  51.38887, 0.39483E+03
    4200,2026-07-29T22:51:55.947+08:00, 0.135E-01,  52.63183, 0.40439E+03
    4300,2026-07-29T22:52:05.568+08:00, 0.119E-01,  53.90815, 0.41393E+03
    4400,2026-07-29T22:52:15.124+08:00, 0.116E-01,  55.00792, 0.42340E+03
    4500,2026-07-29T22:52:24.705+08:00, 0.128E-01,  56.24455, 0.43290E+03
    4600,2026-07-29T22:52:34.340+08:00, 0.117E-01,  57.52494, 0.44245E+03
    4700,2026-07-29T22:52:44.010+08:00, 0.916E-02,  58.58568, 0.45203E+03
    4800,2026-07-29T22:52:53.656+08:00, 0.134E-01,  59.72773, 0.46159E+03
    4900,2026-07-29T22:53:03.226+08:00, 0.134E-01,  61.06918, 0.47107E+03
    5000,2026-07-29T22:53:12.918+08:00, 0.105E-01,  62.15865, 0.48068E+03
    5100,2026-07-29T22:53:22.442+08:00, 0.126E-01,  63.30744, 0.49012E+03
    5200,2026-07-29T22:53:31.981+08:00, 0.121E-01,  64.57209, 0.49958E+03
    5300,2026-07-29T22:53:41.535+08:00, 0.117E-01,  65.74582, 0.50904E+03
    5400,2026-07-29T22:53:51.107+08:00, 0.115E-01,  66.93029, 0.51853E+03
    5500,2026-07-29T22:54:00.706+08:00, 0.124E-01,  68.19497, 0.52805E+03
    5600,2026-07-29T22:54:10.325+08:00, 0.109E-01,  69.35972, 0.53759E+03
    5700,2026-07-29T22:54:19.957+08:00, 0.109E-01,  70.45265, 0.54711E+03
    5800,2026-07-29T22:54:29.435+08:00, 0.132E-01,  71.70450, 0.55651E+03
    5900,2026-07-29T22:54:38.978+08:00, 0.129E-01,  72.98126, 0.56596E+03
    6000,2026-07-29T22:54:48.549+08:00, 0.127E-01,  74.19376, 0.57545E+03
    6100,2026-07-29T22:54:58.034+08:00, 0.138E-01,  75.40775, 0.58486E+03
    6200,2026-07-29T22:55:07.541+08:00, 0.110E-01,  76.64483, 0.59428E+03
    6300,2026-07-29T22:55:17.168+08:00, 0.118E-01,  77.78005, 0.60382E+03
    6400,2026-07-29T22:55:26.771+08:00, 0.118E-01,  78.96490, 0.61334E+03
    6500,2026-07-29T22:55:36.367+08:00, 0.127E-01,  80.24745, 0.62285E+03
    6600,2026-07-29T22:55:46.020+08:00, 0.988E-02,  81.46608, 0.63242E+03
    6700,2026-07-29T22:55:55.497+08:00, 0.120E-01,  82.60325, 0.64182E+03
    6800,2026-07-29T22:56:05.009+08:00, 0.140E-01,  83.95131, 0.65125E+03
    6900,2026-07-29T22:56:14.602+08:00, 0.118E-01,  85.19366, 0.66076E+03
    7000,2026-07-29T22:56:24.190+08:00, 0.126E-01,  86.32990, 0.67026E+03
    7100,2026-07-29T22:56:33.787+08:00, 0.136E-01,  87.64327, 0.67978E+03
    7200,2026-07-29T22:56:43.493+08:00, 0.120E-01,  88.84068, 0.68940E+03
    7300,2026-07-29T22:56:53.240+08:00, 0.118E-01,  89.98207, 0.69906E+03
