Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.405E+00, 4.398E+01, 1.680E+01, 5.864E+01, 2.166E+01, 2.745E+01, 9.146E+00, 3.597E-02, 1.628E+01, 1.123E+00, 1.991E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
    1, 2.459E+00, 4.355E+01, 1.655E+01, 5.838E+01, 2.108E+01, 2.709E+01, 8.874E+00, 3.568E-02, 1.591E+01, 1.067E+00, 2.143E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
    2, 2.364E+00, 4.253E+01, 1.674E+01, 5.716E+01, 2.183E+01, 2.756E+01, 9.129E+00, 3.566E-02, 1.608E+01, 1.125E+00, 2.188E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
    3, 2.673E+00, 4.260E+01, 1.640E+01, 5.709E+01, 2.143E+01, 2.726E+01, 9.306E+00, 3.544E-02, 1.612E+01, 1.102E+00, 2.241E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
    4, 2.717E+00, 4.003E+01, 1.602E+01, 5.527E+01, 2.086E+01, 2.635E+01, 9.765E+00, 3.394E-02, 1.500E+01, 1.032E+00, 2.934E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
    5, 2.731E+00, 4.039E+01, 1.582E+01, 5.456E+01, 2.093E+01, 2.613E+01, 9.641E+00, 3.507E-02, 1.542E+01, 1.044E+00, 2.974E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
    6, 2.899E+00, 4.000E+01, 1.603E+01, 5.512E+01, 2.084E+01, 2.591E+01, 9.865E+00, 3.492E-02, 1.487E+01, 1.020E+00, 2.985E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
    7, 2.836E+00, 4.007E+01, 1.604E+01, 5.487E+01, 2.097E+01, 2.592E+01, 9.788E+00, 3.510E-02, 1.519E+01, 1.015E+00, 2.970E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
    8, 2.662E+00, 4.041E+01, 1.581E+01, 5.541E+01, 2.116E+01, 2.647E+01, 9.497E+00, 3.514E-02, 1.651E+01, 1.048E+00, 2.742E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
    9, 2.314E+00, 4.079E+01, 1.621E+01, 5.545E+01, 2.128E+01, 2.633E+01, 9.381E+00, 3.452E-02, 1.688E+01, 1.136E+00, 2.661E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
   10, 2.305E+00, 3.978E+01, 1.569E+01, 5.499E+01, 2.089E+01, 2.680E+01, 9.730E+00, 4.162E-02, 1.663E+01, 9.965E+00, 1.961E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
   11, 2.557E+00, 4.003E+01, 1.532E+01, 5.394E+01, 2.101E+01, 2.670E+01, 9.889E+00, 3.947E-02, 1.692E+01, 7.761E+00, 2.226E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
   12, 2.685E+00, 3.968E+01, 1.539E+01, 5.384E+01, 2.059E+01, 2.651E+01, 9.819E+00, 3.961E-02, 1.682E+01, 1.081E+01, 2.025E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
   13, 2.723E+00, 3.906E+01, 1.495E+01, 5.462E+01, 2.058E+01, 2.670E+01, 9.954E+00, 4.381E-02, 1.701E+01, 1.084E+01, 1.995E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
   14, 2.912E+00, 3.915E+01, 1.540E+01, 5.441E+01, 2.071E+01, 2.652E+01, 1.003E+01, 3.958E-02, 1.657E+01, 1.037E+01, 2.031E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
   15, 2.807E+00, 3.930E+01, 1.488E+01, 5.369E+01, 2.067E+01, 2.659E+01, 1.000E+01, 4.029E-02, 1.669E+01, 1.055E+01, 2.120E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
   16, 3.020E+00, 3.919E+01, 1.484E+01, 5.454E+01, 2.073E+01, 2.648E+01, 1.003E+01, 3.803E-02, 1.633E+01, 5.970E+00, 2.526E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
   17, 2.612E+00, 3.875E+01, 1.514E+01, 5.391E+01, 2.057E+01, 2.609E+01, 9.895E+00, 3.815E-02, 1.657E+01, 8.495E+00, 2.435E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
   18, 2.811E+00, 3.856E+01, 1.510E+01, 5.378E+01, 2.082E+01, 2.551E+01, 9.988E+00, 3.418E-02, 1.650E+01, 1.224E+00, 3.211E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
   19, 2.586E+00, 3.943E+01, 1.528E+01, 5.441E+01, 2.090E+01, 2.605E+01, 9.949E+00, 3.527E-02, 1.667E+01, 2.409E+00, 2.871E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
   20, 3.052E+00, 3.965E+01, 1.576E+01, 5.412E+01, 2.068E+01, 2.422E+01, 1.010E+01, 3.508E-02, 1.647E+01, 1.006E+00, 3.135E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
   21, 3.032E+00, 3.886E+01, 1.478E+01, 5.298E+01, 2.043E+01, 2.406E+01, 1.009E+01, 3.521E-02, 1.660E+01, 1.025E+00, 3.455E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.164E+02
