s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5935523E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5935523E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0710652E+000, 1.4374567E+003,-7.5362159E+001,-5.4643907E+001,-3.1166339E-001,-1.2518627E-001, 0.0000000E+000, 0.0000000E+000, 4.8922646E+002, 1.3070138E+003, 5.3372525E+000, 6.5327252E-002, 0.0000000E+000
 2.1454334E+000, 6.0055229E+003,-3.4888979E+003,-1.3427497E+002,-5.2778171E+000,-4.0389363E-001, 0.0000000E+000, 0.0000000E+000, 2.7856969E+003, 2.3766684E+003, 2.1802382E+001, 1.5942325E-001, 0.0000000E+000
 3.0047953E+000, 9.6266929E+003,-4.9159607E+003,-2.0108199E+002,-1.2182380E+001,-6.0091850E-001, 0.0000000E+000, 0.0000000E+000, 4.2195688E+003, 4.4968670E+003, 3.7614993E+001, 2.3586987E-001, 0.0000000E+000
 4.0093737E+000, 1.2452998E+004,-4.1975912E+003,-2.7001664E+002,-2.5600257E+001,-8.6438795E-001, 0.0000000E+000, 0.0000000E+000, 7.9567214E+003, 7.9589252E+003, 5.1952180E+001, 3.1121419E-001, 0.0000000E+000
 5.0095997E+000, 1.6531528E+004,-4.6841191E+003,-3.1782403E+002,-3.2674360E+001,-1.0795279E+000, 0.0000000E+000, 0.0000000E+000, 1.1275659E+004, 1.1495831E+004, 6.7086692E+001, 3.8880019E-001, 0.0000000E+000
 6.0156417E+000, 1.9251463E+004,-5.3770876E+003,-3.4844460E+001,-2.4561423E+002,-1.2528115E+000, 0.0000000E+000, 0.0000000E+000, 1.3356771E+004, 1.3592664E+004, 8.2178836E+001, 4.6040249E-001,-6.8029330E-307
 7.0142903E+000, 2.2097781E+004,-5.8821314E+003, 5.2368120E+002,-6.7066747E+002,-1.3889510E+000, 0.0000000E+000, 0.0000000E+000, 1.6178170E+004, 1.6067274E+004, 9.7157514E+001, 5.2560918E-001,-6.3959093E-297
 8.0225153E+000, 2.4282360E+004,-6.7055367E+003, 6.8252863E+002,-9.9085198E+002,-1.4842014E+000, 0.0000000E+000, 0.0000000E+000, 1.7949796E+004, 1.7267015E+004, 1.1214316E+002, 5.8384559E-001,-5.7980005E-290
 9.0159807E+000, 2.6165125E+004,-6.9474158E+003, 2.2503662E+002,-9.6667187E+002,-1.5978880E+000, 0.0000000E+000, 0.0000000E+000, 1.8243001E+004, 1.8474476E+004, 1.2705071E+002, 6.3513930E-001,-2.3683547E-282
