,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-07-29T22:45:24.082+08:00, 0.357E+00,   0.35702, 0.22627E+01
       2,2026-07-29T22:45:24.096+08:00, 0.357E+00,   0.71404, 0.22762E+01
       3,2026-07-29T22:45:24.111+08:00, 0.357E+00,   1.07107, 0.22903E+01
       4,2026-07-29T22:45:24.124+08:00, 0.357E+00,   1.42809, 0.23033E+01
       5,2026-07-29T22:45:24.136+08:00, 0.357E+00,   1.78511, 0.23151E+01
       6,2026-07-29T22:45:24.154+08:00, 0.186E+00,   1.97072, 0.23329E+01
       7,2026-07-29T22:45:24.168+08:00, 0.175E+00,   2.14543, 0.23474E+01
       8,2026-07-29T22:45:24.183+08:00, 0.142E+00,   2.28704, 0.23623E+01
       9,2026-07-29T22:45:24.198+08:00, 0.142E+00,   2.42865, 0.23766E+01
      10,2026-07-29T22:45:24.213+08:00, 0.123E+00,   2.55142, 0.23917E+01
      20,2026-07-29T22:45:24.345+08:00, 0.574E-01,   3.34392, 0.25229E+01
      30,2026-07-29T22:45:24.476+08:00, 0.493E-01,   3.87734, 0.26519E+01
      40,2026-07-29T22:45:24.629+08:00, 0.440E-01,   4.31746, 0.27925E+01
      50,2026-07-29T22:45:24.763+08:00, 0.317E-01,   4.66063, 0.29248E+01
      60,2026-07-29T22:45:24.899+08:00, 0.317E-01,   4.97787, 0.30596E+01
      70,2026-07-29T22:45:25.053+08:00, 0.198E-01,   5.21558, 0.32113E+01
      80,2026-07-29T22:45:25.188+08:00, 0.198E-01,   5.41362, 0.33454E+01
      90,2026-07-29T22:45:25.326+08:00, 0.218E-01,   5.62353, 0.34812E+01
     100,2026-07-29T22:45:25.457+08:00, 0.218E-01,   5.84137, 0.36122E+01
     200,2026-07-29T22:45:26.820+08:00, 0.212E-01,   7.89343, 0.49627E+01
     300,2026-07-29T22:45:28.186+08:00, 0.236E-01,  10.54469, 0.63160E+01
     400,2026-07-29T22:45:29.524+08:00, 0.200E-01,  12.43769, 0.76417E+01
     500,2026-07-29T22:45:30.883+08:00, 0.184E-01,  14.82596, 0.89900E+01
     600,2026-07-29T22:45:32.238+08:00, 0.177E-01,  16.44883, 0.10333E+02
     700,2026-07-29T22:45:33.645+08:00, 0.157E-01,  18.63769, 0.11694E+02
     800,2026-07-29T22:45:35.062+08:00, 0.219E-01,  20.25348, 0.13097E+02
     900,2026-07-29T22:45:36.539+08:00, 0.128E-01,  22.16531, 0.14561E+02
    1000,2026-07-29T22:45:37.960+08:00, 0.192E-01,  24.22939, 0.15971E+02
    1100,2026-07-29T22:45:39.421+08:00, 0.232E-01,  25.85428, 0.17417E+02
    1200,2026-07-29T22:45:40.902+08:00, 0.160E-01,  27.64166, 0.18885E+02
    1300,2026-07-29T22:45:42.327+08:00, 0.142E-01,  29.63396, 0.20297E+02
    1400,2026-07-29T22:45:43.753+08:00, 0.244E-01,  31.55327, 0.21708E+02
    1500,2026-07-29T22:45:45.188+08:00, 0.166E-01,  33.29873, 0.23129E+02
    1600,2026-07-29T22:45:46.622+08:00, 0.150E-01,  35.26671, 0.24543E+02
    1700,2026-07-29T22:45:48.043+08:00, 0.258E-01,  37.09833, 0.25951E+02
    1800,2026-07-29T22:45:49.495+08:00, 0.207E-01,  38.89106, 0.27389E+02
    1900,2026-07-29T22:45:50.937+08:00, 0.153E-01,  41.07583, 0.28818E+02
    2000,2026-07-29T22:45:52.361+08:00, 0.271E-01,  43.08990, 0.30230E+02
    2100,2026-07-29T22:45:53.800+08:00, 0.174E-01,  44.75487, 0.31657E+02
    2200,2026-07-29T22:45:55.257+08:00, 0.142E-01,  46.75958, 0.33101E+02
    2300,2026-07-29T22:45:56.719+08:00, 0.249E-01,  48.81063, 0.34550E+02
