Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 6.380E+01, 1.283E+04, 5.528E+03, 1.151E+04, 9.937E+03, 2.441E+03, 1.670E+03, 7.723E-01, 5.707E+03, 2.328E+02, 3.264E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.319E+04
    1, 5.994E+01, 1.268E+04, 5.435E+03, 1.170E+04, 9.856E+03, 2.438E+03, 1.653E+03, 7.933E-01, 5.802E+03, 2.367E+02, 3.323E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.319E+04
    2, 6.691E+01, 1.235E+04, 5.444E+03, 1.147E+04, 9.892E+03, 2.459E+03, 1.666E+03, 7.694E-01, 5.917E+03, 2.470E+02, 3.671E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.319E+04
    3, 7.239E+01, 1.230E+04, 5.253E+03, 1.139E+04, 1.004E+04, 2.430E+03, 1.672E+03, 7.719E-01, 5.746E+03, 2.421E+02, 4.043E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.319E+04
    4, 6.151E+01, 1.233E+04, 5.408E+03, 1.137E+04, 1.004E+04, 2.426E+03, 1.657E+03, 7.582E-01, 5.708E+03, 2.377E+02, 3.964E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.319E+04
    5, 4.892E+01, 1.233E+04, 5.264E+03, 1.150E+04, 1.004E+04, 2.427E+03, 1.640E+03, 7.899E-01, 5.938E+03, 2.435E+02, 3.762E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.319E+04
    6, 6.045E+01, 1.194E+04, 5.042E+03, 1.130E+04, 9.934E+03, 2.384E+03, 1.651E+03, 7.825E-01, 5.873E+03, 2.426E+02, 4.760E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.319E+04
    7, 4.045E+01, 1.214E+04, 5.113E+03, 1.159E+04, 9.903E+03, 2.392E+03, 1.637E+03, 8.157E-01, 6.193E+03, 2.543E+02, 3.928E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.319E+04
    8, 5.093E+01, 1.209E+04, 5.116E+03, 1.156E+04, 1.011E+04, 2.329E+03, 1.646E+03, 7.879E-01, 5.987E+03, 2.452E+02, 4.057E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.319E+04
    9, 2.198E+01, 1.183E+04, 5.089E+03, 1.173E+04, 1.009E+04, 2.448E+03, 1.612E+03, 8.549E-01, 6.602E+03, 2.592E+02, 3.502E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.319E+04
