,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-07-29T22:47:07.780+08:00, 0.893E-01,   0.08926, 0.90934E+01
       2,2026-07-29T22:47:08.435+08:00, 0.893E-01,   0.17851, 0.97436E+01
       3,2026-07-29T22:47:09.253+08:00, 0.893E-01,   0.26777, 0.10556E+02
       4,2026-07-29T22:47:09.897+08:00, 0.893E-01,   0.35702, 0.11195E+02
       5,2026-07-29T22:47:10.464+08:00, 0.893E-01,   0.44628, 0.11758E+02
       6,2026-07-29T22:47:11.279+08:00, 0.893E-01,   0.53553, 0.12567E+02
       7,2026-07-29T22:47:11.796+08:00, 0.893E-01,   0.62479, 0.13080E+02
       8,2026-07-29T22:47:12.340+08:00, 0.893E-01,   0.71404, 0.13620E+02
       9,2026-07-29T22:47:13.063+08:00, 0.893E-01,   0.80330, 0.14338E+02
      10,2026-07-29T22:47:13.611+08:00, 0.893E-01,   0.89255, 0.14882E+02
      20,2026-07-29T22:47:20.512+08:00, 0.344E-01,   1.39779, 0.21736E+02
      30,2026-07-29T22:47:26.655+08:00, 0.241E-01,   1.66301, 0.27838E+02
      40,2026-07-29T22:47:32.458+08:00, 0.193E-01,   1.87950, 0.33602E+02
      50,2026-07-29T22:47:37.944+08:00, 0.193E-01,   2.07295, 0.39051E+02
      60,2026-07-29T22:47:43.876+08:00, 0.169E-01,   2.25663, 0.44943E+02
      70,2026-07-29T22:47:49.714+08:00, 0.151E-01,   2.42382, 0.50741E+02
      80,2026-07-29T22:47:55.474+08:00, 0.132E-01,   2.57076, 0.56462E+02
      90,2026-07-29T22:48:01.414+08:00, 0.132E-01,   2.70259, 0.62362E+02
     100,2026-07-29T22:48:07.759+08:00, 0.118E-01,   2.82044, 0.68663E+02
     200,2026-07-29T22:49:18.468+08:00, 0.566E-02,   3.61830, 0.13886E+03
     300,2026-07-29T22:50:28.049+08:00, 0.441E-02,   4.05694, 0.20794E+03
     400,2026-07-29T22:51:36.012+08:00, 0.389E-02,   4.45256, 0.27542E+03
     500,2026-07-29T22:52:43.623+08:00, 0.385E-02,   4.81228, 0.34255E+03
     600,2026-07-29T22:53:50.962+08:00, 0.377E-02,   5.18908, 0.40941E+03
     700,2026-07-29T22:54:57.511+08:00, 0.457E-02,   5.62703, 0.47549E+03
     800,2026-07-29T22:56:06.505+08:00, 0.396E-02,   6.04545, 0.54400E+03
     900,2026-07-29T22:57:16.212+08:00, 0.436E-02,   6.45694, 0.61321E+03
    1000,2026-07-29T22:58:29.217+08:00, 0.428E-02,   6.91234, 0.68570E+03
    1100,2026-07-29T22:59:45.552+08:00, 0.370E-02,   7.29028, 0.76148E+03
    1200,2026-07-29T23:01:01.011+08:00, 0.407E-02,   7.67588, 0.83640E+03
    1300,2026-07-29T23:02:20.199+08:00, 0.381E-02,   8.12394, 0.91502E+03
    1400,2026-07-29T23:03:37.651+08:00, 0.372E-02,   8.47675, 0.99191E+03
    1500,2026-07-29T23:04:55.413+08:00, 0.398E-02,   8.88680, 0.10691E+04
    1600,2026-07-29T23:06:15.148+08:00, 0.398E-02,   9.28477, 0.11483E+04
    1700,2026-07-29T23:07:34.287+08:00, 0.398E-02,   9.68275, 0.12268E+04
    1800,2026-07-29T23:08:54.253+08:00, 0.385E-02,  10.09699, 0.13062E+04
    1900,2026-07-29T23:10:12.393+08:00, 0.454E-02,  10.51436, 0.13838E+04
    2000,2026-07-29T23:11:30.901+08:00, 0.499E-02,  11.00780, 0.14617E+04
    2100,2026-07-29T23:12:48.670+08:00, 0.481E-02,  11.46466, 0.15389E+04
    2200,2026-07-29T23:14:04.376+08:00, 0.529E-02,  11.97414, 0.16140E+04
    2300,2026-07-29T23:15:19.785+08:00, 0.452E-02,  12.43931, 0.16889E+04
    2400,2026-07-29T23:16:33.612+08:00, 0.443E-02,  12.85935, 0.17622E+04
    2500,2026-07-29T23:17:47.048+08:00, 0.397E-02,  13.30063, 0.18351E+04
    2600,2026-07-29T23:18:57.955+08:00, 0.417E-02,  13.69921, 0.19056E+04
    2700,2026-07-29T23:20:07.647+08:00, 0.417E-02,  14.11628, 0.19748E+04
    2800,2026-07-29T23:21:18.767+08:00, 0.408E-02,  14.54981, 0.20454E+04
    2900,2026-07-29T23:22:27.784+08:00, 0.428E-02,  14.97400, 0.21139E+04
    3000,2026-07-29T23:23:37.987+08:00, 0.471E-02,  15.42974, 0.21836E+04
    3100,2026-07-29T23:24:47.151+08:00, 0.422E-02,  15.86751, 0.22523E+04
    3200,2026-07-29T23:25:56.321+08:00, 0.464E-02,  16.30941, 0.23210E+04
    3300,2026-07-29T23:27:07.135+08:00, 0.458E-02,  16.76279, 0.23913E+04
    3400,2026-07-29T23:28:17.405+08:00, 0.448E-02,  17.19600, 0.24611E+04
    3500,2026-07-29T23:29:28.438+08:00, 0.448E-02,  17.64408, 0.25316E+04
    3600,2026-07-29T23:30:43.067+08:00, 0.437E-02,  18.09691, 0.26057E+04
    3700,2026-07-29T23:31:57.656+08:00, 0.431E-02,  18.50231, 0.26797E+04
    3800,2026-07-29T23:33:13.174+08:00, 0.448E-02,  18.93793, 0.27547E+04
    3900,2026-07-29T23:34:27.398+08:00, 0.448E-02,  19.38633, 0.28285E+04
    4000,2026-07-29T23:35:38.502+08:00, 0.448E-02,  19.83474, 0.28991E+04
