Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 4.677E+00, 9.433E+02, 3.733E+02, 8.017E+02, 3.166E+02, 3.177E+02, 1.305E+02, 2.908E-01, 4.267E+02, 2.187E+01, 2.081E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.545E+03
    1, 6.942E+00, 8.980E+02, 3.474E+02, 7.801E+02, 3.140E+02, 3.116E+02, 1.305E+02, 2.755E-01, 4.263E+02, 2.086E+01, 3.088E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.545E+03
    2, 1.080E+01, 9.109E+02, 3.483E+02, 7.695E+02, 3.210E+02, 3.089E+02, 1.346E+02, 2.933E-01, 4.104E+02, 2.219E+01, 3.077E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.545E+03
    3, 9.935E+00, 9.028E+02, 3.453E+02, 7.923E+02, 3.219E+02, 3.146E+02, 1.336E+02, 2.681E-01, 4.307E+02, 2.300E+01, 2.703E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.545E+03
    4, 1.058E+01, 9.096E+02, 3.497E+02, 7.667E+02, 3.212E+02, 3.075E+02, 1.346E+02, 2.490E-01, 4.113E+02, 2.050E+01, 3.127E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.545E+03
    5, 8.488E+00, 9.054E+02, 3.520E+02, 7.935E+02, 3.263E+02, 3.163E+02, 1.322E+02, 2.753E-01, 4.433E+02, 2.329E+01, 2.435E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.545E+03
    6, 1.046E+01, 8.860E+02, 3.451E+02, 7.722E+02, 3.198E+02, 3.027E+02, 1.343E+02, 2.516E-01, 4.055E+02, 2.043E+01, 3.479E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.545E+03
    7, 9.727E+00, 8.837E+02, 3.380E+02, 7.656E+02, 3.231E+02, 3.020E+02, 1.333E+02, 2.529E-01, 4.058E+02, 2.043E+01, 3.628E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.545E+03
    8, 1.158E+01, 8.888E+02, 3.409E+02, 7.817E+02, 3.208E+02, 3.040E+02, 1.353E+02, 2.690E-01, 4.400E+02, 2.193E+01, 2.994E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.545E+03
    9, 8.817E+00, 8.828E+02, 3.425E+02, 7.810E+02, 3.210E+02, 3.059E+02, 1.329E+02, 2.646E-01, 4.704E+02, 2.255E+01, 2.765E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.545E+03
