,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-07-29T22:47:15.876+08:00, 0.179E+00,   0.17851, 0.33112E+01
       2,2026-07-29T22:47:15.973+08:00, 0.179E+00,   0.35702, 0.34072E+01
       3,2026-07-29T22:47:16.090+08:00, 0.179E+00,   0.53553, 0.35229E+01
       4,2026-07-29T22:47:16.185+08:00, 0.179E+00,   0.71404, 0.36175E+01
       5,2026-07-29T22:47:16.269+08:00, 0.179E+00,   0.89255, 0.37009E+01
       6,2026-07-29T22:47:16.391+08:00, 0.179E+00,   1.07107, 0.38208E+01
       7,2026-07-29T22:47:16.474+08:00, 0.179E+00,   1.24958, 0.39038E+01
       8,2026-07-29T22:47:16.587+08:00, 0.109E+00,   1.35886, 0.40151E+01
       9,2026-07-29T22:47:16.724+08:00, 0.101E+00,   1.46003, 0.41505E+01
      10,2026-07-29T22:47:16.835+08:00, 0.895E-01,   1.54955, 0.42617E+01
      20,2026-07-29T22:47:17.894+08:00, 0.425E-01,   2.13577, 0.53113E+01
      30,2026-07-29T22:47:18.874+08:00, 0.329E-01,   2.50106, 0.62823E+01
      40,2026-07-29T22:47:19.845+08:00, 0.262E-01,   2.78644, 0.72449E+01
      50,2026-07-29T22:47:20.765+08:00, 0.262E-01,   3.04863, 0.81565E+01
      60,2026-07-29T22:47:21.807+08:00, 0.234E-01,   3.29110, 0.91895E+01
      70,2026-07-29T22:47:22.850+08:00, 0.204E-01,   3.52215, 0.10223E+02
      80,2026-07-29T22:47:23.925+08:00, 0.176E-01,   3.71519, 0.11287E+02
      90,2026-07-29T22:47:25.057+08:00, 0.153E-01,   3.87276, 0.12407E+02
     100,2026-07-29T22:47:26.221+08:00, 0.130E-01,   4.01647, 0.13560E+02
     200,2026-07-29T22:47:36.884+08:00, 0.730E-02,   4.97186, 0.24114E+02
     300,2026-07-29T22:47:47.135+08:00, 0.884E-02,   5.76652, 0.34270E+02
     400,2026-07-29T22:47:57.648+08:00, 0.855E-02,   6.74129, 0.44686E+02
     500,2026-07-29T22:48:08.458+08:00, 0.829E-02,   7.51383, 0.55396E+02
     600,2026-07-29T22:48:19.208+08:00, 0.110E-01,   8.46795, 0.66047E+02
     700,2026-07-29T22:48:30.322+08:00, 0.795E-02,   9.36362, 0.77057E+02
     800,2026-07-29T22:48:41.235+08:00, 0.106E-01,  10.23882, 0.87813E+02
     900,2026-07-29T22:48:52.469+08:00, 0.931E-02,  11.27006, 0.98942E+02
    1000,2026-07-29T22:49:03.659+08:00, 0.108E-01,  12.19802, 0.11003E+03
    1100,2026-07-29T22:49:14.977+08:00, 0.843E-02,  13.21752, 0.12124E+03
    1200,2026-07-29T22:49:26.109+08:00, 0.102E-01,  14.09945, 0.13227E+03
    1300,2026-07-29T22:49:37.271+08:00, 0.901E-02,  15.11739, 0.14332E+03
    1400,2026-07-29T22:49:48.166+08:00, 0.798E-02,  15.92500, 0.15412E+03
    1500,2026-07-29T22:49:59.082+08:00, 0.852E-02,  16.90816, 0.16493E+03
    1600,2026-07-29T22:50:10.106+08:00, 0.827E-02,  17.73656, 0.17585E+03
    1700,2026-07-29T22:50:20.738+08:00, 0.100E-01,  18.62877, 0.18639E+03
    1800,2026-07-29T22:50:31.734+08:00, 0.806E-02,  19.53906, 0.19728E+03
    1900,2026-07-29T22:50:42.330+08:00, 0.976E-02,  20.36961, 0.20775E+03
    2000,2026-07-29T22:50:53.182+08:00, 0.865E-02,  21.30892, 0.21850E+03
    2100,2026-07-29T22:51:03.922+08:00, 0.836E-02,  22.07825, 0.22914E+03
    2200,2026-07-29T22:51:14.560+08:00, 0.101E-01,  23.00671, 0.23968E+03
    2300,2026-07-29T22:51:25.346+08:00, 0.814E-02,  23.85833, 0.25037E+03
    2400,2026-07-29T22:51:35.950+08:00, 0.108E-01,  24.76869, 0.26087E+03
    2500,2026-07-29T22:51:47.041+08:00, 0.865E-02,  25.71601, 0.27186E+03
    2600,2026-07-29T22:51:57.581+08:00, 0.848E-02,  26.53804, 0.28230E+03
    2700,2026-07-29T22:52:08.447+08:00, 0.838E-02,  27.45027, 0.29307E+03
    2800,2026-07-29T22:52:19.135+08:00, 0.744E-02,  28.26234, 0.30366E+03
    2900,2026-07-29T22:52:29.790+08:00, 0.991E-02,  29.17951, 0.31422E+03
    3000,2026-07-29T22:52:40.473+08:00, 0.788E-02,  29.99532, 0.32480E+03
    3100,2026-07-29T22:52:50.842+08:00, 0.841E-02,  30.82219, 0.33507E+03
    3200,2026-07-29T22:53:01.479+08:00, 0.821E-02,  31.71607, 0.34561E+03
    3300,2026-07-29T22:53:12.014+08:00, 0.903E-02,  32.54472, 0.35605E+03
    3400,2026-07-29T22:53:22.634+08:00, 0.976E-02,  33.57334, 0.36657E+03
    3500,2026-07-29T22:53:33.386+08:00, 0.756E-02,  34.45795, 0.37722E+03
    3600,2026-07-29T22:53:43.931+08:00, 0.101E-01,  35.31061, 0.38767E+03
    3700,2026-07-29T22:53:54.590+08:00, 0.866E-02,  36.26669, 0.39823E+03
    3800,2026-07-29T22:54:05.212+08:00, 0.904E-02,  37.09556, 0.40875E+03
    3900,2026-07-29T22:54:15.864+08:00, 0.994E-02,  38.04625, 0.41931E+03
    4000,2026-07-29T22:54:26.510+08:00, 0.779E-02,  38.88117, 0.42986E+03
    4100,2026-07-29T22:54:37.022+08:00, 0.920E-02,  39.68481, 0.44027E+03
    4200,2026-07-29T22:54:47.591+08:00, 0.736E-02,  40.56772, 0.45074E+03
    4300,2026-07-29T22:54:58.016+08:00, 0.890E-02,  41.37263, 0.46107E+03
    4400,2026-07-29T22:55:08.511+08:00, 0.869E-02,  42.29260, 0.47147E+03
    4500,2026-07-29T22:55:18.975+08:00, 0.766E-02,  43.10861, 0.48184E+03
    4600,2026-07-29T22:55:29.367+08:00, 0.843E-02,  43.94809, 0.49213E+03
    4700,2026-07-29T22:55:39.856+08:00, 0.820E-02,  44.85335, 0.50253E+03
    4800,2026-07-29T22:55:50.228+08:00, 0.729E-02,  45.64169, 0.51279E+03
    4900,2026-07-29T22:56:00.575+08:00, 0.882E-02,  46.43432, 0.52304E+03
    5000,2026-07-29T22:56:11.009+08:00, 0.866E-02,  47.29161, 0.53338E+03
    5100,2026-07-29T22:56:21.482+08:00, 0.866E-02,  48.15797, 0.54376E+03
    5200,2026-07-29T22:56:31.971+08:00, 0.775E-02,  48.99692, 0.55415E+03
    5300,2026-07-29T22:56:42.541+08:00, 0.841E-02,  49.86436, 0.56462E+03
    5400,2026-07-29T22:56:53.034+08:00, 0.841E-02,  50.70503, 0.57502E+03
    5500,2026-07-29T22:57:03.486+08:00, 0.818E-02,  51.58498, 0.58538E+03
    5600,2026-07-29T22:57:13.906+08:00, 0.900E-02,  52.45462, 0.59570E+03
    5700,2026-07-29T22:57:24.313+08:00, 0.900E-02,  53.35453, 0.60602E+03
    5800,2026-07-29T22:57:34.724+08:00, 0.780E-02,  54.16777, 0.61633E+03
    5900,2026-07-29T22:57:45.056+08:00, 0.858E-02,  54.98413, 0.62657E+03
    6000,2026-07-29T22:57:55.394+08:00, 0.840E-02,  55.82560, 0.63681E+03
    6100,2026-07-29T22:58:05.703+08:00, 0.840E-02,  56.66530, 0.64702E+03
    6200,2026-07-29T22:58:16.024+08:00, 0.801E-02,  57.49972, 0.65725E+03
    6300,2026-07-29T22:58:26.338+08:00, 0.881E-02,  58.34305, 0.66747E+03
    6400,2026-07-29T22:58:36.626+08:00, 0.881E-02,  59.22403, 0.67767E+03
    6500,2026-07-29T22:58:46.890+08:00, 0.863E-02,  60.08213, 0.68784E+03
    6600,2026-07-29T22:58:57.174+08:00, 0.852E-02,  60.92569, 0.69803E+03
    6700,2026-07-29T22:59:07.383+08:00, 0.839E-02,  61.77911, 0.70815E+03
    6800,2026-07-29T22:59:17.670+08:00, 0.906E-02,  62.59065, 0.71834E+03
    6900,2026-07-29T22:59:28.028+08:00, 0.906E-02,  63.49648, 0.72860E+03
    7000,2026-07-29T22:59:38.281+08:00, 0.876E-02,  64.35985, 0.73876E+03
    7100,2026-07-29T22:59:48.615+08:00, 0.963E-02,  65.26466, 0.74900E+03
    7200,2026-07-29T22:59:58.984+08:00, 0.941E-02,  66.19758, 0.75928E+03
    7300,2026-07-29T23:00:09.260+08:00, 0.829E-02,  67.12491, 0.76946E+03
    7400,2026-07-29T23:00:19.542+08:00, 0.821E-02,  68.00607, 0.77965E+03
    7500,2026-07-29T23:00:29.720+08:00, 0.903E-02,  68.84140, 0.78973E+03
    7600,2026-07-29T23:00:40.067+08:00, 0.892E-02,  69.71533, 0.79999E+03
    7700,2026-07-29T23:00:50.383+08:00, 0.863E-02,  70.60107, 0.81020E+03
    7800,2026-07-29T23:01:00.695+08:00, 0.761E-02,  71.45000, 0.82042E+03
    7900,2026-07-29T23:01:10.850+08:00, 0.837E-02,  72.26083, 0.83048E+03
    8000,2026-07-29T23:01:21.103+08:00, 0.819E-02,  73.11907, 0.84064E+03
    8100,2026-07-29T23:01:31.356+08:00, 0.802E-02,  73.98745, 0.85080E+03
    8200,2026-07-29T23:01:41.559+08:00, 0.882E-02,  74.79946, 0.86091E+03
    8300,2026-07-29T23:01:51.794+08:00, 0.865E-02,  75.69718, 0.87105E+03
    8400,2026-07-29T23:02:02.062+08:00, 0.865E-02,  76.56207, 0.88122E+03
    8500,2026-07-29T23:02:12.250+08:00, 0.865E-02,  77.42696, 0.89132E+03
    8600,2026-07-29T23:02:22.394+08:00, 0.828E-02,  78.25515, 0.90137E+03
    8700,2026-07-29T23:02:32.636+08:00, 0.819E-02,  79.13778, 0.91152E+03
    8800,2026-07-29T23:02:42.975+08:00, 0.781E-02,  79.98382, 0.92177E+03
    8900,2026-07-29T23:02:53.107+08:00, 0.859E-02,  80.76749, 0.93181E+03
    9000,2026-07-29T23:03:03.330+08:00, 0.944E-02,  81.66646, 0.94194E+03
    9100,2026-07-29T23:03:13.612+08:00, 0.840E-02,  82.53394, 0.95212E+03
    9200,2026-07-29T23:03:23.857+08:00, 0.924E-02,  83.41640, 0.96228E+03
    9300,2026-07-29T23:03:34.241+08:00, 0.914E-02,  84.32839, 0.97256E+03
    9400,2026-07-29T23:03:44.616+08:00, 0.739E-02,  85.18781, 0.98284E+03
    9500,2026-07-29T23:03:54.794+08:00, 0.812E-02,  85.99209, 0.99293E+03
    9600,2026-07-29T23:04:05.103+08:00, 0.852E-02,  86.90563, 0.10031E+04
    9700,2026-07-29T23:04:15.469+08:00, 0.739E-02,  87.71462, 0.10134E+04
    9800,2026-07-29T23:04:25.699+08:00, 0.894E-02,  88.52792, 0.10236E+04
    9900,2026-07-29T23:04:36.100+08:00, 0.802E-02,  89.41331, 0.10339E+04
   10000,2026-07-29T23:04:46.455+08:00, 0.862E-02,  90.19928, 0.10441E+04
   10100,2026-07-29T23:04:56.690+08:00, 0.862E-02,  91.06131, 0.10543E+04
   10200,2026-07-29T23:05:06.922+08:00, 0.824E-02,  91.93721, 0.10644E+04
   10300,2026-07-29T23:05:17.174+08:00, 0.881E-02,  92.80656, 0.10746E+04
   10400,2026-07-29T23:05:27.355+08:00, 0.931E-02,  93.73428, 0.10846E+04
   10500,2026-07-29T23:05:37.751+08:00, 0.809E-02,  94.61164, 0.10949E+04
   10600,2026-07-29T23:05:48.008+08:00, 0.890E-02,  95.42639, 0.11051E+04
   10700,2026-07-29T23:05:58.263+08:00, 0.890E-02,  96.31638, 0.11153E+04
   10800,2026-07-29T23:06:08.559+08:00, 0.855E-02,  97.17699, 0.11255E+04
   10900,2026-07-29T23:06:18.725+08:00, 0.941E-02,  98.03417, 0.11355E+04
   11000,2026-07-29T23:06:29.092+08:00, 0.927E-02,  98.95567, 0.11458E+04
