Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.716E+00, 5.037E+01, 1.910E+01, 6.719E+01, 2.297E+01, 3.149E+01, 1.009E+01, 4.041E-02, 1.887E+01, 1.274E+00, 2.344E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.466E+02
    1, 2.621E+00, 4.976E+01, 1.932E+01, 6.711E+01, 2.261E+01, 3.081E+01, 9.884E+00, 4.180E-02, 1.872E+01, 1.248E+00, 2.444E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.466E+02
    2, 2.438E+00, 4.879E+01, 1.901E+01, 6.529E+01, 2.320E+01, 3.156E+01, 9.987E+00, 3.964E-02, 1.890E+01, 1.311E+00, 2.604E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.466E+02
    3, 2.634E+00, 4.928E+01, 1.877E+01, 6.503E+01, 2.311E+01, 3.123E+01, 1.018E+01, 4.063E-02, 1.842E+01, 1.258E+00, 2.660E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.466E+02
    4, 2.911E+00, 4.592E+01, 1.808E+01, 6.330E+01, 2.254E+01, 3.020E+01, 1.065E+01, 4.158E-02, 1.781E+01, 1.250E+00, 3.386E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.466E+02
    5, 2.891E+00, 4.657E+01, 1.828E+01, 6.318E+01, 2.253E+01, 3.001E+01, 1.058E+01, 3.990E-02, 1.819E+01, 1.207E+00, 3.308E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.466E+02
    6, 2.885E+00, 4.568E+01, 1.823E+01, 6.352E+01, 2.245E+01, 2.978E+01, 1.063E+01, 3.997E-02, 1.756E+01, 1.177E+00, 3.461E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.466E+02
    7, 3.057E+00, 4.585E+01, 1.804E+01, 6.238E+01, 2.239E+01, 2.975E+01, 1.075E+01, 4.051E-02, 1.748E+01, 1.213E+00, 3.560E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.466E+02
    8, 2.917E+00, 4.629E+01, 1.860E+01, 6.363E+01, 2.267E+01, 3.015E+01, 1.066E+01, 4.189E-02, 1.852E+01, 1.710E+00, 3.137E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.466E+02
    9, 2.901E+00, 4.641E+01, 1.827E+01, 6.323E+01, 2.268E+01, 2.996E+01, 1.055E+01, 4.068E-02, 1.823E+01, 1.228E+00, 3.307E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.466E+02
