,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-07-29T22:47:26.665+08:00, 0.357E+00,   0.35702, 0.22631E+01
       2,2026-07-29T22:47:26.680+08:00, 0.357E+00,   0.71404, 0.22776E+01
       3,2026-07-29T22:47:26.696+08:00, 0.357E+00,   1.07107, 0.22930E+01
       4,2026-07-29T22:47:26.710+08:00, 0.357E+00,   1.42809, 0.23071E+01
       5,2026-07-29T22:47:26.723+08:00, 0.357E+00,   1.78511, 0.23197E+01
       6,2026-07-29T22:47:26.743+08:00, 0.181E+00,   1.96596, 0.23395E+01
       7,2026-07-29T22:47:26.759+08:00, 0.173E+00,   2.13910, 0.23556E+01
       8,2026-07-29T22:47:26.777+08:00, 0.139E+00,   2.27770, 0.23733E+01
       9,2026-07-29T22:47:26.792+08:00, 0.139E+00,   2.41630, 0.23885E+01
      10,2026-07-29T22:47:26.808+08:00, 0.119E+00,   2.53489, 0.24040E+01
      20,2026-07-29T22:47:26.947+08:00, 0.582E-01,   3.32065, 0.25419E+01
      30,2026-07-29T22:47:27.083+08:00, 0.455E-01,   3.83315, 0.26764E+01
      40,2026-07-29T22:47:27.218+08:00, 0.455E-01,   4.28826, 0.28100E+01
      50,2026-07-29T22:47:27.370+08:00, 0.360E-01,   4.68568, 0.29597E+01
      60,2026-07-29T22:47:27.540+08:00, 0.269E-01,   5.00818, 0.31263E+01
      70,2026-07-29T22:47:27.692+08:00, 0.269E-01,   5.27709, 0.32772E+01
      80,2026-07-29T22:47:27.859+08:00, 0.216E-01,   5.52386, 0.34429E+01
      90,2026-07-29T22:47:28.009+08:00, 0.172E-01,   5.71684, 0.35910E+01
     100,2026-07-29T22:47:28.150+08:00, 0.172E-01,   5.88882, 0.37313E+01
     200,2026-07-29T22:47:29.528+08:00, 0.206E-01,   7.63415, 0.50963E+01
     300,2026-07-29T22:47:30.983+08:00, 0.134E-01,   9.56192, 0.65371E+01
     400,2026-07-29T22:47:32.402+08:00, 0.237E-01,  11.43691, 0.79419E+01
     500,2026-07-29T22:47:33.853+08:00, 0.155E-01,  13.07698, 0.93799E+01
     600,2026-07-29T22:47:35.263+08:00, 0.156E-01,  15.06763, 0.10776E+02
     700,2026-07-29T22:47:36.647+08:00, 0.203E-01,  16.59576, 0.12148E+02
     800,2026-07-29T22:47:38.077+08:00, 0.138E-01,  18.48573, 0.13563E+02
     900,2026-07-29T22:47:39.489+08:00, 0.223E-01,  20.23727, 0.14962E+02
    1000,2026-07-29T22:47:40.905+08:00, 0.141E-01,  21.77477, 0.16361E+02
    1100,2026-07-29T22:47:42.304+08:00, 0.179E-01,  23.57472, 0.17747E+02
    1200,2026-07-29T22:47:43.715+08:00, 0.173E-01,  25.19481, 0.19144E+02
    1300,2026-07-29T22:47:45.161+08:00, 0.147E-01,  27.02919, 0.20576E+02
    1400,2026-07-29T22:47:46.556+08:00, 0.216E-01,  28.72267, 0.21958E+02
    1500,2026-07-29T22:47:47.984+08:00, 0.147E-01,  30.34753, 0.23373E+02
    1600,2026-07-29T22:47:49.387+08:00, 0.174E-01,  32.08930, 0.24763E+02
