Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 7.177E+01, 1.519E+04, 6.540E+03, 1.422E+04, 1.195E+04, 2.927E+03, 1.921E+03, 9.333E-01, 6.901E+03, 2.908E+02, 4.263E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
    1, 8.693E+01, 1.507E+04, 6.486E+03, 1.429E+04, 1.197E+04, 2.894E+03, 1.920E+03, 9.376E-01, 6.938E+03, 2.892E+02, 4.335E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
    2, 7.498E+01, 1.466E+04, 6.316E+03, 1.402E+04, 1.235E+04, 2.929E+03, 1.915E+03, 9.211E-01, 6.937E+03, 3.008E+02, 4.786E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
    3, 9.437E+01, 1.471E+04, 6.219E+03, 1.410E+04, 1.228E+04, 2.831E+03, 1.933E+03, 8.905E-01, 6.743E+03, 2.913E+02, 5.080E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
    4, 8.902E+01, 1.471E+04, 6.261E+03, 1.390E+04, 1.222E+04, 2.770E+03, 1.929E+03, 9.276E-01, 6.882E+03, 2.843E+02, 5.233E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
    5, 7.169E+01, 1.478E+04, 6.254E+03, 1.428E+04, 1.224E+04, 2.896E+03, 1.907E+03, 9.617E-01, 6.872E+03, 2.970E+02, 4.678E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
    6, 8.006E+01, 1.461E+04, 6.216E+03, 1.412E+04, 1.241E+04, 2.869E+03, 1.918E+03, 9.321E-01, 6.952E+03, 2.960E+02, 4.811E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
    7, 6.602E+01, 1.470E+04, 6.368E+03, 1.419E+04, 1.206E+04, 2.893E+03, 1.896E+03, 9.603E-01, 6.957E+03, 3.013E+02, 4.846E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
    8, 7.096E+01, 1.446E+04, 6.160E+03, 1.405E+04, 1.214E+04, 2.767E+03, 1.904E+03, 9.034E-01, 6.733E+03, 2.860E+02, 5.705E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
    9, 6.584E+01, 1.460E+04, 6.311E+03, 1.417E+04, 1.237E+04, 2.807E+03, 1.895E+03, 9.029E-01, 6.836E+03, 2.899E+02, 4.923E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
   10, 3.079E+01, 1.359E+04, 5.859E+03, 1.405E+04, 1.234E+04, 2.734E+03, 1.874E+03, 9.120E-01, 7.440E+03, 1.728E+03, 4.641E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
   11, 3.390E+01, 1.418E+04, 6.160E+03, 1.398E+04, 1.198E+04, 2.740E+03, 1.868E+03, 8.881E-01, 6.755E+03, 2.967E+02, 6.280E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
   12, 2.780E+01, 1.350E+04, 6.041E+03, 1.401E+04, 1.210E+04, 2.949E+03, 1.890E+03, 9.574E-01, 7.584E+03, 3.303E+03, 2.862E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
   13, 3.130E+01, 1.385E+04, 6.062E+03, 1.408E+04, 1.219E+04, 2.784E+03, 1.878E+03, 8.998E-01, 7.409E+03, 1.822E+03, 4.176E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
   14, 4.113E+01, 1.335E+04, 6.041E+03, 1.386E+04, 1.228E+04, 2.906E+03, 1.892E+03, 9.461E-01, 7.573E+03, 3.407E+03, 2.924E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
   15, 2.024E+01, 1.355E+04, 6.039E+03, 1.413E+04, 1.212E+04, 2.958E+03, 1.872E+03, 9.537E-01, 7.540E+03, 3.334E+03, 2.704E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
   16, 3.397E+01, 1.330E+04, 6.011E+03, 1.397E+04, 1.195E+04, 2.836E+03, 1.887E+03, 9.206E-01, 7.484E+03, 2.611E+03, 4.193E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
   17, 4.095E+01, 1.326E+04, 5.883E+03, 1.388E+04, 1.202E+04, 2.848E+03, 1.893E+03, 9.100E-01, 7.532E+03, 2.785E+03, 4.130E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
   18, 5.386E+01, 1.357E+04, 5.947E+03, 1.377E+04, 1.167E+04, 2.613E+03, 1.908E+03, 8.089E-01, 7.180E+03, 5.053E+02, 7.054E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
   19, 3.631E+01, 1.375E+04, 5.949E+03, 1.397E+04, 1.191E+04, 2.714E+03, 1.887E+03, 8.528E-01, 7.387E+03, 6.896E+02, 5.981E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
   20, 9.755E+01, 1.373E+04, 5.930E+03, 1.371E+04, 1.191E+04, 2.495E+03, 1.947E+03, 8.903E-01, 7.318E+03, 2.709E+02, 6.864E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
   21, 8.788E+01, 1.372E+04, 5.925E+03, 1.370E+04, 1.160E+04, 2.485E+03, 1.938E+03, 8.782E-01, 7.156E+03, 2.816E+02, 7.383E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.428E+04
