s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.6335413E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6335413E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0262681E+000, 3.3017195E+003,-1.4928491E+003,-7.6590288E+001,-6.0734560E+000,-2.2962127E-001, 0.0000000E+000, 0.0000000E+000, 1.5998463E+003, 1.7259770E+003, 1.2635802E+001, 1.0186068E-001, 0.0000000E+000
 2.0126078E+000, 9.3624419E+003,-3.6425895E+003,-2.0348893E+002,-2.9637267E+001,-6.6972264E-001, 0.0000000E+000, 0.0000000E+000, 5.5737990E+003, 5.4860565E+003, 4.0436476E+001, 2.7916427E-001, 0.0000000E+000
 3.0036438E+000, 1.4514182E+004,-4.1505971E+003,-5.5559641E+001,-9.4353498E+001,-1.1340335E+000, 0.0000000E+000, 0.0000000E+000, 1.0374368E+004, 1.0212538E+004, 6.7281098E+001, 4.5131315E-001, 0.0000000E+000
 4.0032783E+000, 2.3783666E+004,-6.2129155E+003, 3.6683646E+002,-2.1291383E+002,-1.4912756E+000, 0.0000000E+000, 0.0000000E+000, 1.7698321E+004, 1.7723182E+004, 9.4115513E+001, 6.1763152E-001, 0.0000000E+000
 5.0017214E+000, 3.1083887E+004,-7.7012621E+003, 3.6202549E+002,-3.1568097E+002,-1.7870447E+000, 0.0000000E+000, 0.0000000E+000, 2.3315317E+004, 2.3427182E+004, 1.2099473E+002, 7.7412017E-001, 0.0000000E+000
 6.0021267E+000, 3.5643833E+004,-8.9736232E+003, 3.9172935E+002,-8.6733054E+002,-2.0325991E+000, 0.0000000E+000, 0.0000000E+000, 2.6070911E+004, 2.6192576E+004, 1.4787098E+002, 9.1812518E-001, 0.0000000E+000
 7.0006075E+000, 3.6390311E+004,-9.6815841E+003, 3.6345448E+002,-1.5335891E+003,-2.1553200E+000, 0.0000000E+000, 0.0000000E+000, 2.5313580E+004, 2.5536437E+004, 1.7473996E+002, 1.0485072E+000, 0.0000000E+000
 8.0019989E+000, 4.3628248E+004,-1.0882944E+004, 5.1309881E+002,-1.7600919E+003,-2.1919414E+000, 0.0000000E+000, 0.0000000E+000, 3.1491097E+004, 3.1496120E+004, 2.0162251E+002, 1.1649225E+000, 0.0000000E+000
 9.0001106E+000, 4.8228069E+004,-1.2535136E+004, 5.7807808E+002,-1.9482469E+003,-2.1819217E+000, 0.0000000E+000, 0.0000000E+000, 3.4334597E+004, 3.4320582E+004, 2.2850425E+002, 1.2674563E+000, 0.0000000E+000
 1.0000192E+001, 5.3454071E+004,-1.4348145E+004, 6.1307531E+002,-2.4096716E+003,-1.9333242E+000, 0.0000000E+000, 0.0000000E+000, 3.7369031E+004, 3.7307397E+004, 2.5536563E+002, 1.3567422E+000, 0.0000000E+000
 1.1002110E+001, 5.4007620E+004,-1.4949659E+004,-1.8530662E+004,-2.5525243E+003,-1.8849982E+000, 0.0000000E+000, 0.0000000E+000, 1.7705985E+004, 1.7972889E+004, 2.6885412E+002, 1.4339349E+000, 0.0000000E+000
 1.2000478E+001, 5.6038557E+004,-1.4967794E+004,-2.7672966E+004,-2.4506237E+003,-2.0342786E+000, 0.0000000E+000, 0.0000000E+000, 1.0790649E+004, 1.0945139E+004, 2.6885412E+002, 1.4999046E+000, 0.0000000E+000
 1.3002906E+001, 6.1989497E+004,-1.6713885E+004,-2.9933251E+004,-2.3819399E+003,-2.0640241E+000, 0.0000000E+000, 0.0000000E+000, 1.2906169E+004, 1.2958358E+004, 2.6885412E+002, 1.5559475E+000, 0.0000000E+000
 1.4001936E+001, 6.4536389E+004,-1.7272396E+004,-2.9776714E+004,-2.4509486E+003,-2.0739457E+000, 0.0000000E+000, 0.0000000E+000, 1.4964271E+004, 1.5034257E+004, 2.6885412E+002, 1.6032736E+000, 0.0000000E+000
 1.5002644E+001, 6.7279244E+004,-1.7654835E+004,-3.7027062E+004,-2.6247190E+003,-2.1013035E+000, 0.0000000E+000, 0.0000000E+000, 1.0012857E+004, 9.9705277E+003, 2.6885412E+002, 1.6429782E+000, 0.0000000E+000
 1.6001116E+001, 6.8960928E+004,-1.8576296E+004,-3.6168531E+004,-2.6296309E+003,-2.2284246E+000, 0.0000000E+000, 0.0000000E+000, 1.1442138E+004, 1.1584242E+004, 2.6885412E+002, 1.6761716E+000, 0.0000000E+000
 1.7001205E+001, 7.2783145E+004,-1.9111715E+004,-4.2559258E+004,-2.7461876E+003,-2.2453748E+000, 0.0000000E+000, 0.0000000E+000, 8.2171932E+003, 8.3637397E+003, 2.6885412E+002, 1.7038178E+000, 0.0000000E+000
 1.8003710E+001, 6.9090660E+004,-1.8076318E+004,-4.5718365E+004,-2.6309622E+003,-2.3062506E+000, 0.0000000E+000, 0.0000000E+000, 2.5511888E+003, 2.6627088E+003, 2.6885412E+002, 1.7268283E+000, 0.0000000E+000
 1.9001030E+001, 7.6567167E+004,-1.9553882E+004,-4.6731680E+004,-2.7071049E+003,-2.3078218E+000, 0.0000000E+000, 0.0000000E+000, 7.4453853E+003, 7.5721931E+003, 2.6885412E+002, 1.7458613E+000, 0.0000000E+000
 2.0001122E+001, 7.2845096E+004,-1.9521148E+004,-4.8027462E+004,-2.6541680E+003,-2.3369426E+000, 0.0000000E+000, 0.0000000E+000, 2.5427757E+003, 2.6399811E+003, 2.6885412E+002, 1.7615797E+000, 0.0000000E+000
