,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-07-29T22:47:44.826+08:00, 0.893E-01,   0.08926, 0.93459E+01
       2,2026-07-29T22:47:45.489+08:00, 0.893E-01,   0.17851, 0.10003E+02
       3,2026-07-29T22:47:46.355+08:00, 0.893E-01,   0.26777, 0.10861E+02
       4,2026-07-29T22:47:47.041+08:00, 0.893E-01,   0.35702, 0.11541E+02
       5,2026-07-29T22:47:47.688+08:00, 0.893E-01,   0.44628, 0.12182E+02
       6,2026-07-29T22:47:48.574+08:00, 0.893E-01,   0.53553, 0.13062E+02
       7,2026-07-29T22:47:49.271+08:00, 0.893E-01,   0.62479, 0.13752E+02
       8,2026-07-29T22:47:49.935+08:00, 0.893E-01,   0.71404, 0.14410E+02
       9,2026-07-29T22:47:50.791+08:00, 0.893E-01,   0.80330, 0.15259E+02
      10,2026-07-29T22:47:51.463+08:00, 0.893E-01,   0.89255, 0.15925E+02
      20,2026-07-29T22:48:00.137+08:00, 0.315E-01,   1.37966, 0.24526E+02
      30,2026-07-29T22:48:06.914+08:00, 0.246E-01,   1.64325, 0.31249E+02
      40,2026-07-29T22:48:14.688+08:00, 0.188E-01,   1.84809, 0.38958E+02
      50,2026-07-29T22:48:21.566+08:00, 0.147E-01,   2.01261, 0.45781E+02
      60,2026-07-29T22:48:27.992+08:00, 0.129E-01,   2.15809, 0.52154E+02
      70,2026-07-29T22:48:35.237+08:00, 0.129E-01,   2.28667, 0.59339E+02
      80,2026-07-29T22:48:41.514+08:00, 0.115E-01,   2.40994, 0.65564E+02
      90,2026-07-29T22:48:47.833+08:00, 0.115E-01,   2.52523, 0.71832E+02
     100,2026-07-29T22:48:54.255+08:00, 0.102E-01,   2.63525, 0.78202E+02
     200,2026-07-29T22:50:03.625+08:00, 0.558E-02,   3.37503, 0.14701E+03
     300,2026-07-29T22:51:10.790+08:00, 0.494E-02,   3.89954, 0.21362E+03
     400,2026-07-29T22:52:19.042+08:00, 0.439E-02,   4.39242, 0.28132E+03
     500,2026-07-29T22:53:34.415+08:00, 0.386E-02,   4.78533, 0.35608E+03
     600,2026-07-29T22:54:48.498+08:00, 0.346E-02,   5.14014, 0.42955E+03
     700,2026-07-29T22:56:02.341+08:00, 0.377E-02,   5.53654, 0.50277E+03
     800,2026-07-29T22:57:16.175+08:00, 0.377E-02,   5.91314, 0.57600E+03
     900,2026-07-29T22:58:28.444+08:00, 0.301E-02,   6.22183, 0.64768E+03
    1000,2026-07-29T22:59:38.758+08:00, 0.401E-02,   6.56850, 0.71742E+03
    1100,2026-07-29T23:00:56.239+08:00, 0.388E-02,   6.99672, 0.79425E+03
    1200,2026-07-29T23:02:14.675+08:00, 0.388E-02,   7.38501, 0.87204E+03
    1300,2026-07-29T23:03:29.952+08:00, 0.388E-02,   7.77330, 0.94669E+03
    1400,2026-07-29T23:04:44.959+08:00, 0.384E-02,   8.19196, 0.10211E+04
    1500,2026-07-29T23:05:57.700+08:00, 0.340E-02,   8.55998, 0.10932E+04
    1600,2026-07-29T23:07:07.978+08:00, 0.336E-02,   8.91619, 0.11629E+04
    1700,2026-07-29T23:08:17.755+08:00, 0.406E-02,   9.26866, 0.12321E+04
    1800,2026-07-29T23:09:29.481+08:00, 0.363E-02,   9.64455, 0.13033E+04
    1900,2026-07-29T23:10:40.029+08:00, 0.363E-02,  10.00745, 0.13733E+04
    2000,2026-07-29T23:11:49.960+08:00, 0.399E-02,  10.39975, 0.14426E+04
    2100,2026-07-29T23:13:01.544+08:00, 0.399E-02,  10.79894, 0.15136E+04
    2200,2026-07-29T23:14:14.194+08:00, 0.359E-02,  11.17449, 0.15856E+04
    2300,2026-07-29T23:15:23.421+08:00, 0.395E-02,  11.55409, 0.16542E+04
    2400,2026-07-29T23:16:34.600+08:00, 0.395E-02,  11.94912, 0.17247E+04
    2500,2026-07-29T23:17:46.535+08:00, 0.350E-02,  12.32437, 0.17961E+04
    2600,2026-07-29T23:18:56.373+08:00, 0.385E-02,  12.68984, 0.18653E+04
    2700,2026-07-29T23:20:09.150+08:00, 0.424E-02,  13.10880, 0.19375E+04
    2800,2026-07-29T23:21:21.040+08:00, 0.374E-02,  13.48957, 0.20087E+04
    2900,2026-07-29T23:22:32.148+08:00, 0.412E-02,  13.87143, 0.20792E+04
    3000,2026-07-29T23:23:44.791+08:00, 0.403E-02,  14.24376, 0.21512E+04
    3100,2026-07-29T23:24:59.230+08:00, 0.358E-02,  14.63588, 0.22250E+04
    3200,2026-07-29T23:26:11.442+08:00, 0.384E-02,  15.01800, 0.22966E+04
    3300,2026-07-29T23:27:25.519+08:00, 0.384E-02,  15.40203, 0.23701E+04
    3400,2026-07-29T23:28:40.065+08:00, 0.384E-02,  15.78606, 0.24440E+04
    3500,2026-07-29T23:29:53.425+08:00, 0.384E-02,  16.17009, 0.25167E+04
    3600,2026-07-29T23:31:06.807+08:00, 0.384E-02,  16.55412, 0.25894E+04
    3700,2026-07-29T23:32:20.013+08:00, 0.384E-02,  16.93814, 0.26620E+04
    3800,2026-07-29T23:33:32.558+08:00, 0.416E-02,  17.31247, 0.27339E+04
    3900,2026-07-29T23:34:48.413+08:00, 0.409E-02,  17.74579, 0.28091E+04
    4000,2026-07-29T23:36:02.810+08:00, 0.361E-02,  18.15037, 0.28829E+04
    4100,2026-07-29T23:37:17.826+08:00, 0.397E-02,  18.53615, 0.29572E+04
    4200,2026-07-29T23:38:32.453+08:00, 0.397E-02,  18.93348, 0.30312E+04
    4300,2026-07-29T23:39:47.950+08:00, 0.381E-02,  19.31552, 0.31061E+04
    4400,2026-07-29T23:41:03.431+08:00, 0.414E-02,  19.71988, 0.31809E+04
    4500,2026-07-29T23:42:17.852+08:00, 0.371E-02,  20.12333, 0.32546E+04
    4600,2026-07-29T23:43:31.742+08:00, 0.371E-02,  20.49466, 0.33279E+04
