Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 5.121E+00, 1.043E+03, 4.147E+02, 9.680E+02, 5.015E+02, 3.555E+02, 1.443E+02, 3.355E-01, 4.887E+02, 2.474E+01, 2.795E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
    1, 8.755E+00, 1.041E+03, 4.203E+02, 9.586E+02, 4.978E+02, 3.576E+02, 1.451E+02, 3.019E-01, 5.007E+02, 2.438E+01, 2.704E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
    2, 1.034E+01, 1.020E+03, 3.877E+02, 9.445E+02, 5.084E+02, 3.465E+02, 1.464E+02, 3.282E-01, 4.522E+02, 2.556E+01, 3.830E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
    3, 1.169E+01, 1.007E+03, 3.929E+02, 9.103E+02, 5.135E+02, 3.364E+02, 1.482E+02, 2.965E-01, 4.744E+02, 2.275E+01, 4.078E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
    4, 1.022E+01, 1.010E+03, 3.879E+02, 9.446E+02, 5.123E+02, 3.442E+02, 1.464E+02, 3.114E-01, 4.452E+02, 2.467E+01, 3.991E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
    5, 9.942E+00, 1.012E+03, 3.999E+02, 9.562E+02, 5.207E+02, 3.503E+02, 1.464E+02, 3.171E-01, 4.992E+02, 2.550E+01, 3.046E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
    6, 1.164E+01, 1.001E+03, 3.774E+02, 9.213E+02, 5.144E+02, 3.311E+02, 1.480E+02, 2.882E-01, 4.496E+02, 2.280E+01, 4.478E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
    7, 8.817E+00, 1.009E+03, 4.057E+02, 9.544E+02, 5.199E+02, 3.559E+02, 1.447E+02, 3.050E-01, 5.031E+02, 2.570E+01, 2.972E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
    8, 1.235E+01, 9.834E+02, 3.658E+02, 9.066E+02, 5.059E+02, 3.152E+02, 1.481E+02, 2.908E-01, 4.432E+02, 2.196E+01, 5.222E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
    9, 1.183E+01, 9.793E+02, 3.731E+02, 9.082E+02, 5.132E+02, 3.225E+02, 1.483E+02, 2.595E-01, 4.930E+02, 2.239E+01, 4.530E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
   10, 8.648E+00, 9.183E+02, 3.709E+02, 9.392E+02, 5.048E+02, 3.484E+02, 1.468E+02, 4.163E-01, 5.335E+02, 1.735E+02, 2.807E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
   11, 1.045E+01, 9.598E+02, 3.725E+02, 9.025E+02, 5.041E+02, 3.319E+02, 1.474E+02, 3.276E-01, 4.942E+02, 3.692E+01, 4.652E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
   12, 1.097E+01, 9.251E+02, 3.640E+02, 8.946E+02, 4.965E+02, 3.406E+02, 1.492E+02, 3.832E-01, 4.933E+02, 2.172E+02, 3.333E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
   13, 8.585E+00, 9.304E+02, 3.646E+02, 9.000E+02, 5.052E+02, 3.343E+02, 1.466E+02, 3.803E-01, 5.216E+02, 1.736E+02, 3.397E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.225E+03
