,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-07-29T22:47:49.411+08:00, 0.179E+00,   0.17851, 0.31817E+01
       2,2026-07-29T22:47:49.526+08:00, 0.179E+00,   0.35702, 0.32954E+01
       3,2026-07-29T22:47:49.669+08:00, 0.179E+00,   0.53553, 0.34365E+01
       4,2026-07-29T22:47:49.764+08:00, 0.179E+00,   0.71404, 0.35313E+01
       5,2026-07-29T22:47:49.855+08:00, 0.179E+00,   0.89255, 0.36215E+01
       6,2026-07-29T22:47:49.988+08:00, 0.179E+00,   1.07107, 0.37527E+01
       7,2026-07-29T22:47:50.091+08:00, 0.179E+00,   1.24958, 0.38554E+01
       8,2026-07-29T22:47:50.224+08:00, 0.111E+00,   1.36083, 0.39863E+01
       9,2026-07-29T22:47:50.375+08:00, 0.102E+00,   1.46287, 0.41365E+01
      10,2026-07-29T22:47:50.500+08:00, 0.905E-01,   1.55336, 0.42598E+01
      20,2026-07-29T22:47:51.507+08:00, 0.439E-01,   2.14704, 0.52590E+01
      30,2026-07-29T22:47:52.516+08:00, 0.339E-01,   2.51670, 0.62584E+01
      40,2026-07-29T22:47:53.450+08:00, 0.299E-01,   2.81954, 0.71852E+01
      50,2026-07-29T22:47:54.459+08:00, 0.260E-01,   3.08720, 0.81860E+01
      60,2026-07-29T22:47:55.588+08:00, 0.197E-01,   3.31790, 0.93043E+01
      70,2026-07-29T22:47:56.647+08:00, 0.197E-01,   3.51481, 0.10354E+02
      80,2026-07-29T22:47:57.741+08:00, 0.176E-01,   3.69729, 0.11438E+02
      90,2026-07-29T22:47:58.891+08:00, 0.151E-01,   3.85083, 0.12578E+02
     100,2026-07-29T22:48:00.040+08:00, 0.136E-01,   3.99876, 0.13717E+02
     200,2026-07-29T22:48:10.742+08:00, 0.803E-02,   4.95579, 0.24321E+02
     300,2026-07-29T22:48:21.204+08:00, 0.884E-02,   5.80496, 0.34691E+02
     400,2026-07-29T22:48:31.899+08:00, 0.698E-02,   6.59950, 0.45290E+02
     500,2026-07-29T22:48:42.405+08:00, 0.845E-02,   7.36061, 0.55704E+02
     600,2026-07-29T22:48:52.872+08:00, 0.845E-02,   8.20543, 0.66078E+02
     700,2026-07-29T22:49:03.209+08:00, 0.751E-02,   8.99100, 0.76325E+02
     800,2026-07-29T22:49:13.387+08:00, 0.881E-02,   9.81006, 0.86414E+02
     900,2026-07-29T22:49:23.694+08:00, 0.860E-02,  10.66137, 0.96611E+02
    1000,2026-07-29T22:49:33.846+08:00, 0.772E-02,  11.44475, 0.10667E+03
    1100,2026-07-29T22:49:44.032+08:00, 0.751E-02,  12.24954, 0.11677E+03
    1200,2026-07-29T22:49:54.059+08:00, 0.751E-02,  13.00071, 0.12671E+03
    1300,2026-07-29T22:50:04.204+08:00, 0.826E-02,  13.82549, 0.13676E+03
    1400,2026-07-29T22:50:14.386+08:00, 0.826E-02,  14.65177, 0.14684E+03
    1500,2026-07-29T22:50:24.564+08:00, 0.909E-02,  15.51771, 0.15692E+03
    1600,2026-07-29T22:50:34.933+08:00, 0.813E-02,  16.35440, 0.16720E+03
    1700,2026-07-29T22:50:44.974+08:00, 0.894E-02,  17.21741, 0.17715E+03
    1800,2026-07-29T22:50:55.348+08:00, 0.782E-02,  18.03848, 0.18744E+03
    1900,2026-07-29T22:51:05.651+08:00, 0.774E-02,  18.83263, 0.19765E+03
    2000,2026-07-29T22:51:15.875+08:00, 0.851E-02,  19.63101, 0.20778E+03
    2100,2026-07-29T22:51:26.115+08:00, 0.851E-02,  20.48199, 0.21792E+03
    2200,2026-07-29T22:51:36.285+08:00, 0.838E-02,  21.31456, 0.22800E+03
    2300,2026-07-29T22:51:46.366+08:00, 0.819E-02,  22.12793, 0.23799E+03
    2400,2026-07-29T22:51:56.515+08:00, 0.721E-02,  22.91274, 0.24805E+03
    2500,2026-07-29T22:52:06.658+08:00, 0.872E-02,  23.72901, 0.25810E+03
    2600,2026-07-29T22:52:16.955+08:00, 0.770E-02,  24.55733, 0.26830E+03
    2700,2026-07-29T22:52:27.158+08:00, 0.770E-02,  25.32736, 0.27841E+03
    2800,2026-07-29T22:52:37.497+08:00, 0.847E-02,  26.17286, 0.28866E+03
    2900,2026-07-29T22:52:47.783+08:00, 0.654E-02,  26.90137, 0.29885E+03
    3000,2026-07-29T22:52:58.002+08:00, 0.791E-02,  27.68210, 0.30898E+03
    3100,2026-07-29T22:53:08.235+08:00, 0.791E-02,  28.47317, 0.31912E+03
    3200,2026-07-29T22:53:18.469+08:00, 0.791E-02,  29.26423, 0.32927E+03
    3300,2026-07-29T22:53:28.758+08:00, 0.712E-02,  30.00199, 0.33947E+03
    3400,2026-07-29T22:53:39.140+08:00, 0.783E-02,  30.74907, 0.34976E+03
