id,x,y,z_temp,z_vel,region
T_1500,15.0,5.0,4.5,4.75,far_up
T_2000,20.0,5.0,4.5,4.75,far_up
T_2500,25.0,5.0,4.5,4.75,far_up
T_3000,30.0,5.0,4.5,4.75,near
T_3250,32.5,5.0,4.5,4.75,near
T_3500,35.0,5.0,4.5,4.75,near
T_3750,37.5,5.0,4.5,4.75,near
T_4000,40.0,5.0,4.5,4.75,near
T_4250,42.5,5.0,4.5,4.75,near
T_4500,45.0,5.0,4.5,4.75,near
T_4750,47.5,5.0,4.5,4.75,near
T_5000,50.0,5.0,4.5,4.75,near
T_5250,52.5,5.0,4.5,4.75,near
T_5500,55.0,5.0,4.5,4.75,near
T_5750,57.5,5.0,4.5,4.75,near
T_6000,60.0,5.0,4.5,4.75,near
T_6250,62.5,5.0,4.5,4.75,near
T_6500,65.0,5.0,4.5,4.75,near
T_6750,67.5,5.0,4.5,4.75,near
T_7000,70.0,5.0,4.5,4.75,near
T_7500,75.0,5.0,4.5,4.75,far_down
T_8000,80.0,5.0,4.5,4.75,far_down
T_8500,85.0,5.0,4.5,4.75,far_down
