,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2026-07-29T13:36:18.037+08:00, 0.179E+00,   0.17851, 0.10422E+02
      2,2026-07-29T13:36:18.391+08:00, 0.179E+00,   0.35702, 0.11000E+02
      3,2026-07-29T13:36:19.065+08:00, 0.231E-02,   0.35933, 0.12172E+02
      4,2026-07-29T13:36:19.483+08:00, 0.254E-02,   0.36187, 0.12812E+02
      5,2026-07-29T13:36:19.882+08:00, 0.279E-02,   0.36467, 0.13594E+02
      6,2026-07-29T13:36:20.518+08:00, 0.307E-02,   0.36774, 0.14688E+02
      7,2026-07-29T13:36:20.978+08:00, 0.338E-02,   0.37112, 0.15422E+02
      8,2026-07-29T13:36:21.443+08:00, 0.372E-02,   0.37484, 0.16266E+02
      9,2026-07-29T13:36:22.097+08:00, 0.409E-02,   0.37893, 0.17594E+02
     10,2026-07-29T13:36:22.588+08:00, 0.450E-02,   0.38343, 0.18250E+02
     20,2026-07-29T13:36:27.384+08:00, 0.117E-01,   0.46233, 0.26828E+02
     30,2026-07-29T13:36:31.900+08:00, 0.275E-01,   0.66423, 0.35531E+02
     40,2026-07-29T13:36:36.517+08:00, 0.234E-01,   0.89807, 0.43688E+02
     50,2026-07-29T13:36:41.299+08:00, 0.157E-01,   1.09235, 0.51547E+02
     60,2026-07-29T13:36:46.100+08:00, 0.137E-01,   1.24318, 0.60125E+02
     70,2026-07-29T13:36:50.728+08:00, 0.137E-01,   1.37977, 0.69438E+02
     80,2026-07-29T13:36:55.438+08:00, 0.150E-01,   1.52593, 0.78031E+02
     90,2026-07-29T13:37:00.540+08:00, 0.133E-01,   1.66942, 0.87047E+02
    100,2026-07-29T13:37:05.429+08:00, 0.119E-01,   1.79160, 0.95625E+02
    200,2026-07-29T13:37:56.685+08:00, 0.825E-02,   2.78107, 0.18953E+03
    300,2026-07-29T13:38:52.702+08:00, 0.660E-02,   3.46466, 0.28797E+03
    400,2026-07-29T13:39:47.167+08:00, 0.726E-02,   4.17031, 0.38436E+03
    500,2026-07-29T13:40:42.251+08:00, 0.707E-02,   4.87348, 0.48077E+03
    518,2026-07-29T13:40:52.232+08:00, 0.633E-02,   5.00000, 0.49828E+03
