,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-07-29T14:54:54.909+08:00, 0.179E+00,   0.17851, 0.15906E+02
       2,2026-07-29T14:54:55.228+08:00, 0.179E+00,   0.35702, 0.16547E+02
       3,2026-07-29T14:54:55.686+08:00, 0.179E+00,   0.53553, 0.17719E+02
       4,2026-07-29T14:54:55.991+08:00, 0.179E+00,   0.71404, 0.18375E+02
       5,2026-07-29T14:54:56.291+08:00, 0.179E+00,   0.89255, 0.19062E+02
       6,2026-07-29T14:54:56.777+08:00, 0.179E+00,   1.07107, 0.20172E+02
       7,2026-07-29T14:54:57.158+08:00, 0.116E+00,   1.18755, 0.21031E+02
       8,2026-07-29T14:54:57.570+08:00, 0.829E-01,   1.27043, 0.21906E+02
       9,2026-07-29T14:54:58.107+08:00, 0.757E-01,   1.34618, 0.23281E+02
      10,2026-07-29T14:54:58.426+08:00, 0.757E-01,   1.42192, 0.23938E+02
      20,2026-07-29T14:55:02.553+08:00, 0.402E-01,   1.93134, 0.33031E+02
      30,2026-07-29T14:55:06.514+08:00, 0.316E-01,   2.28321, 0.41219E+02
      40,2026-07-29T14:55:10.451+08:00, 0.251E-01,   2.56722, 0.49938E+02
      50,2026-07-29T14:55:14.281+08:00, 0.251E-01,   2.81827, 0.58203E+02
      60,2026-07-29T14:55:18.265+08:00, 0.251E-01,   3.06931, 0.67250E+02
      70,2026-07-29T14:55:22.331+08:00, 0.202E-01,   3.29008, 0.76094E+02
      80,2026-07-29T14:55:26.282+08:00, 0.177E-01,   3.48433, 0.85188E+02
      90,2026-07-29T14:55:30.532+08:00, 0.155E-01,   3.64586, 0.94156E+02
     100,2026-07-29T14:55:34.692+08:00, 0.138E-01,   3.79089, 0.10280E+03
     200,2026-07-29T14:56:15.326+08:00, 0.942E-02,   4.88357, 0.18770E+03
     213,2026-07-29T14:56:20.768+08:00, 0.341E-02,   5.00000, 0.19905E+03
