chid,subset,role,test_role,case_group,Q,U,Df,dx,L,W,H,x_fire,T_end,n_mesh_x,n_mesh_y,n_mesh_z,Uc_m_s,U_over_Uc,flow_layer,chi_r_assumed,critical_velocity_method,continuous_qdash_kW_m2,HRRPUA_kW_m2,dataset_group_id,cv_fold,access_policy,design_status,data_version,protocol_version,domain_scope,measurement_x_min_m,measurement_x_max_m,censoring_allowed,profile_target_policy,peak_target_policy,k_u_target_policy,k_d_target_policy,parameter_mask_required,scientific_confirmation_status,external_run_required,existing_result_path,result_source,reuse_chid,source_design_id,parent_chid,les_random_seed,random_seed_repeat_planned,design_reason,note
pilot_01_q05_u000_d20,development,pilot,,database_candidate,5.000000,0.000000,2.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,2.177350,0.000000,no_wind,0.300,Li_2010_piecewise_preliminary,1591.549,1250.000,pilot_01_q05_u000_d20,0,MODEL_DEVELOPMENT_AFTER_GATES,REUSE_EXISTING_REAL_FDS_100M_V2,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,no,C:\Users\xiao.cheng\Desktop\科研\阶段一\outputs\pilot_input\pilot_01_q05_u000_d20,REUSE_EXISTING_FORMAL_PILOT_FDS_6.9.1,,stage2_pilot_candidate,,,no,低功率小火源无风基线,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
gsA_m,development,pilot,,database_candidate,10.000000,1.000000,3.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,2.743289,0.364526,weak,0.300,Li_2010_piecewise_preliminary,1414.711,1111.111,gsA_m,1,MODEL_DEVELOPMENT_AFTER_GATES,REUSE_EXISTING_REAL_FDS_100M_V2,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,no,C:\Users\xiao.cheng\Desktop\科研\阶段一\outputs\pilot_input\gsA_m,REUSE_EXISTING_FORMAL_PILOT_FDS_6.9.1,gsA_m,stage2_pilot_candidate,,,no,复用网格中档低功率弱风工况并避免重复计算,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
pilot_03_q20_r090_d35,development,pilot,,database_candidate,20.000000,2.710382,3.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.900000,near_critical,0.300,Li_2010_piecewise_preliminary,2078.758,1632.653,pilot_03_q20_r090_d35,2,MODEL_DEVELOPMENT_AFTER_GATES,REUSE_EXISTING_REAL_FDS_100M_V2,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,no,C:\Users\xiao.cheng\Desktop\科研\阶段一\outputs\pilot_input\pilot_03_q20_r090_d35,REUSE_EXISTING_FORMAL_PILOT_FDS_6.9.1,,stage2_pilot_candidate,,,no,低功率临界下缘且与下一行构成同Q同U不同尺寸,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
pilot_04_q20_r090_d45,development,pilot,,database_candidate,20.000000,2.710382,4.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.900000,near_critical,0.300,Li_2010_piecewise_preliminary,1257.521,1250.000,pilot_04_q20_r090_d45,3,MODEL_DEVELOPMENT_AFTER_GATES,REUSE_EXISTING_REAL_FDS_100M_V2,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,no,C:\Users\xiao.cheng\Desktop\科研\阶段一\outputs\pilot_input\pilot_04_q20_r090_d45,REUSE_EXISTING_FORMAL_PILOT_FDS_6.9.1,,stage2_pilot_candidate,,,no,低功率临界下缘大尺寸配对,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
gsB_m,development,pilot,,database_candidate,40.000000,2.500000,5.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.830141,weak,0.300,Li_2010_piecewise_preliminary,2037.183,1975.309,gsB_m,4,MODEL_DEVELOPMENT_AFTER_GATES,REUSE_EXISTING_REAL_FDS_100M_V2,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,no,C:\Users\xiao.cheng\Desktop\科研\阶段一\outputs\pilot_input\gsB_m,REUSE_EXISTING_FORMAL_PILOT_FDS_6.9.1,gsB_m,stage2_pilot_candidate,,,no,复用网格中档中功率近临界工况并避免重复计算,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
pilot_06_q40_r100_d45,development,pilot,,database_candidate,40.000000,3.011535,4.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.000000,near_critical,0.300,Li_2010_piecewise_preliminary,2515.041,2500.000,pilot_06_q40_r100_d45,0,MODEL_DEVELOPMENT_AFTER_GATES,REUSE_EXISTING_REAL_FDS_100M_V2,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,no,C:\Users\xiao.cheng\Desktop\科研\阶段一\outputs\pilot_input\pilot_06_q40_r100_d45,REUSE_EXISTING_FORMAL_PILOT_FDS_6.9.1,,stage2_pilot_candidate,,,yes,中功率临界点且与下一行构成尺寸配对,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
pilot_07_q40_r100_d60,development,pilot,,database_candidate,40.000000,3.011535,6.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.000000,near_critical,0.300,Li_2010_piecewise_preliminary,1414.711,1322.314,pilot_07_q40_r100_d60,1,MODEL_DEVELOPMENT_AFTER_GATES,REUSE_EXISTING_REAL_FDS_100M_V2,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,no,C:\Users\xiao.cheng\Desktop\科研\阶段一\outputs\pilot_input\pilot_07_q40_r100_d60,REUSE_EXISTING_FORMAL_PILOT_FDS_6.9.1,,stage2_pilot_candidate,,,no,中功率临界点大尺寸配对,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
pilot_08_q60_r110_d55,development,pilot,,database_candidate,60.000000,3.312689,5.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.100000,near_critical,0.300,Li_2010_piecewise_preliminary,2525.434,2400.000,pilot_08_q60_r110_d55,2,MODEL_DEVELOPMENT_AFTER_GATES,REUSE_EXISTING_REAL_FDS_100M_V2,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,no,C:\Users\xiao.cheng\Desktop\科研\阶段一\outputs\pilot_input\pilot_08_q60_r110_d55,REUSE_EXISTING_FORMAL_PILOT_FDS_6.9.1,,stage2_pilot_candidate,,,no,高功率临界上缘且与下一行构成尺寸配对,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
pilot_09_q60_r110_d70,development,pilot,,database_candidate,60.000000,3.312689,7.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.100000,near_critical,0.300,Li_2010_piecewise_preliminary,1559.069,1420.118,pilot_09_q60_r110_d70,3,MODEL_DEVELOPMENT_AFTER_GATES,REUSE_EXISTING_REAL_FDS_100M_V2,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,no,C:\Users\xiao.cheng\Desktop\科研\阶段一\outputs\pilot_input\pilot_09_q60_r110_d70,REUSE_EXISTING_FORMAL_PILOT_FDS_6.9.1,,stage2_pilot_candidate,,,no,高功率临界上缘大尺寸配对,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
gsC_m,development,pilot,,database_candidate,80.000000,4.500000,7.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.494254,strong,0.300,Li_2010_piecewise_preliminary,2078.758,1893.491,gsC_m,4,MODEL_DEVELOPMENT_AFTER_GATES,REUSE_EXISTING_REAL_FDS_100M_V2,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,no,C:\Users\xiao.cheng\Desktop\科研\阶段一\outputs\pilot_input\gsC_m,REUSE_EXISTING_FORMAL_PILOT_FDS_6.9.1,gsC_m,stage2_pilot_candidate,,,yes,复用网格中档高功率强风工况并避免重复计算,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
