chid,Q_MW,Df_m,target_U_over_Uc,fixed_U_m_s,reuse_chid,selection_reason,backup_chid,backup_Q_MW,backup_U_over_Uc,backup_Df_m
pilot_01_q05_u000_d20,5,2.0,0,,,低功率小火源无风基线,pilot_alt_01,8,0,2.5
gsA_m,10,3.0,,1.0,gsA_m,复用网格中档低功率弱风工况并避免重复计算,pilot_alt_02,12,0.4,3.0
pilot_03_q20_r090_d35,20,3.5,0.9,,,低功率临界下缘且与下一行构成同Q同U不同尺寸,pilot_alt_03,18,0.9,3.5
pilot_04_q20_r090_d45,20,4.5,0.9,,,低功率临界下缘大尺寸配对,pilot_alt_04,22,0.9,4.5
gsB_m,40,5.0,,2.5,gsB_m,复用网格中档中功率近临界工况并避免重复计算,pilot_alt_05,35,0.85,5.0
pilot_06_q40_r100_d45,40,4.5,1.0,,,中功率临界点且与下一行构成尺寸配对,pilot_alt_06,45,1.0,4.5
pilot_07_q40_r100_d60,40,6.0,1.0,,,中功率临界点大尺寸配对,pilot_alt_07,45,1.0,6.0
pilot_08_q60_r110_d55,60,5.5,1.1,,,高功率临界上缘且与下一行构成尺寸配对,pilot_alt_08,55,1.1,5.5
pilot_09_q60_r110_d70,60,7.0,1.1,,,高功率临界上缘大尺寸配对,pilot_alt_09,55,1.1,7.0
gsC_m,80,7.0,,4.5,gsC_m,复用网格中档高功率强风工况并避免重复计算,pilot_alt_10,75,1.45,6.5
pilot_11_q100_r160_d70,100,7.0,1.6,,,上限功率强风边界且与下一行构成尺寸配对,pilot_alt_11,90,1.55,7.0
pilot_12_q100_r160_d80,100,8.0,1.6,,,上限功率强风边界大尺寸配对,pilot_alt_12,90,1.55,8.0
