chid,DeltaT_noise_C,assignment_scope,n_representative_pairs,source_parent_chids,source_repeat_chids,pair_DeltaT_noise_C,weak_signal_limit_C,confidence_multiplier,method,evidence_path,data_origin,status
pilot_01_q05_u000_d20,0.125039927,conservative_representative_pair_envelope_not_individual_repeat,2,pilot_06_q40_r100_d45;pilot_11_q100_r160_d70,pilot_06_q40_r100_d45_seed104729;pilot_11_q100_r160_d70_seed204729,0.125039927;0.077437413,5.000000,1.960000,"case-specific quasi-steady means; per-sensor seed SD=abs(mean1-mean2)/sqrt(2); noise SD=max(seed SD,parent block-bootstrap SD,repeat block-bootstrap SD); multiply by confidence multiplier and take maximum where pair-mean DeltaT is within weak-signal limit; final value is the maximum representative-pair envelope",阶段二/03_删失与峰值/seed_repeat_case_summary.csv,FORMAL_FDS_6_9_1,TRACEABLE_REPRESENTATIVE_SEED_ENVELOPE
gsA_m,0.125039927,conservative_representative_pair_envelope_not_individual_repeat,2,pilot_06_q40_r100_d45;pilot_11_q100_r160_d70,pilot_06_q40_r100_d45_seed104729;pilot_11_q100_r160_d70_seed204729,0.125039927;0.077437413,5.000000,1.960000,"case-specific quasi-steady means; per-sensor seed SD=abs(mean1-mean2)/sqrt(2); noise SD=max(seed SD,parent block-bootstrap SD,repeat block-bootstrap SD); multiply by confidence multiplier and take maximum where pair-mean DeltaT is within weak-signal limit; final value is the maximum representative-pair envelope",阶段二/03_删失与峰值/seed_repeat_case_summary.csv,FORMAL_FDS_6_9_1,TRACEABLE_REPRESENTATIVE_SEED_ENVELOPE
pilot_03_q20_r090_d35,0.125039927,conservative_representative_pair_envelope_not_individual_repeat,2,pilot_06_q40_r100_d45;pilot_11_q100_r160_d70,pilot_06_q40_r100_d45_seed104729;pilot_11_q100_r160_d70_seed204729,0.125039927;0.077437413,5.000000,1.960000,"case-specific quasi-steady means; per-sensor seed SD=abs(mean1-mean2)/sqrt(2); noise SD=max(seed SD,parent block-bootstrap SD,repeat block-bootstrap SD); multiply by confidence multiplier and take maximum where pair-mean DeltaT is within weak-signal limit; final value is the maximum representative-pair envelope",阶段二/03_删失与峰值/seed_repeat_case_summary.csv,FORMAL_FDS_6_9_1,TRACEABLE_REPRESENTATIVE_SEED_ENVELOPE
pilot_04_q20_r090_d45,0.125039927,conservative_representative_pair_envelope_not_individual_repeat,2,pilot_06_q40_r100_d45;pilot_11_q100_r160_d70,pilot_06_q40_r100_d45_seed104729;pilot_11_q100_r160_d70_seed204729,0.125039927;0.077437413,5.000000,1.960000,"case-specific quasi-steady means; per-sensor seed SD=abs(mean1-mean2)/sqrt(2); noise SD=max(seed SD,parent block-bootstrap SD,repeat block-bootstrap SD); multiply by confidence multiplier and take maximum where pair-mean DeltaT is within weak-signal limit; final value is the maximum representative-pair envelope",阶段二/03_删失与峰值/seed_repeat_case_summary.csv,FORMAL_FDS_6_9_1,TRACEABLE_REPRESENTATIVE_SEED_ENVELOPE
gsB_m,0.125039927,conservative_representative_pair_envelope_not_individual_repeat,2,pilot_06_q40_r100_d45;pilot_11_q100_r160_d70,pilot_06_q40_r100_d45_seed104729;pilot_11_q100_r160_d70_seed204729,0.125039927;0.077437413,5.000000,1.960000,"case-specific quasi-steady means; per-sensor seed SD=abs(mean1-mean2)/sqrt(2); noise SD=max(seed SD,parent block-bootstrap SD,repeat block-bootstrap SD); multiply by confidence multiplier and take maximum where pair-mean DeltaT is within weak-signal limit; final value is the maximum representative-pair envelope",阶段二/03_删失与峰值/seed_repeat_case_summary.csv,FORMAL_FDS_6_9_1,TRACEABLE_REPRESENTATIVE_SEED_ENVELOPE
pilot_06_q40_r100_d45,0.125039927,conservative_representative_pair_envelope_not_individual_repeat,2,pilot_06_q40_r100_d45;pilot_11_q100_r160_d70,pilot_06_q40_r100_d45_seed104729;pilot_11_q100_r160_d70_seed204729,0.125039927;0.077437413,5.000000,1.960000,"case-specific quasi-steady means; per-sensor seed SD=abs(mean1-mean2)/sqrt(2); noise SD=max(seed SD,parent block-bootstrap SD,repeat block-bootstrap SD); multiply by confidence multiplier and take maximum where pair-mean DeltaT is within weak-signal limit; final value is the maximum representative-pair envelope",阶段二/03_删失与峰值/seed_repeat_case_summary.csv,FORMAL_FDS_6_9_1,TRACEABLE_REPRESENTATIVE_SEED_ENVELOPE
pilot_07_q40_r100_d60,0.125039927,conservative_representative_pair_envelope_not_individual_repeat,2,pilot_06_q40_r100_d45;pilot_11_q100_r160_d70,pilot_06_q40_r100_d45_seed104729;pilot_11_q100_r160_d70_seed204729,0.125039927;0.077437413,5.000000,1.960000,"case-specific quasi-steady means; per-sensor seed SD=abs(mean1-mean2)/sqrt(2); noise SD=max(seed SD,parent block-bootstrap SD,repeat block-bootstrap SD); multiply by confidence multiplier and take maximum where pair-mean DeltaT is within weak-signal limit; final value is the maximum representative-pair envelope",阶段二/03_删失与峰值/seed_repeat_case_summary.csv,FORMAL_FDS_6_9_1,TRACEABLE_REPRESENTATIVE_SEED_ENVELOPE
pilot_08_q60_r110_d55,0.125039927,conservative_representative_pair_envelope_not_individual_repeat,2,pilot_06_q40_r100_d45;pilot_11_q100_r160_d70,pilot_06_q40_r100_d45_seed104729;pilot_11_q100_r160_d70_seed204729,0.125039927;0.077437413,5.000000,1.960000,"case-specific quasi-steady means; per-sensor seed SD=abs(mean1-mean2)/sqrt(2); noise SD=max(seed SD,parent block-bootstrap SD,repeat block-bootstrap SD); multiply by confidence multiplier and take maximum where pair-mean DeltaT is within weak-signal limit; final value is the maximum representative-pair envelope",阶段二/03_删失与峰值/seed_repeat_case_summary.csv,FORMAL_FDS_6_9_1,TRACEABLE_REPRESENTATIVE_SEED_ENVELOPE
pilot_09_q60_r110_d70,0.125039927,conservative_representative_pair_envelope_not_individual_repeat,2,pilot_06_q40_r100_d45;pilot_11_q100_r160_d70,pilot_06_q40_r100_d45_seed104729;pilot_11_q100_r160_d70_seed204729,0.125039927;0.077437413,5.000000,1.960000,"case-specific quasi-steady means; per-sensor seed SD=abs(mean1-mean2)/sqrt(2); noise SD=max(seed SD,parent block-bootstrap SD,repeat block-bootstrap SD); multiply by confidence multiplier and take maximum where pair-mean DeltaT is within weak-signal limit; final value is the maximum representative-pair envelope",阶段二/03_删失与峰值/seed_repeat_case_summary.csv,FORMAL_FDS_6_9_1,TRACEABLE_REPRESENTATIVE_SEED_ENVELOPE
gsC_m,0.125039927,conservative_representative_pair_envelope_not_individual_repeat,2,pilot_06_q40_r100_d45;pilot_11_q100_r160_d70,pilot_06_q40_r100_d45_seed104729;pilot_11_q100_r160_d70_seed204729,0.125039927;0.077437413,5.000000,1.960000,"case-specific quasi-steady means; per-sensor seed SD=abs(mean1-mean2)/sqrt(2); noise SD=max(seed SD,parent block-bootstrap SD,repeat block-bootstrap SD); multiply by confidence multiplier and take maximum where pair-mean DeltaT is within weak-signal limit; final value is the maximum representative-pair envelope",阶段二/03_删失与峰值/seed_repeat_case_summary.csv,FORMAL_FDS_6_9_1,TRACEABLE_REPRESENTATIVE_SEED_ENVELOPE
