parent_chid,repeat_chid,sensor,x_m,parent_t0_s,parent_t1_s,repeat_t0_s,repeat_t1_s,parent_deltaT_bar_C,repeat_deltaT_bar_C,pair_mean_deltaT_C,absolute_mean_difference_C,repeat_seed_mean_sd_C,parent_bootstrap_sd_C,repeat_bootstrap_sd_C,single_run_mean_noise_sd_C,noise_limit_C,weak_signal_eligible
pilot_06_q40_r100_d45,pilot_06_q40_r100_d45_seed104729,T_1500,15.000000,105.004860,134.003460,86.003348,115.007490,0.000085000,0.000301000,0.000193000,0.000216000,0.000152735,0.000135000,0.000140000,0.000152735,0.000299361,true
pilot_06_q40_r100_d45,pilot_06_q40_r100_d45_seed104729,T_2000,20.000000,105.004860,134.003460,86.003348,115.007490,0.000314000,0.000432000,0.000373000,0.000118000,0.000083439,0.000130000,0.000170000,0.000170000,0.000333200,true
pilot_06_q40_r100_d45,pilot_06_q40_r100_d45_seed104729,T_2500,25.000000,105.004860,134.003460,86.003348,115.007490,0.001529000,0.001608000,0.001568500,0.000079000,0.000055861,0.000192000,0.000222000,0.000222000,0.000435120,true
pilot_06_q40_r100_d45,pilot_06_q40_r100_d45_seed104729,T_3000,30.000000,105.004860,134.003460,86.003348,115.007490,0.009238000,0.009169000,0.009203500,0.000069000,0.000048790,0.000335000,0.000534000,0.000534000,0.001046640,true
pilot_06_q40_r100_d45,pilot_06_q40_r100_d45_seed104729,T_3250,32.500000,105.004860,134.003460,86.003348,115.007490,0.021332000,0.021095000,0.021213500,0.000237000,0.000167584,0.000386000,0.000646000,0.000646000,0.001266160,true
pilot_06_q40_r100_d45,pilot_06_q40_r100_d45_seed104729,T_3500,35.000000,105.004860,134.003460,86.003348,115.007490,0.045560000,0.044894000,0.045227000,0.000666000,0.000470933,0.000947000,0.000950000,0.000950000,0.001862000,true
pilot_06_q40_r100_d45,pilot_06_q40_r100_d45_seed104729,T_3750,37.500000,105.004860,134.003460,86.003348,115.007490,0.090844000,0.088963000,0.089903500,0.001881000,0.001330068,0.001863000,0.001648000,0.001863000,0.003651480,true
pilot_06_q40_r100_d45,pilot_06_q40_r100_d45_seed104729,T_4000,40.000000,105.004860,134.003460,86.003348,115.007490,0.179367000,0.174660000,0.177013500,0.004707000,0.003328352,0.003773000,0.003212000,0.003773000,0.007395080,true
pilot_06_q40_r100_d45,pilot_06_q40_r100_d45_seed104729,T_4250,42.500000,105.004860,134.003460,86.003348,115.007490,0.374402000,0.365556000,0.369979000,0.008846000,0.006255067,0.008252000,0.006759000,0.008252000,0.016173920,true
pilot_06_q40_r100_d45,pilot_06_q40_r100_d45_seed104729,T_4500,45.000000,105.004860,134.003460,86.003348,115.007490,0.803712000,0.784814000,0.794263000,0.018898000,0.013362904,0.011523000,0.013256000,0.013362904,0.026191292,true
